报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,1917.275,31.1955,61.46,221.33,-33.74%,65.01亿,10.52%,39.6,8.6625,29.5481,1.552,PB；PE,6866.09亿,1333.80亿,29.38%,1235.92亿,,20%: 最新年度营业收入下滑,中央汇金投资有限责任公司
2026-03-31,1917.275,31.1955,61.46,221.33,-33.74%,65.01亿,10.52%,39.6,2.1656,29.5481,1.552,PB；PE,6866.09亿,1333.80亿,29.38%,1235.92亿,,,中央汇金投资有限责任公司
2025,2174.326,31.1955,69.7,1577.45,19.00%,362.84亿,38.34%,35.75,1.3784,5.9931,1.9497,PB；PE,6226.79亿,1265.19亿,23.00%,1115.78亿,2.6599999999999997,,中央汇金投资有限责任公司
2024,1488.961,31.1955,47.73,1325.55,85.27%,262.29亿,201.07%,30.85,1.1233,5.6754,1.5472,PB；PE,5243.89亿,1081.76亿,19.79%,962.69亿,1.3900000000000001,,中央汇金投资有限责任公司
2023,895.623,31.1955,28.71,715.47,-33.78%,87.12亿,-59.48%,33.68,1.2518,10.2903,0.8524,PB；PE,4020.47亿,921.24亿,12.18%,1050.92亿,1.08,,中央汇金投资有限责任公司
2022,844.774,31.1955,27.08,1080.48,-3.62%,215.00亿,43.84%,32.98,0.7819,8.5968,0.8211,PB；PE,970.68亿,769.10亿,4.58%,979.96亿,1.44,,中央汇金投资有限责任公司
2021,1037.25,31.1955,33.25,2223.8,7.67%,149.47亿,4.57%,34.77,0.4664,6.9415,0.9563,PB；PE,854.76亿,523.31亿,6.72%,1085.14亿,1.3900000000000001,,中央汇金投资有限责任公司
2020,1493.329,31.1955,47.87,2065.38,18.32%,142.94亿,-1.82%,32.59,0.723,10.452,1.4689,PB；PE,450.97亿,459.43亿,6.92%,1016.80亿,1.41,,中央汇金投资有限责任公司
2019,1235.342,31.1955,39.6,1745.66,13.23%,145.59亿,83.78%,27.07,0.7077,8.4797,1.4629,PB；PE,361.77亿,400.77亿,8.34%,844.61亿,0.77,,中央汇金投资有限责任公司
2018,1045.985,31.1955,33.53,1541.67,6.96%,79.22亿,47.17%,21.02,0.6785,13.2008,1.5951,PB；PE,188.85亿,314.11亿,5.14%,655.96亿,0.52,,中央汇金投资有限责任公司
2017,,,55.08,1441.32,-1.40%,53.83亿,8.92%,20.42,,31.8382,2.6974,PB；PE,151.35亿,272.00亿,3.74%,637.23亿,0.48,,中央汇金投资有限责任公司
2016,,,34.08,1461.73,-7.75%,49.42亿,-42.54%,18.95,,21.5696,1.7984,PB；PE,258.10亿,243.52亿,3.38%,591.25亿,0.27999999999999997,,中央汇金投资有限责任公司
2015,,,40.36,1584.53,10.66%,86.01亿,34.26%,18.54,,14.6232,2.1769,PB；PE,273.90亿,211.79亿,5.43%,578.41亿,0.21000000000000002,,中央汇金投资有限责任公司
2014,,,38.11,1431.87,10.49%,64.06亿,44.87%,15.5,,18.5902,2.4587,PB；PE,211.41亿,149.39亿,4.47%,483.64亿,0.15,,中央汇金投资有限责任公司
2013,,,17.48,1295.94,10.84%,44.22亿,50.77%,12.6,,12.3099,1.3873,PB；PE,188.07亿,102.89亿,3.41%,393.18亿,,,中央汇金投资有限责任公司
2012,,,22.01,1169.21,7.06%,29.33亿,4.79%,11.5,,23.4149,1.9139,PB；PE,293.58亿,67.83亿,2.51%,358.78亿,0.41056000000000004,,中央汇金投资有限责任公司
2011,,,20.98,1092.09,6.53%,27.99亿,24.46%,10.04,,16.9194,2.0896,PB；PE,182.96亿,57.21亿,2.56%,313.13亿,,,中央汇金投资有限责任公司
2010,,,,1025.13,39.14%,22.49亿,-15.45%,5.47,,,,PB；PE,332.57亿,34.78亿,2.19%,65.73亿,,,中央汇金投资有限责任公司
