报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,9779.936,181.0764,54.01,2184.05,-6.18%,250.22亿,-7.38%,56.24,4.4779,37.7692,0.9603,PB；PE,3.55万亿,7917.84亿,15.23%,1.43万亿,1.75,40%: 最新年度营业收入下滑；最新年度净利润同比下降,香港中央结算(代理人)有限公司
2026-03-31,9779.936,181.0764,54.01,2184.05,-6.18%,250.22亿,-7.38%,56.24,1.1195,37.7692,0.9603,PB；PE,3.55万亿,7917.84亿,15.23%,1.43万亿,1.75,,香港中央结算(代理人)有限公司
2025,12051.53,182.1023,66.18,10500.0,2.10%,1347.78亿,6.45%,55.25,1.1478,8.6172,1.1978,PB；PE,3.46万亿,7669.14亿,15.07%,1.42万亿,2.57,,香港中央结算(代理人)有限公司
2024,8870.203,182.1023,48.71,10300.0,12.60%,1266.07亿,47.79%,50.99,0.8612,6.8031,0.9553,PB；PE,3.06万亿,6934.70亿,14.26%,1.30万亿,2.43,,香港中央结算(代理人)有限公司
2023,6471.205,182.8024,35.4,9137.89,3.80%,856.65亿,-22.83%,49.37,0.7082,7.314,0.717,PB；PE,2.38万亿,6217.23亿,11.96%,1.23万亿,2.43,,香港中央结算(代理人)有限公司
2022,7176.822,182.8024,39.26,8803.55,-5.92%,1110.08亿,9.24%,46.97,0.8152,6.173,0.8359,PB；PE,2.25万亿,5928.56亿,9.67%,1.19万亿,2.42,,香港中央结算(代理人)有限公司
2021,7290.16,182.8024,39.88,11800.0,-3.11%,1016.18亿,-28.99%,44.44,0.6178,6.9116,0.8974,PB；PE,1.96万亿,5695.07亿,10.32%,1.08万亿,2.2800000000000002,,香港中央结算(代理人)有限公司
2020,12147.219,182.8024,66.45,12200.0,4.23%,1430.99亿,-4.22%,41.72,0.9957,8.2037,1.5928,PB；PE,1.76万亿,5216.77亿,13.08%,9879.05亿,2.1,,香港中央结算(代理人)有限公司
2019,11606.124,182.8024,63.49,11700.0,19.66%,1494.07亿,39.11%,36.82,0.992,7.5493,1.7243,PB；PE,1.41万亿,4336.44亿,14.06%,8523.70亿,1.85,,香港中央结算(代理人)有限公司
2018,7447.37,182.8024,40.74,9768.32,9.65%,1074.04亿,20.56%,30.44,0.7624,6.7674,1.3384,PB；PE,1.30万亿,3341.82亿,12.33%,6836.43亿,1.82,,香港中央结算(代理人)有限公司
2017,,,49.37,8908.82,25.04%,890.88亿,42.78%,25.89,,9.8938,1.9069,PB；PE,7096.49亿,2368.63亿,11.22%,5879.17亿,1.05,,香港中央结算(代理人)有限公司
2016,,,24.5,7124.53,14.91%,623.94亿,15.11%,20.98,,7.0,1.1678,PB；PE,7236.46亿,1759.32亿,10.16%,4864.61亿,0.55,,香港中央结算(代理人)有限公司
2015,,,24.49,6199.9,33.94%,542.03亿,37.99%,18.28,,8.2181,1.3397,PB；PE,5484.59亿,1350.11亿,10.51%,4135.71亿,0.6799999999999999,,香港中央结算(代理人)有限公司
2014,,,25.1,4628.82,27.65%,392.79亿,39.51%,32.56,,10.1619,0.7709,PB；PE,4939.22亿,987.48亿,10.35%,3538.16亿,0.7,,香港中央结算(代理人)有限公司
2013,,,13.78,3626.31,21.13%,281.54亿,40.42%,23.08,,3.8708,0.5971,PB；PE,3796.95亿,842.99亿,9.93%,2397.05亿,0.5,,香港中央结算(代理人)有限公司
2012,,,14.77,2993.72,20.27%,200.50亿,2.95%,20.16,,5.8379,0.7326,PB；PE,4109.78亿,601.03亿,8.94%,2096.49亿,0.4,,香港中央结算(代理人)有限公司
2011,,,11.13,2489.15,31.40%,194.75亿,12.50%,16.53,,4.452,0.6733,PB；PE,2718.89亿,432.19亿,9.07%,1713.42亿,0.55,,香港中央结算(代理人)有限公司
2010,,,17.92,1894.39,28.14%,173.11亿,24.69%,14.66,,7.7913,1.2224,PB；PE,1262.18亿,282.82亿,9.47%,1168.83亿,0.44999999999999996,,香港中央结算(代理人)有限公司
