报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,40.871,4.725,8.65,4.5012,2.27,-5.79%,911.25万,-83.09%,1.38,1.15亿,-5.64亿,3.44%,6.27亿
2025,30.051,4.725,6.36,3.1733,9.47,-6.09%,-1.19亿,-905.66%,1.58,2.18亿,-4.69亿,-18.31%,7.24亿
2024,32.13,4.725,6.8,3.1875,10.08,-2.33%,1475.32万,-85.07%,2.16,3.35亿,-1.79亿,-0.36%,10.53亿
2023,23.53,4.725,4.98,2.28,10.32,17.04%,9883.55万,1.85%,2.37,2.92亿,-7533.10万,8.06%,11.93亿
2022,21.404,4.725,4.53,2.4268,8.82,-2.97%,9703.74万,-21.78%,2.38,3.73亿,-5753.11万,9.32%,12.30亿
2021,23.105,4.725,4.89,2.5418,9.09,22.93%,1.24亿,-20.54%,2.39,3.17亿,-3621.36万,13.07%,12.51亿
2020,30.76,4.725,6.51,4.1624,7.39,-10.06%,1.56亿,-12.78%,3.27,6.29亿,3.70亿,21.14%,15.46亿
2019,,,,,8.22,2.75%,1.79亿,1.17%,2.33,1.83亿,4.12亿,21.83%,8.83亿
2018,,,,,8.0,24.16%,1.77亿,49.71%,1.86,2.03亿,2.50亿,22.15%,7.03亿
2017,,,,,6.44,21.46%,1.18亿,17.89%,2.77,8666.51万,2.32亿,18.38%,5.82亿
2016,,,,,5.3,12.55%,1.00亿,5.10%,2.21,6900.69万,1.26亿,18.89%,4.63亿
2015,,,,,4.71,19.68%,9539.14万,25.89%,2.13,2782.38万,1.22亿,20.22%,4.47亿
2014,,,,,3.94,16.86%,7577.36万,-15.23%,2.07,2355.42万,1.19亿,19.07%,4.34亿
2013,,,,,3.37,29.54%,8938.71万,15.72%,2.05,1611.75万,1.24亿,26.64%,4.31亿
2012,,,,,2.6,42.45%,7724.36万,31.44%,1.82,7565.88万,8128.95万,30.02%,3.88亿
2011,,,,,1.83,False,5876.93万,False,1.85,3118.47万,5906.90万,32.29%,1.53亿
