报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,48.761,1.6418,29.7,1.58,12.39%,1159.74万,11.71%,3.35,30.8614,420.6799,8.8657,PS；PE,2.48亿,8903.76万,10.30%,6.56亿,,,王建朝
2026-03-31,48.761,1.6418,29.7,1.58,12.39%,1159.74万,11.71%,3.35,7.7153,420.6799,8.8657,PS；PE,2.48亿,8903.76万,10.30%,6.56亿,,,王建朝
2025,38.248,1.0997,34.78,6.27,-3.66%,-9084.84万,-86.49%,3.28,6.1002,,10.6037,PS；PE,2.27亿,7735.59万,-10.90%,6.41亿,0.0,,王建朝
2024,43.57,1.0997,39.62,6.51,21.36%,-4871.50万,-217.15%,5.72,6.6928,,6.9266,PS；PE,2.04亿,1.68亿,-4.36%,7.31亿,0.05,,王建朝
2023,33.157,1.099,30.17,5.36,10.49%,4158.29万,26.21%,6.26,6.186,79.3947,4.8195,PS；PE,2.17亿,2.34亿,12.32%,7.88亿,0.1,,王建朝
2022,12.792,1.099,11.64,4.85,-22.21%,3294.71万,-43.86%,6.09,2.6375,39.4576,1.9113,PS；PE,2.88亿,2.06亿,11.28%,7.52亿,0.16,,王建朝
2021,13.307,0.8454,15.74,6.24,95.10%,5868.57万,268.07%,6.14,2.1325,29.4757,2.5635,PS；PE,3.29亿,1.92亿,13.87%,7.47亿,0.06,,王建朝
2020,12.985,0.8454,15.36,3.2,-18.53%,1594.42万,-69.71%,7.36,4.0578,81.4422,2.087,PS；PE,3.63亿,1.39亿,8.45%,6.68亿,0.2,,王建朝
2019,13.865,0.8454,16.4,3.93,-7.27%,5263.35万,-19.85%,7.36,3.528,23.0499,2.2283,PS；PE,4.39亿,1.44亿,13.41%,6.23亿,0.506,,王建朝
2018,,,,4.23,26.85%,6567.00万,39.83%,4.85,,,,PS；PE,1.54亿,1.41亿,15.51%,3.08亿,,,王建朝
2017,,,,3.34,11.77%,4696.57万,35.64%,3.81,,,,PS；PE,1.33亿,7790.58万,14.00%,2.42亿,,,王建朝
2016,,,,2.99,63.53%,3462.47万,4.65%,3.28,,,,PS；PE,1.27亿,4730.94万,11.25%,2.08亿,,,王建朝
2015,,,,1.83,-15.51%,3308.48万,13.77%,2.8,,,,PS；PE,7325.75万,4314.07万,18.82%,1.06亿,,,王建朝
2014,,,,2.16,52.48%,2907.99万,233.44%,3.46,,,,PS；PE,3714.70万,4153.62万,14.57%,7312.55万,,,王建朝
2013,,,,1.42,False,872.12万,False,3.06,,,,PS；PE,2006.48万,1856.65万,7.42%,3664.50万,,,王建朝
