报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-08,38.448,4.06,9.47,1.19,-27.47%,572.63万,-72.56%,7.31,32.3092,662.2378,1.2955,PS；PE,25.03亿,8.45亿,4.82%,29.66亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,三六六移动互联科技有限公司
2026-03-31,38.448,4.06,9.47,1.19,-27.47%,572.63万,-72.56%,7.31,8.0773,662.2378,1.2955,PS；PE,25.03亿,8.45亿,4.82%,29.66亿,,,三六六移动互联科技有限公司
2025,42.589,4.06,10.49,5.53,-17.48%,1214.58万,-83.94%,7.33,7.7014,349.6667,1.4311,PS；PE,23.45亿,8.39亿,2.20%,29.76亿,0.02,,三六六移动互联科技有限公司
2024,31.639,2.9,10.91,6.7,12.26%,7563.43万,-43.64%,7.49,4.7222,58.5615,1.4566,PS；PE,24.13亿,8.84亿,11.28%,30.42亿,0.13999999999999999,,三六六移动互联科技有限公司
2023,26.94,2.0,13.47,5.97,3.56%,1.34亿,-30.75%,10.37,4.5126,40.7564,1.2989,PS；PE,24.91亿,8.57亿,22.47%,30.07亿,0.2,,三六六移动互联科技有限公司
2022,35.5,2.0,17.75,5.77,-6.85%,1.94亿,-19.47%,14.55,6.1525,24.9018,1.2199,PS；PE,24.88亿,7.72亿,33.27%,29.12亿,0.25,,三六六移动互联科技有限公司
2021,,,,6.19,26.84%,2.41亿,15.59%,5.76,,,,PS；PE,5.21亿,6.29亿,38.87%,8.64亿,,,三六六移动互联科技有限公司
2020,,,,4.88,11.93%,2.08亿,8.38%,4.16,,,,PS；PE,3.35亿,3.88亿,42.66%,6.23亿,,,三六六移动互联科技有限公司
2019,,,,4.36,16.34%,1.92亿,20.72%,3.77,,,,PS；PE,2.95亿,3.34亿,44.05%,5.65亿,,,三六六移动互联科技有限公司
2018,,,,3.75,10.95%,1.59亿,26.65%,2.49,,,,PS；PE,1.50亿,1.42亿,42.45%,3.73亿,,,三六六移动互联科技有限公司
2017,,,,3.38,False,1.26亿,False,2.39,,,,PS；PE,1.27亿,1.33亿,37.11%,3.59亿,,,三六六移动互联科技有限公司
