报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,62.39,2.3446,26.61,2.5117,6.21,-5.01%,-976.29万,-105.17%,6.49,20.30亿,3.21亿,-2.13%,15.37亿
2025,81.428,2.3446,34.73,3.1883,25.54,-8.40%,4.83亿,295.58%,6.53,20.73亿,3.31亿,19.63%,15.49亿
2024,45.15,2.343,19.27,1.6194,27.88,0.17%,-2.47亿,-190.47%,5.41,16.39亿,1.04亿,-7.99%,12.69亿
2023,60.628,2.3114,26.23,2.1785,27.83,36.01%,2.73亿,112.05%,7.07,18.07亿,4.67亿,10.42%,16.10亿
2022,22.706,1.5239,14.9,1.1098,20.46,303.87%,1.29亿,304.30%,11.84,23.42亿,6.79亿,4.46%,17.62亿
2021,18.13,1.5083,12.02,3.5759,5.07,31.20%,-6307.37万,-173.58%,10.93,19.53亿,5.64亿,-12.33%,16.41亿
2020,22.122,1.51,14.65,5.7311,3.86,-6.25%,8571.67万,-46.72%,11.42,17.93亿,6.70亿,24.92%,17.20亿
2019,17.657,1.0078,17.52,4.2857,4.12,41.57%,1.61亿,61.06%,16.88,17.86亿,6.65亿,40.55%,16.99亿
2018,12.363,1.0125,12.21,4.2485,2.91,-1.79%,9988.83万,2.96%,15.59,7.12亿,5.45亿,34.26%,15.70亿
2017,,,19.38,,2.96,-22.18%,9702.10万,-37.59%,15.16,9.39亿,4.86亿,30.63%,15.13亿
2016,,,45.37,,3.81,2.92%,1.55亿,-9.38%,14.89,9.31亿,4.59亿,41.45%,14.97亿
2015,,,,,3.7,2.74%,1.72亿,8.85%,6.31,7.06亿,3.16亿,47.55%,4.78亿
2014,,,,,3.6,32.23%,1.58亿,24.45%,5.32,6.32亿,2.43亿,45.36%,4.05亿
2013,,,,,2.72,7.86%,1.27亿,-2.43%,3.49,4.20亿,1.16亿,46.42%,2.62亿
2012,,,,,2.52,15.57%,1.30亿,12.82%,2.44,3.20亿,5712.69万,50.93%,1.83亿
2011,,,,,2.18,False,1.15亿,False,1.26,2.26亿,7856.05万,52.42%,9459.58万
