报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,122.683,21.9468,5.59,13.85,2.60%,6.35亿,2.73%,10.54,8.858,19.2759,0.5304,PB；PE,62.83亿,45.86%,237.04亿,,,无锡市太湖新城资产经营管理有限公司
2026-03-31,122.683,21.9468,5.59,13.85,2.60%,6.35亿,2.73%,10.54,2.2145,19.2759,0.5304,PB；PE,62.83亿,45.86%,237.04亿,,,无锡市太湖新城资产经营管理有限公司
2025,130.145,21.9468,5.93,48.19,1.98%,23.09亿,2.53%,10.23,2.7007,5.8713,0.5797,PB；PE,56.49亿,47.89%,230.12亿,0.33000000000000007,,无锡市太湖新城资产经营管理有限公司
2024,120.682,21.512,5.61,47.26,4.15%,22.52亿,2.35%,9.68,2.5536,5.7245,0.5795,PB；PE,46.24亿,47.68%,233.66亿,0.2,,无锡市太湖新城资产经营管理有限公司
2023,85.823,18.6168,4.61,45.38,1.28%,22.00亿,9.96%,8.63,1.8912,4.7041,0.5342,PB；PE,33.60亿,48.66%,212.00亿,0.2,,无锡市太湖新城资产经营管理有限公司
2022,86.196,18.6168,4.63,44.8,3.01%,20.01亿,26.65%,7.8,1.924,4.5392,0.5936,PB；PE,21.28亿,44.91%,195.20亿,0.18,,无锡市太湖新城资产经营管理有限公司
2021,89.273,18.483,4.83,43.49,11.63%,15.80亿,20.47%,7.09,2.0527,5.963,0.6812,PB；PE,15.57亿,37.20%,159.24亿,0.18,,无锡市太湖新城资产经营管理有限公司
2020,92.598,18.4826,5.01,38.96,10.07%,13.12亿,4.96%,6.42,2.3767,7.0563,0.7804,PB；PE,11.57亿,33.93%,140.70亿,0.18,,无锡市太湖新城资产经营管理有限公司
2019,81.506,18.482,4.41,35.4,10.89%,12.50亿,14.07%,5.97,2.3024,6.4853,0.7387,PB；PE,8.29亿,35.37%,117.30亿,0.18,,无锡市太湖新城资产经营管理有限公司
2018,74.664,18.4811,4.04,31.92,11.95%,10.96亿,10.11%,5.87,2.3391,6.8475,0.6882,PB；PE,7.33亿,33.70%,109.29亿,0.15,,无锡市太湖新城资产经营管理有限公司
2017,,,5.93,28.51,13.16%,9.95亿,11.45%,5.01,,10.9815,1.1836,PB；PE,4.72亿,34.82%,93.52亿,0.15,,无锡市太湖新城资产经营管理有限公司
2016,,,8.14,25.2,5.22%,8.93亿,7.13%,4.75,,15.6538,1.7137,PB；PE,2.53亿,35.04%,88.73亿,,,无锡市太湖新城资产经营管理有限公司
2015,,,,23.97,5.19%,8.33亿,-9.97%,4.33,,,,PB；PE,1.52亿,34.17%,73.18亿,,,无锡市太湖新城资产经营管理有限公司
2014,,,,22.78,10.64%,9.26亿,0.03%,3.86,,,,PB；PE,2.17亿,40.28%,65.37亿,,,无锡市太湖新城资产经营管理有限公司
2013,,,,20.59,3.39%,9.25亿,6.98%,3.39,,,,PB；PE,2.28亿,45.26%,57.77亿,,,无锡市太湖新城资产经营管理有限公司
2012,,,,19.92,16.03%,8.65亿,19.01%,2.98,,,,PB；PE,2.24亿,43.57%,50.84亿,,,无锡市太湖新城资产经营管理有限公司
2011,,,,17.17,False,7.27亿,False,3.52,,,,PB；PE,1.65亿,42.80%,43.72亿,,,无锡市太湖新城资产经营管理有限公司
