报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-11,1099.722,159.1493,6.91,246.22,35.33%,49.87亿,-1.50%,20.19,4.4664,22.2903,0.3422,PB；PE,1646.58亿,20.79%,4055.56亿,0.1,20%: 最新年度净利润同比下降,首钢集团有限公司
2026-03-31,1099.722,159.1493,6.91,246.22,35.33%,49.87亿,-1.50%,20.19,1.1166,22.2903,0.3422,PB；PE,1646.58亿,20.79%,4055.56亿,0.1,,首钢集团有限公司
2025,1075.849,159.1493,6.76,919.14,-5.39%,272.00亿,-1.72%,19.84,1.1705,4.1728,0.3407,PB；PE,1597.06亿,30.19%,3998.00亿,0.405,,首钢集团有限公司
2024,1192.028,159.1493,7.49,971.46,4.23%,276.76亿,4.98%,18.97,1.227,4.6235,0.3948,PB；PE,1439.08亿,29.02%,3656.84亿,0.384,,首钢集团有限公司
2023,787.789,159.1493,4.95,932.07,-0.64%,263.63亿,5.30%,17.5,0.8452,3.3446,0.2829,PB；PE,1298.39亿,28.80%,3217.62亿,0.383,,首钢集团有限公司
2022,657.034,153.8722,4.27,938.08,-2.15%,250.35亿,6.37%,16.37,0.7004,2.986,0.2608,PB；PE,1163.60亿,27.17%,3233.22亿,0.33799999999999997,,首钢集团有限公司
2021,664.728,153.8722,4.32,958.7,0.59%,235.35亿,10.62%,15.49,0.6934,3.2,0.2789,PB；PE,1054.31亿,24.93%,3007.02亿,0.301,,首钢集团有限公司
2020,706.273,153.8722,4.59,953.09,12.48%,212.75亿,-2.88%,14.34,0.741,3.825,0.3201,PB；PE,962.38亿,22.63%,2826.55亿,0.24900000000000003,,首钢集团有限公司
2019,693.708,128.2269,5.41,847.34,17.32%,219.05亿,5.04%,13.49,0.8187,3.9489,0.401,PB；PE,874.86亿,26.10%,2693.37亿,0.174,,首钢集团有限公司
2018,652.675,128.2269,5.09,722.27,8.80%,208.54亿,5.22%,12.81,0.9036,3.2628,0.3973,PB；PE,824.36亿,29.06%,2187.15亿,0.151,,首钢集团有限公司
2017,,,6.07,663.84,3.70%,198.19亿,0.72%,11.55,,4.1014,0.5255,PB；PE,680.23亿,30.03%,1694.98亿,0.181,,首钢集团有限公司
2016,,,6.0,640.15,8.80%,196.77亿,4.20%,12.37,,3.9216,0.485,PB；PE,583.60亿,30.86%,1529.73亿,0.363,,首钢集团有限公司
2015,,,6.48,588.44,7.21%,188.83亿,5.02%,11.01,,3.661,0.5886,PB；PE,475.74亿,32.21%,1183.88亿,0.43499999999999994,,首钢集团有限公司
2014,,,5.82,548.85,21.38%,179.81亿,15.96%,11.39,,3.4643,0.511,PB；PE,386.95亿,32.84%,1020.99亿,0.43499999999999994,,首钢集团有限公司
2013,,,3.51,452.19,13.68%,155.06亿,21.17%,9.59,,2.0172,0.366,PB；PE,302.88亿,34.30%,860.19亿,0.47000000000000003,,首钢集团有限公司
2012,,,3.1,397.78,18.58%,127.97亿,38.77%,10.9,,2.1528,0.2844,PB；PE,180.01亿,32.17%,747.23亿,0.25,,首钢集团有限公司
2011,,,3.28,335.44,37.03%,92.22亿,53.97%,9.33,,2.2159,0.3516,PB；PE,113.53亿,27.49%,639.30亿,0.2,,首钢集团有限公司
2010,,,3.13,244.79,42.90%,59.90亿,59.29%,7.11,,2.6079,0.4402,PB；PE,54.35亿,24.47%,354.96亿,0.13,,首钢集团有限公司
