报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,214.579,33.1652,6.47,31.71,6.74%,12.04亿,11.10%,9.88,6.7669,17.9722,0.6549,PB；PE,155.11亿,40.50%,347.77亿,0.12,,交通银行股份有限公司
2026-03-31,214.579,33.1652,6.47,31.71,6.74%,12.04亿,11.10%,9.88,1.6917,17.9722,0.6549,PB；PE,155.11亿,40.50%,347.77亿,0.12,,交通银行股份有限公司
2025,189.642,30.1498,6.29,116.19,6.51%,42.19亿,10.65%,9.46,1.6322,4.9528,0.6649,PB；PE,143.07亿,38.42%,334.61亿,0.4,,交通银行股份有限公司
2024,160.067,27.4088,5.84,109.09,10.53%,38.13亿,16.20%,9.5,1.4673,5.0783,0.6147,PB；PE,113.38亿,37.34%,306.69亿,0.25,,交通银行股份有限公司
2023,119.227,27.4086,4.35,98.7,12.05%,32.82亿,19.60%,9.25,1.208,3.9908,0.4703,PB；PE,92.60亿,35.53%,271.31亿,0.25,,交通银行股份有限公司
2022,135.947,27.4086,4.96,88.09,15.07%,27.44亿,25.39%,8.24,1.5433,4.96,0.6019,PB；PE,66.64亿,33.23%,241.16亿,0.2,,交通银行股份有限公司
2021,115.664,27.4086,4.22,76.55,16.31%,21.88亿,21.34%,7.22,1.511,5.275,0.5845,PB；PE,44.68亿,30.58%,211.37亿,0.2,,交通银行股份有限公司
2020,125.531,27.4086,4.58,65.82,2.13%,18.03亿,1.01%,6.55,1.9072,6.9394,0.6992,PB；PE,31.64亿,29.42%,191.07亿,0.2,,交通银行股份有限公司
2019,124.904,22.6275,5.52,64.45,10.67%,17.85亿,20.14%,6.18,1.938,8.0,0.8932,PB；PE,25.79亿,29.47%,178.99亿,0.18,,交通银行股份有限公司
2018,80.685,22.2273,3.63,58.24,16.55%,14.86亿,17.53%,5.67,1.3854,5.4179,0.6402,PB；PE,20.56亿,27.21%,135.36亿,0.18,,交通银行股份有限公司
2017,,,4.1,49.97,11.65%,12.64亿,21.51%,4.71,,7.193,0.8705,PB；PE,17.90亿,26.46%,111.09亿,0.18,,交通银行股份有限公司
2016,,,5.88,44.75,28.16%,10.41亿,7.71%,4.43,,11.5294,1.3273,PB；PE,16.49亿,23.57%,104.31亿,,,交通银行股份有限公司
2015,,,,34.92,13.83%,9.66亿,-3.28%,4.04,,,,PB；PE,12.30亿,28.14%,84.27亿,,,交通银行股份有限公司
2014,,,,30.68,29.73%,9.99亿,1.79%,4.68,,,,PB；PE,10.39亿,32.61%,73.68亿,,,交通银行股份有限公司
2013,,,,23.65,1.26%,9.81亿,12.43%,3.85,,,,PB；PE,10.98亿,42.10%,60.53亿,,,交通银行股份有限公司
2012,,,,23.35,17.54%,8.73亿,10.53%,3.71,,,,PB；PE,10.82亿,37.96%,57.30亿,,,交通银行股份有限公司
2011,,,,19.87,42.28%,7.90亿,39.46%,3.16,,,,PB；PE,7.26亿,40.16%,48.84亿,,,交通银行股份有限公司
2010,,,,13.96,43.19%,5.66亿,17.74%,0.0,,,,PB；PE,3.77亿,40.92%,41.13亿,,,交通银行股份有限公司
