报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-11,1563.032,437.8242,3.57,378.22,2.74%,115.14亿,-9.64%,13.14,4.1326,13.7308,0.2717,PB；PE,3024.25亿,30.38%,7139.52亿,,20%: 最新年度净利润同比下降,香港中央结算(代理人)有限公司
2026-03-31,1563.032,437.8242,3.57,378.22,2.74%,115.14亿,-9.64%,13.14,1.0332,13.7308,0.2717,PB；PE,3024.25亿,30.38%,7139.52亿,,,香港中央结算(代理人)有限公司
2025,1676.867,437.8242,3.83,1428.65,4.82%,305.63亿,-5.37%,12.9,1.1737,6.0794,0.2969,PB；PE,2909.98亿,21.41%,7031.97亿,0.198,,香港中央结算(代理人)有限公司
2024,1729.406,437.8242,3.95,1362.9,-3.21%,322.96亿,-9.85%,12.51,1.2689,6.1719,0.3157,PB；PE,2776.31亿,24.01%,6565.68亿,0.34600000000000003,,香港中央结算(代理人)有限公司
2023,1431.685,437.8242,3.27,1408.17,-1.16%,358.23亿,1.57%,12.1,1.0167,4.5417,0.2702,PB；PE,2716.45亿,25.56%,6378.01亿,0.21400000000000002,,香港中央结算(代理人)有限公司
2022,1247.799,437.8242,2.85,1424.76,-15.60%,352.69亿,2.58%,11.53,0.8758,4.0141,0.2472,PB；PE,2578.77亿,25.11%,6128.14亿,0.213,,香港中央结算(代理人)有限公司
2021,1335.364,437.8242,3.05,1688.04,-8.73%,343.81亿,0.21%,11.06,0.7911,4.2958,0.2758,PB；PE,2431.44亿,20.65%,5865.39亿,0.213,,香港中央结算(代理人)有限公司
2020,1698.758,437.8242,3.88,1849.51,2.50%,343.09亿,-36.25%,10.5,0.9185,5.4648,0.3695,PB；PE,2252.47亿,18.98%,5412.48亿,0.37,,香港中央结算(代理人)有限公司
2019,1939.561,437.8242,4.43,1804.41,15.10%,538.19亿,6.94%,10.26,1.0749,3.6311,0.4318,PB；PE,2187.46亿,30.44%,5308.29亿,0.34500000000000003,,香港中央结算(代理人)有限公司
2018,1386.443,364.8535,3.8,1567.69,8.66%,503.27亿,1.03%,9.37,0.8844,3.3333,0.4055,PB；PE,1931.31亿,32.10%,4310.01亿,0.09,,香港中央结算(代理人)有限公司
2017,,,4.58,1442.81,-7.01%,498.13亿,4.12%,10.12,,4.0531,0.4526,PB；PE,1634.20亿,35.29%,3898.12亿,0.285,,香港中央结算(代理人)有限公司
2016,,,4.79,1551.54,0.51%,478.43亿,3.76%,9.12,,3.6565,0.5252,PB；PE,1306.30亿,31.43%,3520.27亿,0.35,,香港中央结算(代理人)有限公司
2015,,,4.89,1544.25,13.99%,461.11亿,3.51%,8.26,,3.7615,0.592,PB；PE,1168.26亿,30.45%,3097.83亿,0.185,,香港中央结算(代理人)有限公司
2014,,,5.41,1354.69,16.90%,445.46亿,5.36%,7.03,,4.1298,0.7696,PB；PE,900.19亿,33.64%,2477.56亿,0.1,,香港中央结算(代理人)有限公司
2013,,,3.16,1158.86,12.39%,422.78亿,12.55%,6.97,,2.5484,0.4534,PB；PE,640.23亿,37.35%,2042.87亿,0.308,,香港中央结算(代理人)有限公司
2012,,,3.11,1031.11,25.18%,375.63亿,34.54%,5.75,,2.3209,0.5409,PB；PE,376.15亿,37.15%,1685.44亿,0.44999999999999996,,香港中央结算(代理人)有限公司
2011,,,2.16,823.68,50.39%,279.20亿,58.81%,4.85,,2.0571,0.4454,PB；PE,392.45亿,34.53%,1341.10亿,0.1,,香港中央结算(代理人)有限公司
2010,,,1.81,547.68,30.21%,175.81亿,45.25%,3.9,,2.7424,0.4641,PB；PE,198.81亿,32.30%,1052.57亿,0.05,,香港中央结算(代理人)有限公司
