报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,23798.846,3499.8303,6.8,2062.55,10.49%,751.85亿,4.52%,8.08,11.5386,34.0,0.8416,PB；PE,1.34万亿,36.64%,3.30万亿,0.13,,中央汇金投资有限责任公司
2026-03-31,23798.846,3499.8303,6.8,2062.55,10.49%,751.85亿,4.52%,8.08,2.8846,34.0,0.8416,PB；PE,1.34万亿,36.64%,3.30万亿,0.13,,中央汇金投资有限责任公司
2025,26353.722,3499.8303,7.53,7253.06,2.08%,2910.41亿,3.18%,7.91,3.6335,9.6538,0.952,PB；PE,1.27万亿,40.26%,3.24万亿,0.3614,,中央汇金投资有限责任公司
2024,17289.162,3499.8303,4.94,7105.55,2.26%,2820.83亿,4.72%,7.4,2.4332,6.5867,0.6676,PB；PE,1.15万亿,39.78%,3.10万亿,0.23090000000000002,,中央汇金投资有限责任公司
2023,11164.459,3499.8303,3.19,6948.28,0.03%,2693.56亿,3.91%,6.88,1.6068,4.4306,0.4637,PB；PE,1.11万亿,38.83%,2.90万亿,0.2222,,中央汇金投资有限责任公司
2022,8399.593,3499.8303,2.4,6946.52,0.69%,2592.32亿,7.48%,6.37,1.2092,3.4783,0.3768,PB；PE,1.03万亿,35.69%,2.67万亿,0.2068,,中央汇金投资有限责任公司
2021,7874.618,3499.8303,2.25,7199.15,9.42%,2411.83亿,11.70%,5.87,1.0938,3.4615,0.3833,PB；PE,9259.55亿,33.61%,2.42万亿,0.1851,,中央汇金投资有限责任公司
2020,7944.615,3499.8303,2.27,6579.61,4.89%,2159.25亿,1.80%,5.39,1.2075,3.8475,0.4212,PB；PE,8282.40亿,32.89%,2.21万亿,0.1819,,中央汇金投资有限责任公司
2019,8854.571,3499.8303,2.53,6272.68,4.79%,2120.98亿,4.59%,5.0,1.4116,4.2881,0.506,PB；PE,7411.01亿,33.94%,1.95万亿,0.1739,,中央汇金投资有限责任公司
2018,7665.141,3247.9412,2.36,5985.88,11.46%,2027.83亿,5.09%,4.54,1.2805,4.0,0.5198,PB；PE,6529.44亿,33.85%,1.67万亿,0.1783,,中央汇金投资有限责任公司
2017,,,2.39,5370.41,6.13%,1929.62亿,4.90%,4.15,,4.1207,0.5759,PB；PE,5775.73亿,35.96%,1.43万亿,0.16999999999999998,,中央汇金投资有限责任公司
2016,,,1.84,5060.16,-5.62%,1839.41亿,1.86%,3.81,,3.3455,0.4829,PB；PE,4960.83亿,36.37%,1.32万亿,0.1668,,中央汇金投资有限责任公司
2015,,,1.82,5361.68,2.94%,1805.82亿,0.62%,3.48,,3.3091,0.523,PB；PE,4120.05亿,33.72%,1.21万亿,0.182,,中央汇金投资有限责任公司
2014,,,2.0,5208.58,12.59%,1794.61亿,7.90%,3.05,,3.6364,0.6557,PB；PE,3299.89亿,34.46%,1.03万亿,0.177,,中央汇金投资有限责任公司
2013,,,1.24,4626.25,9.64%,1663.15亿,14.63%,2.6,,2.4314,0.4769,PB；PE,2434.82亿,35.93%,8445.37亿,0.1565,,中央汇金投资有限责任公司
2012,,,1.32,4219.64,11.71%,1450.94亿,19.00%,2.31,,2.9333,0.5714,PB；PE,2084.88亿,34.39%,7513.54亿,0.1315,,中央汇金投资有限责任公司
2011,,,1.17,3777.31,30.06%,1219.27亿,28.52%,2.0,,3.0789,0.585,PB；PE,1310.86亿,32.29%,6497.88亿,0.054000000000000006,,中央汇金投资有限责任公司
2010,,,1.18,2904.18,30.66%,948.73亿,45.98%,1.67,,3.5758,0.7066,PB；PE,454.84亿,32.68%,5422.36亿,,,中央汇金投资有限责任公司
