报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,160.0,44.4444,3.6,28.86,41.54%,7.56亿,6.16%,8.07,5.544,21.1765,0.4461,PB；PE,186.91亿,26.19%,409.52亿,,,加拿大丰业银行
2026-03-31,160.0,44.4444,3.6,28.86,41.54%,7.56亿,6.16%,8.07,1.386,21.1765,0.4461,PB；PE,186.91亿,26.19%,409.52亿,,,加拿大丰业银行
2025,164.444,44.4444,3.7,99.66,21.68%,26.50亿,3.57%,7.9,1.6501,6.1667,0.4684,PB；PE,179.35亿,26.56%,401.69亿,0.1,,加拿大丰业银行
2024,156.444,44.4444,3.52,81.9,13.68%,25.59亿,3.91%,7.52,1.9102,6.069,0.4681,PB；PE,166.63亿,31.26%,334.72亿,0.05600000000000001,,加拿大丰业银行
2023,142.222,44.4444,3.2,72.05,9.70%,24.62亿,1.56%,6.94,1.9739,5.8182,0.4611,PB；PE,149.44亿,34.21%,309.26亿,0.16499999999999998,,加拿大丰业银行
2022,143.555,44.4444,3.23,65.68,-8.82%,24.24亿,-13.55%,6.57,2.1857,5.8727,0.4916,PB；PE,133.88亿,36.94%,292.48亿,0.19,,加拿大丰业银行
2021,167.111,44.4444,3.76,72.03,0.91%,28.04亿,1.73%,6.2,2.32,5.9683,0.6065,PB；PE,124.19亿,38.97%,276.03亿,0.19,,加拿大丰业银行
2020,207.555,44.4444,4.67,71.38,4.27%,27.56亿,3.05%,5.75,2.9077,7.5323,0.8122,PB；PE,111.31亿,38.66%,256.24亿,0.185,,加拿大丰业银行
2019,280.0,44.4444,6.3,68.45,14.55%,26.75亿,13.27%,5.31,4.0906,10.3279,1.1864,PB；PE,99.92亿,39.13%,236.68亿,0.16,,加拿大丰业银行
2018,,,,59.76,21.31%,23.62亿,10.82%,4.99,,,,PB；PE,88.62亿,39.58%,199.94亿,,,加拿大丰业银行
2017,,,,49.26,9.04%,21.31亿,5.96%,4.42,,,,PB；PE,69.97亿,42.65%,177.15亿,,,加拿大丰业银行
2016,,,,45.18,-4.04%,20.11亿,1.09%,3.98,,,,PB；PE,55.49亿,44.57%,159.72亿,,,加拿大丰业银行
2015,,,,47.08,14.71%,19.90亿,10.11%,3.59,,,,PB；PE,55.02亿,42.35%,144.19亿,,,加拿大丰业银行
2014,,,,41.04,19.58%,18.07亿,10.82%,3.25,,,,PB；PE,43.85亿,44.11%,98.26亿,,,加拿大丰业银行
2013,,,,34.32,10.27%,16.31亿,12.07%,2.74,,,,PB；PE,31.49亿,47.55%,82.91亿,,,加拿大丰业银行
2012,,,,31.13,19.11%,14.55亿,31.41%,0.0,,,,PB；PE,25.50亿,46.77%,67.74亿,,,加拿大丰业银行
2011,,,,26.13,46.84%,11.07亿,34.03%,0.0,,,,PB；PE,15.83亿,42.37%,55.37亿,,,加拿大丰业银行
2010,,,,17.8,10.65%,8.26亿,15.38%,0.0,,,,PB；PE,8.25亿,43.56%,44.63亿,,,加拿大丰业银行
