报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,94.772,19.6216,4.83,10.68,-3.68%,4.22亿,-0.50%,10.29,8.8738,21.9545,0.4694,PB；PE,73.87亿,40.13%,204.72亿,0.21000000000000002,40%: 最新年度营业收入下滑；最新年度净利润同比下降,浙江柯桥转型升级产业基金有限公司
2026-03-31,94.772,19.6216,4.83,10.68,-3.68%,4.22亿,-0.50%,10.29,2.2184,21.9545,0.4694,PB；PE,73.87亿,40.13%,204.72亿,0.21000000000000002,,浙江柯桥转型升级产业基金有限公司
2025,107.33,19.6216,5.47,44.08,0.53%,19.66亿,2.30%,10.03,2.4349,5.47,0.5454,PB；PE,69.65亿,45.08%,199.64亿,0.2,,浙江柯桥转型升级产业基金有限公司
2024,102.032,19.6216,5.2,43.85,15.29%,19.22亿,11.27%,9.67,2.3268,5.3061,0.5377,PB；PE,61.75亿,44.33%,192.26亿,0.18,,浙江柯桥转型升级产业基金有限公司
2023,66.562,15.0935,4.41,38.04,7.90%,17.27亿,13.04%,8.47,1.7498,5.0114,0.5207,PB；PE,54.04亿,45.97%,168.70亿,0.15,,浙江柯桥转型升级产业基金有限公司
2022,63.996,15.0935,4.24,35.25,6.49%,15.28亿,20.20%,9.88,1.8155,5.4359,0.4291,PB；PE,50.53亿,44.01%,151.76亿,0.18,,浙江柯桥转型升级产业基金有限公司
2021,111.994,15.0935,7.42,33.1,10.02%,12.71亿,15.08%,8.99,3.3835,8.3371,0.8254,PB；PE,43.04亿,39.12%,138.16亿,,,浙江柯桥转型升级产业基金有限公司
2020,,,,30.09,5.19%,11.05亿,6.40%,8.12,,,,PB；PE,35.33亿,37.21%,112.53亿,,,浙江柯桥转型升级产业基金有限公司
2019,,,,28.6,8.32%,10.38亿,7.71%,7.53,,,,PB；PE,30.29亿,36.86%,104.50亿,,,浙江柯桥转型升级产业基金有限公司
2018,,,,26.41,19.06%,9.64亿,20.09%,6.92,,,,PB；PE,26.01亿,37.03%,96.09亿,,,浙江柯桥转型升级产业基金有限公司
2017,,,,22.18,-13.67%,8.03亿,1.57%,0.0,,,,PB；PE,21.80亿,36.76%,85.52亿,,,浙江柯桥转型升级产业基金有限公司
2016,,,,25.69,6.36%,7.90亿,7.64%,5.7,,,,PB；PE,18.41亿,32.13%,79.35亿,,,浙江柯桥转型升级产业基金有限公司
2015,,,,23.36,-0.28%,7.34亿,-1.91%,5.62,,,,PB；PE,15.44亿,32.07%,74.58亿,,,浙江柯桥转型升级产业基金有限公司
2014,,,,23.43,12.77%,7.48亿,-6.31%,5.53,,,,PB；PE,13.63亿,32.79%,68.07亿,,,浙江柯桥转型升级产业基金有限公司
2013,,,,20.77,1.59%,7.99亿,-16.48%,5.37,,,,PB；PE,11.45亿,39.73%,60.12亿,,,浙江柯桥转型升级产业基金有限公司
2012,,,,20.45,19.62%,9.56亿,20.03%,0.0,,,,PB；PE,10.79亿,46.77%,52.02亿,,,浙江柯桥转型升级产业基金有限公司
2011,,,,17.1,18.19%,7.97亿,11.15%,0.0,,,,PB；PE,8.81亿,46.61%,43.37亿,,,浙江柯桥转型升级产业基金有限公司
2010,,,,14.46,False,7.17亿,False,0.0,,,,PB；PE,8.77亿,49.56%,35.80亿,,,浙江柯桥转型升级产业基金有限公司
