报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,2181.972,183.5132,11.89,241.8,8.41%,105.82亿,8.20%,14.4,9.0239,20.5,0.8257,PB；PE,750.03亿,45.18%,3561.10亿,0.3309,,江苏省国际信托有限责任公司
2026-03-31,2181.972,183.5132,11.89,241.8,8.41%,105.82亿,8.20%,14.4,2.256,20.5,0.8257,PB；PE,750.03亿,45.18%,3561.10亿,0.3309,,江苏省国际信托有限责任公司
2025,1849.813,183.5132,10.08,879.42,8.82%,345.01亿,8.35%,14.06,2.1034,5.7273,0.7169,PB；PE,769.05亿,41.26%,3495.82亿,0.5206,,江苏省国际信托有限责任公司
2024,1662.63,183.5132,9.06,808.15,8.78%,318.43亿,10.76%,12.73,2.0573,5.4909,0.7117,PB；PE,667.30亿,41.21%,3136.58亿,0.47000000000000003,,江苏省国际信托有限责任公司
2023,855.163,147.6966,5.79,742.93,5.28%,287.50亿,13.25%,11.47,1.1511,3.426,0.5048,PB；PE,637.99亿,40.40%,2591.16亿,0.4907,,江苏省国际信托有限责任公司
2022,869.931,147.6963,5.89,705.7,10.66%,253.86亿,28.90%,11.42,1.2327,3.6812,0.5158,PB；PE,538.60亿,37.34%,2154.31亿,0.4,,江苏省国际信托有限责任公司
2021,654.294,147.6961,4.43,637.71,22.58%,196.94亿,30.72%,10.31,1.026,3.6612,0.4297,PB；PE,447.27亿,32.00%,1980.56亿,0.316,,江苏省国际信托有限责任公司
2020,459.471,115.445,3.98,520.26,15.68%,150.66亿,3.06%,9.35,0.8832,3.2893,0.4257,PB；PE,392.60亿,30.02%,1820.79亿,0.27799999999999997,,江苏省国际信托有限责任公司
2019,550.67,115.4445,4.77,449.74,27.68%,146.19亿,11.89%,9.53,1.2244,4.0424,0.5005,PB；PE,352.66亿,33.26%,1364.36亿,0.33999999999999997,,江苏省国际信托有限责任公司
2018,432.917,115.4445,3.75,352.24,4.09%,130.65亿,10.02%,8.89,1.229,3.6058,0.4218,PB；PE,345.97亿,37.65%,1245.05亿,0.18,,江苏省国际信托有限责任公司
2017,,,4.48,338.39,7.58%,118.75亿,11.92%,7.9,,4.3495,0.5671,PB；PE,293.89亿,35.51%,1128.28亿,0.178,,江苏省国际信托有限责任公司
2016,,,5.76,314.56,11.81%,106.11亿,11.72%,7.16,,5.8776,0.8045,PB；PE,228.79亿,33.92%,842.07亿,,,江苏省国际信托有限责任公司
2015,,,,280.47,10.74%,94.97亿,9.36%,6.27,,,,PB；PE,192.51亿,33.89%,655.35亿,,,江苏省国际信托有限责任公司
2014,,,,253.26,13.44%,86.85亿,6.10%,5.38,,,,PB；PE,163.39亿,34.35%,560.65亿,,,江苏省国际信托有限责任公司
2013,,,,223.26,12.51%,81.86亿,16.28%,4.6,,,,PB；PE,135.06亿,36.73%,478.95亿,,,江苏省国际信托有限责任公司
2012,,,,198.42,20.08%,70.39亿,20.67%,3.75,,,,PB；PE,86.09亿,35.52%,342.69亿,,,江苏省国际信托有限责任公司
2011,,,,165.24,44.35%,58.34亿,39.38%,3.06,,,,PB；PE,71.59亿,35.31%,278.12亿,,,江苏省国际信托有限责任公司
2010,,,,114.48,35.83%,41.85亿,59.67%,0.0,,,,PB；PE,37.32亿,36.56%,226.92亿,,,江苏省国际信托有限责任公司
