报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,120.179,56.957,2.11,20.33,-0.20%,5.32亿,-4.79%,5.4,5.9114,22.591,0.3907,PB；PE,89.68亿,26.95%,361.88亿,0.05,40%: 最新年度营业收入下滑；最新年度净利润同比下降,兰州市财政局
2026-03-31,120.179,56.957,2.11,20.33,-0.20%,5.32亿,-4.79%,5.4,1.4779,22.591,0.3907,PB；PE,89.68亿,26.95%,361.88亿,0.05,,兰州市财政局
2025,129.292,56.957,2.27,77.95,-0.75%,18.65亿,-1.22%,5.34,1.6587,7.9565,0.4251,PB；PE,87.21亿,24.51%,357.98亿,0.101,,兰州市财政局
2024,131.571,56.957,2.31,78.54,-2.02%,18.88亿,1.29%,5.36,1.6752,7.9848,0.431,PB；PE,84.30亿,24.73%,358.89亿,0.1,,兰州市财政局
2023,133.279,56.957,2.34,80.16,7.59%,18.64亿,7.55%,4.91,1.6627,8.2076,0.4766,PB；PE,79.95亿,23.86%,332.82亿,0.12,,兰州市财政局
2022,185.68,56.957,3.26,74.5,-4.92%,17.33亿,10.66%,4.67,2.4923,12.3345,0.6981,PB；PE,75.38亿,23.80%,319.14亿,0.1,,兰州市财政局
2021,,,,78.36,7.29%,15.66亿,4.90%,4.63,,,,PB；PE,72.45亿,20.45%,290.08亿,,,兰州市财政局
2020,,,,73.04,-4.12%,14.93亿,1.96%,4.32,,,,PB；PE,70.13亿,20.98%,274.32亿,,,兰州市财政局
2019,,,,76.18,12.03%,14.64亿,-34.85%,4.19,,,,PB；PE,65.46亿,19.62%,217.19亿,,,兰州市财政局
2018,,,,68.0,3.38%,22.48亿,-4.80%,4.1,,,,PB；PE,65.03亿,33.32%,212.50亿,,,兰州市财政局
2017,,,,65.77,8.17%,23.61亿,11.11%,3.63,,,,PB；PE,46.23亿,36.15%,188.34亿,,,兰州市财政局
2016,,,,60.81,12.25%,21.25亿,21.51%,3.17,,,,PB；PE,26.48亿,34.96%,164.53亿,,,兰州市财政局
2015,,,,54.17,12.75%,17.49亿,17.48%,2.78,,,,PB；PE,14.55亿,32.28%,142.58亿,,,兰州市财政局
2014,,,,48.05,45.58%,14.89亿,33.17%,2.6,,,,PB；PE,11.84亿,30.98%,94.18亿,,,兰州市财政局
2013,,,,33.0,1.78%,11.18亿,-13.00%,2.26,,,,PB；PE,7.59亿,33.87%,81.94亿,,,兰州市财政局
2012,,,,32.43,42.98%,12.85亿,97.65%,0.0,,,,PB；PE,4.61亿,31.25%,44.47亿,,,兰州市财政局
2011,,,,20.13,38.51%,6.50亿,94.36%,0.0,,,,PB；PE,8.15亿,32.39%,42.41亿,,,兰州市财政局
2010,,,,14.77,89.20%,3.34亿,104.23%,0.0,,,,PB；PE,3.00亿,22.64%,35.61亿,,,兰州市财政局
