报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,98.115,36.61,2.68,11.66,2.22%,4.29亿,1.62%,5.58,8.4147,22.3333,0.4803,PB；PE,35.28亿,36.76%,207.74亿,0.1,,南京紫金投资集团有限责任公司
2026-03-31,98.115,36.61,2.68,11.66,2.22%,4.29亿,1.62%,5.58,2.1037,22.3333,0.4803,PB；PE,35.28亿,36.76%,207.74亿,0.1,,南京紫金投资集团有限责任公司
2025,97.382,36.6098,2.66,41.18,-7.72%,12.44亿,-23.35%,5.55,2.3648,7.8235,0.4793,PB；PE,29.75亿,30.22%,203.01亿,0.1,,南京紫金投资集团有限责任公司
2024,97.016,36.6098,2.65,44.63,0.98%,16.24亿,0.30%,5.45,2.1738,6.0227,0.4862,PB；PE,31.14亿,36.38%,199.36亿,0.1,,南京紫金投资集团有限责任公司
2023,82.738,36.6098,2.26,44.2,-1.93%,16.19亿,1.16%,5.05,1.8719,5.1364,0.4475,PB；PE,30.92亿,36.62%,184.72亿,0.1,,南京紫金投资集团有限责任公司
2022,81.639,36.6096,2.23,45.07,0.10%,16.00亿,5.61%,4.67,1.8114,5.0682,0.4775,PB；PE,28.81亿,35.51%,170.97亿,0.1,,南京紫金投资集团有限责任公司
2021,102.139,36.6089,2.79,45.02,0.57%,15.15亿,5.11%,4.37,2.2687,6.8049,0.6384,PB；PE,26.41亿,33.66%,159.99亿,0.1,,南京紫金投资集团有限责任公司
2020,124.836,36.6089,3.41,44.77,-4.25%,14.41亿,1.72%,3.93,2.7884,8.7436,0.8677,PB；PE,24.36亿,32.20%,148.15亿,0.1,,南京紫金投资集团有限责任公司
2019,162.91,36.6089,4.45,46.75,10.54%,14.17亿,13.03%,3.76,3.4847,11.4103,1.1835,PB；PE,22.84亿,30.31%,137.49亿,0.1,,南京紫金投资集团有限责任公司
2018,,,,42.3,16.77%,12.54亿,10.20%,3.36,,,,PB；PE,15.25亿,29.64%,122.94亿,,,南京紫金投资集团有限责任公司
2017,,,,36.22,5.24%,11.38亿,10.13%,3.02,,,,PB；PE,13.42亿,31.41%,99.55亿,,,南京紫金投资集团有限责任公司
2016,,,,34.42,16.96%,10.33亿,23.04%,2.83,,,,PB；PE,16.00亿,30.02%,93.14亿,,,南京紫金投资集团有限责任公司
2015,,,,29.43,18.35%,8.40亿,12.15%,2.54,,,,PB；PE,12.17亿,28.53%,60.25亿,,,南京紫金投资集团有限责任公司
2014,,,,24.86,15.41%,7.49亿,29.65%,2.27,,,,PB；PE,10.01亿,30.11%,53.84亿,,,南京紫金投资集团有限责任公司
2013,,,,21.54,10.68%,5.77亿,15.03%,1.86,,,,PB；PE,7.51亿,26.80%,46.28亿,,,南京紫金投资集团有限责任公司
2012,,,,19.47,5.30%,5.02亿,17.49%,0.0,,,,PB；PE,5.43亿,25.79%,42.43亿,,,南京紫金投资集团有限责任公司
2011,,,,18.49,18.14%,4.27亿,4.40%,0.0,,,,PB；PE,4.63亿,25.03%,37.21亿,,,南京紫金投资集团有限责任公司
2010,,,,15.65,False,4.09亿,False,0.0,,,,PB；PE,3.74亿,26.16%,22.69亿,,,南京紫金投资集团有限责任公司
