报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,393.308,40.2155,9.78,71.93,5.64%,22.99亿,5.77%,18.35,5.4679,17.1579,0.533,PB；PE,421.36亿,32.27%,851.30亿,,,长沙市财政局
2026-03-31,393.308,40.2155,9.78,71.93,5.64%,22.99亿,5.77%,18.35,1.367,17.1579,0.533,PB；PE,421.36亿,32.27%,851.30亿,,,长沙市财政局
2025,390.09,40.2155,9.7,254.71,-1.79%,81.08亿,3.59%,17.66,1.5315,5.0259,0.5493,PB；PE,396.07亿,32.14%,823.38亿,0.6200000000000001,,长沙市财政局
2024,335.397,40.2155,8.34,259.36,4.57%,78.27亿,4.87%,16.67,1.2932,4.4599,0.5003,PB；PE,343.01亿,30.49%,803.50亿,0.38,,长沙市财政局
2023,245.315,40.2155,6.1,248.03,8.46%,74.63亿,9.57%,14.95,0.9891,3.427,0.408,PB；PE,302.22亿,31.66%,683.19亿,0.35,,长沙市财政局
2022,232.446,40.2155,5.78,228.68,9.58%,68.11亿,8.04%,13.49,1.0165,3.5901,0.4285,PB；PE,258.52亿,31.24%,621.72亿,0.35,,长沙市财政局
2021,217.611,34.2155,6.36,208.68,15.79%,63.04亿,18.09%,12.19,1.0428,4.1032,0.5217,PB；PE,222.59亿,31.48%,566.46亿,0.32,,长沙市财政局
2020,255.932,34.2155,7.48,180.22,5.91%,53.38亿,5.08%,11.21,1.4201,5.0884,0.6673,PB；PE,186.96亿,30.85%,457.23亿,0.32,,长沙市财政局
2019,235.06,34.2155,6.87,170.17,22.07%,50.80亿,13.43%,10.12,1.3813,4.6419,0.6789,PB；PE,152.78亿,30.90%,418.33亿,0.27999999999999997,,长沙市财政局
2018,214.531,34.2155,6.27,139.41,14.95%,44.79亿,13.94%,9.06,1.5388,4.4155,0.6921,PB；PE,128.82亿,32.84%,317.81亿,,,长沙市财政局
2017,,,,121.28,20.79%,39.31亿,23.22%,7.56,,,,PB；PE,93.51亿,32.86%,239.97亿,,,长沙市财政局
2016,,,,100.4,20.44%,31.90亿,16.77%,6.48,,,,PB；PE,71.39亿,32.39%,203.62亿,,,长沙市财政局
2015,,,,83.37,29.72%,27.32亿,14.21%,5.71,,,,PB；PE,57.75亿,33.20%,178.16亿,,,长沙市财政局
2014,,,,64.27,24.87%,23.92亿,9.98%,4.99,,,,PB；PE,47.48亿,37.23%,132.52亿,,,长沙市财政局
2013,,,,51.47,22.30%,21.75亿,13.70%,4.05,,,,PB；PE,39.21亿,42.73%,93.85亿,,,长沙市财政局
2012,,,,42.08,28.40%,19.13亿,35.96%,0.0,,,,PB；PE,26.59亿,46.23%,75.33亿,,,长沙市财政局
2011,,,,32.77,44.38%,14.07亿,62.42%,0.0,,,,PB；PE,17.33亿,43.33%,58.36亿,,,长沙市财政局
2010,,,,22.7,31.12%,8.66亿,11.16%,0.0,,,,PB；PE,9.61亿,38.29%,45.77亿,,,长沙市财政局
