报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,212.425,36.562,5.81,34.71,14.60%,14.77亿,2.37%,18.05,6.12,14.525,0.3219,PB；PE,397.06亿,43.23%,732.79亿,0.3,,贵阳市国有资产投资管理公司
2026-03-31,212.425,36.562,5.81,34.71,14.60%,14.77亿,2.37%,18.05,1.53,14.525,0.3219,PB；PE,397.06亿,43.23%,732.79亿,0.3,,贵阳市国有资产投资管理公司
2025,203.65,36.562,5.57,129.99,-12.94%,52.49亿,1.66%,17.59,1.5667,4.0657,0.3167,PB；PE,382.29亿,41.08%,715.68亿,0.29,,贵阳市国有资产投资管理公司
2024,198.532,36.562,5.43,149.31,-1.09%,51.64亿,-7.16%,16.92,1.3297,4.0222,0.3209,PB；PE,348.73亿,35.59%,690.40亿,0.29,,贵阳市国有资产投资管理公司
2023,161.238,36.562,4.41,150.96,-3.50%,55.62亿,-8.92%,15.46,1.0681,3.0414,0.2853,PB；PE,319.17亿,37.32%,635.34亿,0.3,,贵阳市国有资产投资管理公司
2022,163.067,36.562,4.46,156.43,4.26%,61.07亿,1.02%,14.13,1.0424,2.7875,0.3156,PB；PE,286.05亿,39.93%,586.53亿,0.3,,贵阳市国有资产投资管理公司
2021,161.867,32.1803,5.03,150.04,-6.70%,60.45亿,2.07%,12.95,1.0788,3.0485,0.3884,PB；PE,248.58亿,41.69%,540.60亿,0.3,,贵阳市国有资产投资管理公司
2020,189.864,32.1803,5.9,160.81,9.64%,59.22亿,2.10%,11.79,1.1807,3.3523,0.5004,PB；PE,212.25亿,38.20%,444.52亿,0.31,,贵阳市国有资产投资管理公司
2019,156.304,22.9859,6.8,146.68,16.00%,58.00亿,12.91%,10.58,1.0656,3.9535,0.6427,PB；PE,175.06亿,40.89%,403.27亿,0.4,,贵阳市国有资产投资管理公司
2018,120.906,22.9859,5.26,126.45,1.35%,51.37亿,13.39%,12.98,0.9562,3.2875,0.4052,PB；PE,145.78亿,41.35%,358.43亿,0.32999999999999996,,贵阳市国有资产投资管理公司
2017,,,6.41,124.77,22.82%,45.31亿,23.98%,10.75,,3.2538,0.5963,PB；PE,117.89亿,36.77%,256.30亿,0.26,,贵阳市国有资产投资管理公司
2016,,,7.44,101.59,31.85%,36.54亿,13.42%,9.2,,4.0,0.8087,PB；PE,100.02亿,36.31%,220.00亿,,,贵阳市国有资产投资管理公司
2015,,,,77.05,34.17%,32.22亿,32.27%,7.76,,,,PB；PE,78.44亿,42.05%,141.34亿,,,贵阳市国有资产投资管理公司
2014,,,,57.43,50.27%,24.36亿,35.03%,5.87,,,,PB；PE,54.55亿,42.61%,107.11亿,,,贵阳市国有资产投资管理公司
2013,,,,38.22,10.17%,18.04亿,11.23%,4.4,,,,PB；PE,36.67亿,47.33%,79.58亿,,,贵阳市国有资产投资管理公司
2012,,,,34.69,28.43%,16.22亿,39.98%,3.72,,,,PB；PE,27.42亿,46.71%,66.78亿,,,贵阳市国有资产投资管理公司
2011,,,,27.01,37.22%,11.58亿,41.09%,2.94,,,,PB；PE,16.29亿,42.79%,53.39亿,,,贵阳市国有资产投资管理公司
2010,,,,19.68,31.97%,8.21亿,100.45%,0.0,,,,PB；PE,7.45亿,41.71%,37.34亿,,,贵阳市国有资产投资管理公司
