报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,316.627,58.2035,5.44,43.42,7.30%,15.24亿,21.16%,7.31,7.2922,20.9231,0.7442,PB；PE,100.00亿,36.19%,520.78亿,,,香港中央结算(代理人)有限公司
2026-03-31,316.627,58.2035,5.44,43.42,7.30%,15.24亿,21.16%,7.31,1.823,20.9231,0.7442,PB；PE,100.00亿,36.19%,520.78亿,,,香港中央结算(代理人)有限公司
2025,260.752,58.2035,4.48,145.73,7.97%,51.88亿,21.66%,7.0,1.7893,5.2706,0.64,PB；PE,84.76亿,36.76%,502.54亿,0.16,,香港中央结算(代理人)有限公司
2024,218.845,58.2035,3.76,134.98,8.22%,42.64亿,20.16%,6.45,1.6213,5.4493,0.5829,PB；PE,66.95亿,32.63%,449.00亿,0.16,,香港中央结算(代理人)有限公司
2023,164.134,58.2035,2.82,124.72,7.11%,35.49亿,15.11%,5.61,1.316,4.9474,0.5027,PB；PE,50.11亿,29.44%,399.39亿,0.16,,香港中央结算(代理人)有限公司
2022,133.036,45.0969,2.95,116.44,4.56%,30.83亿,5.48%,5.05,1.1425,6.5556,0.5842,PB；PE,38.23亿,27.20%,365.93亿,0.16,,香港中央结算(代理人)有限公司
2021,162.349,45.0969,3.6,111.36,5.65%,29.23亿,22.08%,5.2,1.4579,7.0588,0.6923,PB；PE,35.07亿,26.88%,333.28亿,0.18,,香港中央结算(代理人)有限公司
2020,201.132,45.0969,4.46,105.41,9.61%,23.94亿,4.78%,4.97,1.9081,11.15,0.8974,PB；PE,26.19亿,23.27%,309.07亿,0.2,,香港中央结算(代理人)有限公司
2019,193.466,45.0969,4.29,96.16,30.44%,22.85亿,12.92%,4.89,2.0119,11.0,0.8773,PB；PE,25.29亿,24.29%,304.78亿,0.2,,香港中央结算(代理人)有限公司
2018,,,,73.72,32.04%,20.23亿,6.48%,4.71,,,,PB；PE,23.20亿,27.72%,274.97亿,,,香港中央结算(代理人)有限公司
2017,,,,55.83,-7.25%,19.00亿,-9.02%,4.38,,,,PB；PE,26.04亿,34.10%,261.23亿,,,香港中央结算(代理人)有限公司
2016,,,,60.19,20.12%,20.89亿,15.15%,4.35,,,,PB；PE,19.78亿,34.70%,176.36亿,,,香港中央结算(代理人)有限公司
2015,,,,50.11,15.46%,18.14亿,21.29%,4.14,,,,PB；PE,22.15亿,36.20%,166.14亿,,,香港中央结算(代理人)有限公司
2014,,,,43.4,23.12%,14.95亿,30.95%,3.83,,,,PB；PE,18.65亿,34.46%,97.85亿,,,香港中央结算(代理人)有限公司
2013,,,,35.25,22.82%,11.42亿,24.12%,3.21,,,,PB；PE,12.76亿,32.39%,82.05亿,,,香港中央结算(代理人)有限公司
2012,,,,28.7,15.49%,9.20亿,24.59%,0.0,,,,PB；PE,8.94亿,32.06%,74.37亿,,,香港中央结算(代理人)有限公司
2011,,,,24.85,57.80%,7.38亿,43.52%,0.0,,,,PB；PE,7.41亿,29.72%,69.58亿,,,香港中央结算(代理人)有限公司
2010,,,,15.75,44.37%,5.15亿,22.77%,0.0,,,,PB；PE,2.39亿,32.67%,41.45亿,,,香港中央结算(代理人)有限公司
