报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,1462.61,123.6357,11.83,161.11,13.54%,66.00亿,8.05%,15.22,9.0783,22.3208,0.7773,PB；PE,834.68亿,41.22%,2171.66亿,0.22294999999999998,,法国巴黎银行(含QFII)
2026-03-31,1462.61,123.6357,11.83,161.11,13.54%,66.00亿,8.05%,15.22,2.2696,22.3208,0.7773,PB；PE,834.68亿,41.22%,2171.66亿,0.22294999999999998,,法国巴黎银行(含QFII)
2025,1265.026,110.6759,11.43,555.42,10.48%,218.07亿,8.08%,14.66,2.2776,6.4943,0.7797,PB；PE,771.13亿,39.71%,2103.05亿,0.50551,,法国巴黎银行(含QFII)
2024,1055.06,103.4373,10.2,502.73,11.32%,201.77亿,9.05%,14.33,2.0987,5.5738,0.7118,PB；PE,707.42亿,40.51%,1919.56亿,0.88296,,法国巴黎银行(含QFII)
2023,668.204,103.4372,6.46,451.6,1.24%,185.02亿,0.51%,13.5,1.4796,3.8452,0.4785,PB；PE,665.87亿,41.25%,1725.94亿,0.5339,,法国巴黎银行(含QFII)
2022,855.606,100.0709,8.55,446.06,9.00%,184.08亿,16.09%,12.22,1.9181,4.858,0.6997,PB；PE,585.16亿,41.57%,1576.99亿,0.46162000000000003,,法国巴黎银行(含QFII)
2021,705.495,100.0702,7.05,409.25,18.74%,158.57亿,21.04%,11.14,1.7239,4.5779,0.6329,PB；PE,494.59亿,39.01%,1225.65亿,0.393,,法国巴黎银行(含QFII)
2020,519.111,84.8221,6.12,344.65,6.24%,131.01亿,5.20%,9.69,1.5062,4.5672,0.6316,PB；PE,408.71亿,38.33%,1080.33亿,0.392,,法国巴黎银行(含QFII)
2019,535.227,84.8221,6.31,324.42,18.38%,124.53亿,12.47%,9.08,1.6498,4.4437,0.6949,PB；PE,347.15亿,38.74%,879.28亿,0.392,,法国巴黎银行(含QFII)
2018,376.61,84.8221,4.44,274.06,10.33%,110.73亿,14.53%,8.01,1.3742,3.5238,0.5543,PB；PE,280.83亿,40.82%,787.66亿,0.34500000000000003,,法国巴黎银行(含QFII)
2017,,,5.08,248.39,-6.68%,96.68亿,17.02%,6.77,,4.6606,0.7504,PB；PE,224.56亿,39.30%,682.11亿,0.26,,法国巴黎银行(含QFII)
2016,,,4.97,266.16,16.60%,82.62亿,18.01%,8.59,,5.2316,0.5786,PB；PE,156.99亿,31.35%,623.78亿,0.4,,法国巴黎银行(含QFII)
2015,,,4.41,228.3,42.77%,70.01亿,24.82%,14.01,,3.5854,0.3148,PB；PE,126.34亿,30.95%,524.14亿,0.5,,法国巴黎银行(含QFII)
2014,,,3.53,159.92,52.62%,56.09亿,24.72%,10.93,,1.8677,0.323,PB；PE,104.70亿,35.37%,327.84亿,0.45999999999999996,,法国巴黎银行(含QFII)
2013,,,1.84,104.78,14.96%,44.97亿,12.07%,8.96,,1.2185,0.2054,PB；PE,79.28亿,43.24%,268.56亿,0.40599999999999997,,法国巴黎银行(含QFII)
2012,,,2.0,91.14,22.14%,40.13亿,24.94%,8.29,,1.4815,0.2413,PB；PE,61.32亿,44.37%,248.11亿,0.3,,法国巴黎银行(含QFII)
2011,,,1.95,74.63,40.66%,32.12亿,38.97%,7.29,,1.8056,0.2675,PB；PE,50.14亿,43.35%,218.04亿,0.2,,法国巴黎银行(含QFII)
2010,,,2.04,53.06,46.25%,23.11亿,49.70%,6.34,,2.2667,0.3218,PB；PE,31.99亿,43.70%,189.70亿,0.1,,法国巴黎银行(含QFII)
