报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,160.93,90.9209,1.77,35.21,1.31%,10.70亿,5.37%,5.08,4.5706,14.75,0.3484,PB；PE,170.42亿,30.80%,580.08亿,,,香港中央结算(代理人)有限公司
2026-03-31,160.93,90.9209,1.77,35.21,1.31%,10.70亿,5.37%,5.08,1.1426,14.75,0.3484,PB；PE,170.42亿,30.80%,580.08亿,,,香港中央结算(代理人)有限公司
2025,175.477,90.9209,1.93,129.21,0.34%,18.95亿,1.03%,4.96,1.3581,12.0625,0.3891,PB；PE,159.71亿,14.77%,568.52亿,0.02,,香港中央结算(代理人)有限公司
2024,189.115,90.9209,2.08,128.77,-5.78%,18.76亿,1.39%,4.89,1.4686,13.8667,0.4254,PB；PE,156.38亿,14.47%,562.95亿,,,香港中央结算(代理人)有限公司
2023,164.484,82.6554,1.99,136.67,-9.50%,18.50亿,-23.62%,4.67,1.2035,13.2667,0.4261,PB；PE,153.05亿,13.61%,543.15亿,0.0,,香港中央结算(代理人)有限公司
2022,175.229,82.6554,2.12,151.01,2.03%,24.22亿,-24.92%,4.93,1.1604,13.25,0.43,PB；PE,146.18亿,17.22%,526.25亿,,,香港中央结算(代理人)有限公司
2021,214.153,75.1413,2.85,148.01,1.33%,32.26亿,1.85%,4.83,1.4469,8.6364,0.5901,PB；PE,137.03亿,22.96%,594.12亿,0.0,,香港中央结算(代理人)有限公司
2020,216.15,59.2193,3.65,146.07,8.30%,31.68亿,-3.58%,4.88,1.4798,10.1389,0.748,PB；PE,116.55亿,22.74%,459.72亿,0.1,,香港中央结算(代理人)有限公司
2019,199.569,59.2193,3.37,134.87,20.88%,32.85亿,7.40%,5.2,1.4797,7.8372,0.6481,PB；PE,103.33亿,25.01%,398.92亿,0.15,,香港中央结算(代理人)有限公司
2018,211.413,59.2193,3.57,111.57,9.44%,30.59亿,-28.53%,4.87,1.8949,7.5957,0.7331,PB；PE,95.18亿,27.80%,378.63亿,,,香港中央结算(代理人)有限公司
2017,,,,101.94,3.00%,42.80亿,7.03%,4.58,,,,PB；PE,85.04亿,42.51%,334.39亿,,,香港中央结算(代理人)有限公司
2016,,,,98.97,25.66%,39.99亿,19.14%,4.0,,,,PB；PE,68.09亿,40.87%,218.61亿,,,香港中央结算(代理人)有限公司
2015,,,,78.76,42.34%,33.56亿,36.27%,3.46,,,,PB；PE,56.34亿,42.61%,178.24亿,,,香港中央结算(代理人)有限公司
2014,,,,55.33,30.05%,24.63亿,29.51%,2.89,,,,PB；PE,41.73亿,44.52%,114.06亿,,,香港中央结算(代理人)有限公司
2013,,,,42.55,28.78%,19.02亿,30.24%,2.42,,,,PB；PE,32.38亿,44.70%,95.36亿,,,香港中央结算(代理人)有限公司
2012,,,,33.04,49.91%,14.60亿,52.47%,0.0,,,,PB；PE,21.16亿,44.20%,76.71亿,,,香港中央结算(代理人)有限公司
2011,,,,22.04,49.90%,9.58亿,52.24%,0.0,,,,PB；PE,13.47亿,43.46%,62.82亿,,,香港中央结算(代理人)有限公司
2010,,,,14.7,30.16%,6.29亿,176.33%,0.0,,,,PB；PE,6.56亿,42.79%,27.73亿,,,香港中央结算(代理人)有限公司
