报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,794.99,113.57,7.0,78.3,8.39%,39.35亿,5.07%,11.97,10.1531,20.0,0.5848,PB；PE,636.48亿,51.36%,1442.22亿,0.32091,,香港中央结算(代理人)有限公司
2026-03-31,794.99,113.57,7.0,78.3,8.39%,39.35亿,5.07%,11.97,2.5383,20.0,0.5848,PB；PE,636.48亿,51.36%,1442.22亿,0.32091,,香港中央结算(代理人)有限公司
2025,709.812,113.57,6.25,286.48,1.37%,121.28亿,5.35%,11.55,2.4777,5.9524,0.5411,PB；PE,597.21亿,43.35%,1392.96亿,0.3046,,香港中央结算(代理人)有限公司
2024,633.721,113.57,5.58,282.61,1.09%,115.13亿,5.60%,11.07,2.2424,5.6364,0.5041,PB；PE,536.33亿,41.71%,1336.09亿,0.2885,,香港中央结算(代理人)有限公司
2023,404.309,113.57,3.56,279.56,-3.57%,109.02亿,6.10%,10.19,1.4462,3.7872,0.3494,PB；PE,501.54亿,39.80%,1235.02亿,0.2714,,香港中央结算(代理人)有限公司
2022,324.81,113.57,2.86,289.91,-6.00%,102.76亿,7.49%,9.45,1.1204,3.2135,0.3026,PB；PE,448.22亿,36.14%,1150.16亿,0.2525,,香港中央结算(代理人)有限公司
2021,331.624,113.57,2.92,308.42,9.42%,95.60亿,13.79%,8.85,1.0752,3.4762,0.3299,PB；PE,404.52亿,31.51%,1060.44亿,0.22200000000000003,,香港中央结算(代理人)有限公司
2020,367.967,113.57,3.24,281.86,5.84%,84.01亿,-13.92%,8.21,1.3055,4.3784,0.3946,PB；PE,360.94亿,30.39%,946.32亿,0.22999999999999998,,香港中央结算(代理人)有限公司
2019,522.422,113.57,4.6,266.3,1.97%,97.60亿,7.75%,7.73,1.9618,4.8421,0.5951,PB；PE,325.12亿,37.51%,893.62亿,,,香港中央结算(代理人)有限公司
2018,,,,261.16,8.87%,90.58亿,1.37%,7.03,,,,PB；PE,260.93亿,35.09%,717.09亿,,,香港中央结算(代理人)有限公司
2017,,,,239.88,10.52%,89.36亿,12.48%,6.32,,,,PB；PE,213.90亿,37.55%,648.06亿,,,香港中央结算(代理人)有限公司
2016,,,,217.05,-0.32%,79.45亿,9.99%,5.61,,,,PB；PE,164.43亿,36.86%,537.50亿,,,香港中央结算(代理人)有限公司
2015,,,,217.75,10.48%,72.23亿,5.78%,4.98,,,,PB；PE,125.98亿,33.19%,478.48亿,,,香港中央结算(代理人)有限公司
2014,,,,197.1,21.59%,68.28亿,13.98%,4.41,,,,PB；PE,95.99亿,34.57%,424.08亿,,,香港中央结算(代理人)有限公司
2013,,,,162.1,19.60%,59.91亿,11.74%,0.0,,,,PB；PE,60.96亿,37.11%,364.49亿,,,香港中央结算(代理人)有限公司
2012,,,,135.54,22.95%,53.61亿,25.54%,0.0,,,,PB；PE,49.33亿,39.68%,317.89亿,,,香港中央结算(代理人)有限公司
2011,,,,110.24,41.13%,42.71亿,37.20%,0.0,,,,PB；PE,39.48亿,38.76%,275.71亿,,,香港中央结算(代理人)有限公司
2010,,,,78.11,35.27%,31.13亿,60.70%,0.0,,,,PB；PE,27.68亿,39.82%,219.66亿,,,香港中央结算(代理人)有限公司
