报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,396.923,61.5384,6.45,35.77,13.02%,15.64亿,14.01%,8.22,11.0965,28.0435,0.7847,PB；PE,137.14亿,43.80%,527.37亿,0.121,,澳洲联邦银行
2026-03-31,396.923,61.5384,6.45,35.77,13.02%,15.64亿,14.01%,8.22,2.7741,28.0435,0.7847,PB；PE,137.14亿,43.80%,527.37亿,0.121,,澳洲联邦银行
2025,271.727,48.35,5.62,131.35,5.12%,57.13亿,14.58%,7.96,2.0687,5.62,0.706,PB；PE,122.71亿,43.49%,536.64亿,0.266,,澳洲联邦银行
2024,246.707,47.0814,5.24,124.96,4.55%,49.86亿,17.77%,8.27,1.9743,5.4021,0.6336,PB；PE,102.96亿,39.57%,483.35亿,0.22000000000000003,,澳洲联邦银行
2023,160.329,45.8083,3.5,119.52,8.03%,42.34亿,18.02%,7.09,1.3414,4.023,0.4937,PB；PE,90.56亿,35.72%,418.23亿,0.186,,澳洲联邦银行
2022,163.078,45.8083,3.56,110.64,8.82%,35.87亿,18.17%,6.34,1.474,4.8767,0.5615,PB；PE,74.86亿,32.82%,355.89亿,0.184,,澳洲联邦银行
2021,209.802,45.8083,4.58,101.67,28.11%,30.36亿,20.52%,5.86,2.0636,7.1562,0.7816,PB；PE,62.10亿,30.22%,326.05亿,0.18,,澳洲联邦银行
2020,,,,79.36,7.14%,25.19亿,7.74%,5.36,,,,PB；PE,53.08亿,32.06%,272.99亿,,,澳洲联邦银行
2019,,,,74.07,15.69%,23.38亿,8.61%,4.96,,,,PB；PE,47.10亿,31.82%,226.56亿,,,澳洲联邦银行
2018,,,,64.02,18.00%,21.52亿,6.83%,4.54,,,,PB；PE,38.83亿,33.88%,208.77亿,,,澳洲联邦银行
2017,,,,54.26,5.27%,20.15亿,22.71%,3.95,,,,PB；PE,30.29亿,37.34%,184.35亿,,,澳洲联邦银行
2016,,,,51.54,21.79%,16.42亿,38.33%,3.8,,,,PB；PE,21.25亿,32.09%,128.79亿,,,澳洲联邦银行
2015,,,,42.32,19.84%,11.87亿,8.89%,3.51,,,,PB；PE,17.41亿,28.27%,100.52亿,,,澳洲联邦银行
2014,,,,35.31,24.62%,10.90亿,8.03%,3.05,,,,PB；PE,14.13亿,31.01%,72.24亿,,,澳洲联邦银行
2013,,,,28.34,15.11%,10.09亿,17.13%,2.53,,,,PB；PE,10.31亿,35.68%,60.02亿,,,澳洲联邦银行
2012,,,,24.62,16.15%,8.61亿,9.12%,0.0,,,,PB；PE,4.13亿,34.95%,53.28亿,,,澳洲联邦银行
2011,,,,21.19,-7.93%,7.89亿,136.81%,0.0,,,,PB；PE,815.56万,37.17%,44.01亿,,,澳洲联邦银行
2010,,,,23.02,25.08%,3.33亿,-31.31%,0.0,,,,PB；PE,-5.47亿,14.48%,36.26亿,,,澳洲联邦银行
