报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,1114.235,211.4298,5.27,195.99,14.43%,80.98亿,5.55%,13.4,5.6852,13.8684,0.3933,PB；PE,1253.12亿,41.45%,3877.60亿,,,ING BANK N.V.
2026-03-31,1114.235,211.4298,5.27,195.99,14.43%,80.98亿,5.55%,13.4,1.4213,13.8684,0.3933,PB；PE,1253.12亿,41.45%,3877.60亿,,,ING BANK N.V.
2025,1158.635,211.4298,5.48,680.36,-3.39%,200.86亿,-23.73%,12.97,1.703,7.0256,0.4225,PB；PE,1172.26亿,29.59%,3786.45亿,0.32,,ING BANK N.V.
2024,1238.979,211.4298,5.86,704.2,4.81%,263.34亿,2.77%,12.73,1.7594,5.3761,0.4603,PB；PE,1164.02亿,37.03%,3559.84亿,0.32,,ING BANK N.V.
2023,862.634,211.4298,4.08,667.11,0.66%,256.24亿,3.49%,11.78,1.2931,3.8491,0.3463,PB；PE,1107.11亿,38.57%,3282.32亿,0.31,,ING BANK N.V.
2022,765.376,211.4298,3.62,662.76,0.0015%,247.60亿,11.40%,10.91,1.1548,3.549,0.3318,PB；PE,1021.55亿,37.62%,3106.17亿,0.305,,ING BANK N.V.
2021,735.776,211.4298,3.48,662.75,3.07%,222.26亿,3.45%,10.27,1.1102,3.4118,0.3389,PB；PE,929.02亿,33.79%,2970.78亿,0.3,,ING BANK N.V.
2020,750.576,211.4298,3.55,642.99,1.85%,214.84亿,0.20%,9.52,1.1673,3.6224,0.3729,PB；PE,822.94亿,33.66%,2211.43亿,0.305,,ING BANK N.V.
2019,830.919,211.4298,3.93,631.29,13.77%,214.41亿,7.19%,8.95,1.3162,4.0102,0.4391,PB；PE,714.31亿,34.20%,2089.63亿,0.286,,ING BANK N.V.
2018,782.29,211.4298,3.7,554.88,10.20%,200.02亿,6.77%,8.26,1.4098,4.0659,0.4479,PB；PE,616.16亿,36.29%,1941.34亿,0.267,,ING BANK N.V.
2017,,,4.5,503.53,6.10%,187.33亿,5.23%,7.43,,4.5455,0.6057,PB；PE,521.19亿,37.50%,1767.14亿,0.25,,ING BANK N.V.
2016,,,4.99,474.56,7.66%,178.02亿,5.72%,8.17,,5.1979,0.6108,PB；PE,453.03亿,37.77%,1437.79亿,0.25,,ING BANK N.V.
2015,,,4.38,440.81,19.53%,168.39亿,7.78%,8.81,,3.9459,0.4972,PB；PE,382.52亿,38.30%,1168.14亿,0.25,,ING BANK N.V.
2014,,,3.71,368.78,20.28%,156.23亿,16.12%,9.08,,3.0163,0.4086,PB；PE,326.99亿,42.43%,961.44亿,0.18,,ING BANK N.V.
2013,,,2.08,306.59,10.24%,134.54亿,15.24%,8.88,,1.6378,0.2342,PB；PE,241.29亿,43.91%,783.06亿,0.4,,ING BANK N.V.
2012,,,2.44,278.17,34.20%,116.75亿,30.49%,8.14,,1.7681,0.2998,PB；PE,181.98亿,42.00%,716.91亿,0.2,,ING BANK N.V.
2011,,,1.99,207.28,32.57%,89.47亿,31.51%,8.09,,1.6583,0.246,PB；PE,171.23亿,43.16%,504.34亿,0.21600000000000003,,ING BANK N.V.
2010,,,2.4,156.35,31.45%,68.03亿,20.75%,6.83,,2.2018,0.3514,PB；PE,123.00亿,43.53%,425.67亿,0.18,,ING BANK N.V.
