报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,850.655,42.3844,20.07,61.98,6.54%,31.57亿,4.81%,21.7,13.7247,27.1216,0.9249,PB；PE,445.95亿,50.93%,1029.87亿,,,成都交子金融控股集团有限公司
2026-03-31,850.655,42.3844,20.07,61.98,6.54%,31.57亿,4.81%,21.7,3.4312,27.1216,0.9249,PB；PE,445.95亿,50.93%,1029.87亿,,,成都交子金融控股集团有限公司
2025,672.199,41.6997,16.12,236.03,2.70%,132.83亿,3.31%,20.84,2.8479,5.2508,0.7735,PB；PE,414.38亿,56.28%,993.43亿,0.891,,成都交子金融控股集团有限公司
2024,622.815,38.1393,16.33,229.82,5.90%,128.58亿,10.17%,19.15,2.71,4.9787,0.8527,PB；PE,356.36亿,55.92%,859.04亿,0.8968,,成都交子金融控股集团有限公司
2023,378.056,37.3573,10.12,217.02,7.22%,116.71亿,16.22%,17.1,1.742,3.3621,0.5918,PB；PE,303.75亿,53.78%,713.20亿,0.76793,,成都交子金融控股集团有限公司
2022,468.87,36.1225,12.98,202.41,13.14%,100.42亿,28.24%,14.81,2.3164,4.8253,0.8764,PB；PE,254.38亿,49.62%,614.26亿,0.63,,成都交子金融控股集团有限公司
2021,353.639,36.1225,9.79,178.9,22.54%,78.31亿,29.98%,12.72,1.9767,4.6842,0.7697,PB；PE,210.30亿,43.77%,520.22亿,0.45999999999999996,,成都交子金融控股集团有限公司
2020,303.79,36.1225,8.41,146.0,14.73%,60.25亿,8.53%,11.08,2.0808,5.0359,0.759,PB；PE,177.22亿,41.29%,461.15亿,0.42000000000000004,,成都交子金融控股集团有限公司
2019,246.717,36.1225,6.83,127.25,9.79%,55.51亿,19.40%,9.84,1.9388,4.4351,0.6941,PB；PE,151.04亿,43.66%,356.30亿,0.35,,成都交子金融控股集团有限公司
2018,210.233,36.1225,5.82,115.9,20.05%,46.49亿,18.95%,8.64,1.8139,4.4769,0.6736,PB；PE,126.43亿,40.15%,312.76亿,0.27999999999999997,,成都交子金融控股集团有限公司
2017,,,,96.54,11.99%,39.09亿,51.64%,7.68,,,,PB；PE,102.78亿,40.53%,250.24亿,,,成都交子金融控股集团有限公司
2016,,,,86.21,-3.89%,25.77亿,-8.48%,6.74,,,,PB；PE,82.95亿,30.00%,219.84亿,,,成都交子金融控股集团有限公司
2015,,,,89.59,-1.89%,28.16亿,-20.63%,6.22,,,,PB；PE,73.68亿,31.49%,202.79亿,,,成都交子金融控股集团有限公司
2014,,,,91.31,29.19%,35.48亿,19.26%,5.58,,,,PB；PE,60.23亿,38.90%,181.99亿,,,成都交子金融控股集团有限公司
2013,,,,70.68,25.74%,29.75亿,17.06%,4.68,,,,PB；PE,40.86亿,42.06%,152.09亿,,,成都交子金融控股集团有限公司
2012,,,,56.21,13.22%,25.42亿,5.72%,3.96,,,,PB；PE,35.77亿,45.21%,129.00亿,,,成都交子金融控股集团有限公司
2011,,,,49.65,35.88%,24.04亿,47.91%,3.36,,,,PB；PE,18.75亿,48.41%,109.48亿,,,成都交子金融控股集团有限公司
2010,,,,36.54,54.12%,16.25亿,50.01%,0.0,,,,PB；PE,6.36亿,44.48%,90.13亿,,,成都交子金融控股集团有限公司
