报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,210.866,26.3913,7.99,15.19,25.05%,6.93亿,7.42%,10.33,13.8819,33.2917,0.7735,PB；PE,98.31亿,47.95%,335.33亿,,,厦门金圆投资集团有限公司
2026-03-31,210.866,26.3913,7.99,15.19,25.05%,6.93亿,7.42%,10.33,3.4705,33.2917,0.7735,PB；PE,98.31亿,47.95%,335.33亿,,,厦门金圆投资集团有限公司
2025,193.712,26.3913,7.34,58.6,1.75%,26.35亿,1.55%,10.06,3.3057,8.1556,0.7296,PB；PE,91.32亿,46.96%,342.87亿,0.3,,厦门金圆投资集团有限公司
2024,142.777,26.3913,5.41,57.59,2.79%,25.95亿,-2.60%,9.72,2.4792,6.0787,0.5566,PB；PE,85.18亿,46.98%,323.69亿,0.45999999999999996,,厦门金圆投资集团有限公司
2023,117.969,26.3913,4.47,56.03,-4.96%,26.64亿,6.30%,9.05,2.1055,4.6562,0.4939,PB；PE,79.37亿,49.13%,305.14亿,0.29,,厦门金圆投资集团有限公司
2022,126.15,26.3913,4.78,58.95,10.90%,25.06亿,15.56%,8.22,2.1399,5.3111,0.5815,PB；PE,67.48亿,43.62%,247.44亿,0.25,,厦门金圆投资集团有限公司
2021,145.944,26.3913,5.53,53.16,-4.32%,21.69亿,18.99%,7.68,2.7454,6.9125,0.7201,PB；PE,55.85亿,41.63%,232.65亿,0.18,,厦门金圆投资集团有限公司
2020,273.414,26.3913,10.36,55.56,23.20%,18.23亿,6.53%,6.96,4.9211,13.8133,1.4885,PB；PE,47.49亿,33.41%,196.74亿,,,厦门金圆投资集团有限公司
2019,,,,45.09,7.73%,17.11亿,21.41%,6.44,,,,PB；PE,37.81亿,38.51%,155.72亿,,,厦门金圆投资集团有限公司
2018,,,,41.86,13.57%,14.09亿,15.92%,5.77,,,,PB；PE,25.80亿,33.81%,139.56亿,,,厦门金圆投资集团有限公司
2017,,,,36.86,1.88%,12.16亿,17.82%,5.07,,,,PB；PE,15.85亿,33.18%,122.99亿,,,厦门金圆投资集团有限公司
2016,,,,36.18,12.56%,10.32亿,15.93%,4.81,,,,PB；PE,10.06亿,28.56%,92.55亿,,,厦门金圆投资集团有限公司
2015,,,,32.14,39.44%,8.90亿,23.10%,4.39,,,,PB；PE,4.75亿,27.69%,82.28亿,,,厦门金圆投资集团有限公司
2014,,,,23.05,49.87%,7.23亿,39.11%,3.94,,,,PB；PE,4.35亿,31.37%,62.52亿,,,厦门金圆投资集团有限公司
2013,,,,15.38,7.29%,5.20亿,11.20%,0.0,,,,PB；PE,4.93亿,33.79%,46.88亿,,,厦门金圆投资集团有限公司
2012,,,,14.34,11.33%,4.67亿,23.48%,0.0,,,,PB；PE,1.66亿,32.60%,43.83亿,,,厦门金圆投资集团有限公司
2011,,,,12.88,127.10%,3.78亿,177.47%,0.0,,,,PB；PE,2.40亿,29.39%,30.44亿,,,厦门金圆投资集团有限公司
2010,,,,5.67,48.30%,1.36亿,116.27%,0.0,,,,PB；PE,7818.23万,24.06%,20.46亿,,,厦门金圆投资集团有限公司
