报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,103.396,24.4434,4.23,12.66,-4.43%,5.76亿,2.50%,7.82,8.1671,17.625,0.5409,PB；PE,50.28亿,45.61%,212.91亿,0.12,20%: 最新年度营业收入下滑,江苏沙钢集团有限公司
2026-03-31,103.396,24.4434,4.23,12.66,-4.43%,5.76亿,2.50%,7.82,2.0418,17.625,0.5409,PB；PE,50.28亿,45.61%,212.91亿,0.12,,江苏沙钢集团有限公司
2025,108.773,24.4434,4.45,47.47,0.75%,19.79亿,5.35%,7.58,2.2914,5.7792,0.5871,PB；PE,44.52亿,41.75%,207.05亿,0.30000000000000004,,江苏沙钢集团有限公司
2024,86.135,21.6965,3.97,47.11,3.75%,18.79亿,5.13%,7.25,1.8284,4.9012,0.5476,PB；PE,42.49亿,39.80%,198.95亿,0.2,,江苏沙钢集团有限公司
2023,72.9,21.6965,3.36,45.41,-5.93%,17.87亿,6.24%,6.93,1.6054,4.3077,0.4848,PB；PE,37.88亿,39.60%,172.11亿,0.2,,江苏沙钢集团有限公司
2022,68.883,18.0796,3.81,48.27,4.57%,16.82亿,29.00%,6.25,1.427,5.2192,0.6096,PB；PE,33.65亿,35.19%,157.26亿,0.16,,江苏沙钢集团有限公司
2021,69.787,18.0796,3.86,46.16,10.05%,13.04亿,30.30%,6.87,1.5119,6.4333,0.5619,PB；PE,26.96亿,28.95%,145.66亿,0.16,,江苏沙钢集团有限公司
2020,71.76,18.0756,3.97,41.95,8.87%,10.01亿,4.87%,6.2,1.7106,7.2182,0.6403,PB；PE,21.86亿,23.74%,113.10亿,0.15,,江苏沙钢集团有限公司
2019,68.144,18.0753,3.77,38.53,28.48%,9.54亿,14.25%,5.9,1.7686,7.1132,0.639,PB；PE,18.54亿,24.33%,107.37亿,0.15,,江苏沙钢集团有限公司
2018,59.829,18.0753,3.31,29.99,24.24%,8.35亿,9.44%,5.24,1.995,7.1957,0.6317,PB；PE,16.83亿,27.27%,100.11亿,0.1,,江苏沙钢集团有限公司
2017,,,7.15,24.14,-1.06%,7.63亿,10.68%,4.58,,16.6279,1.5611,PB；PE,13.39亿,31.25%,83.89亿,0.1,,江苏沙钢集团有限公司
2016,,,,24.39,0.98%,6.89亿,2.45%,4.5,,,,PB；PE,11.77亿,28.64%,74.49亿,,,江苏沙钢集团有限公司
2015,,,,24.06,1.77%,6.73亿,-7.93%,4.32,,,,PB；PE,7.34亿,28.31%,71.43亿,,,江苏沙钢集团有限公司
2014,,,,23.64,6.69%,7.31亿,-27.09%,3.9,,,,PB；PE,6.65亿,30.51%,64.53亿,,,江苏沙钢集团有限公司
2013,,,,22.16,6.03%,10.03亿,2.51%,3.36,,,,PB；PE,3.73亿,46.58%,55.94亿,,,江苏沙钢集团有限公司
2012,,,,20.9,13.29%,9.78亿,7.61%,3.08,,,,PB；PE,3.78亿,48.57%,51.15亿,,,江苏沙钢集团有限公司
2011,,,,18.47,36.89%,9.09亿,33.72%,4.11,,,,PB；PE,9.41亿,49.97%,45.21亿,,,江苏沙钢集团有限公司
2010,,,,13.49,36.27%,6.80亿,30.96%,0.0,,,,PB；PE,7.26亿,50.78%,37.56亿,,,江苏沙钢集团有限公司
