报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,2018.057,66.0359,30.56,203.84,10.21%,81.81亿,10.30%,35.21,9.9002,24.6452,0.8679,PB；PE,1236.42亿,40.57%,2587.12亿,,,宁波开发投资集团有限公司
2026-03-31,2018.057,66.0359,30.56,203.84,10.21%,81.81亿,10.30%,35.21,2.4751,24.6452,0.8679,PB；PE,1236.42亿,40.57%,2587.12亿,,,宁波开发投资集团有限公司
2025,1854.948,66.0359,28.09,719.69,8.01%,293.33亿,8.13%,33.69,2.5774,6.5478,0.8338,PB；PE,1159.46亿,41.03%,2486.29亿,1.2,,宁波开发投资集团有限公司
2024,1537.316,66.0359,23.28,666.31,8.19%,271.27亿,6.23%,31.55,2.3072,5.8937,0.7379,PB；PE,1027.31亿,40.85%,2342.60亿,0.6,,宁波开发投资集团有限公司
2023,1236.192,66.0359,18.72,615.85,6.40%,255.35亿,10.66%,26.71,2.0073,4.992,0.7009,PB；PE,871.54亿,41.58%,2022.10亿,0.5,,宁波开发投资集团有限公司
2022,1954.663,66.0359,29.6,578.79,9.67%,230.75亿,18.05%,23.14,3.3772,8.7574,1.2792,PB；PE,714.93亿,39.97%,1685.26亿,0.5,,宁波开发投资集团有限公司
2021,2066.158,60.0802,34.39,527.74,28.37%,195.46亿,29.87%,20.38,3.9151,10.9872,1.6874,PB；PE,586.28亿,37.16%,1499.35亿,0.5,,宁波开发投资集团有限公司
2020,1684.559,56.2833,29.93,411.11,17.19%,150.50亿,9.73%,17.26,4.0976,12.3169,1.7341,PB；PE,479.19亿,36.82%,1189.93亿,0.5,,宁波开发投资集团有限公司
2019,1221.928,52.0856,23.46,350.82,21.26%,137.15亿,22.60%,15.19,3.4831,9.7344,1.5444,PB；PE,406.95亿,39.31%,1007.36亿,0.4,,宁波开发投资集团有限公司
2018,673.767,50.6973,13.29,289.3,14.28%,111.86亿,19.85%,12.68,2.329,6.1814,1.0481,PB；PE,324.48亿,38.79%,812.30亿,0.4,,宁波开发投资集团有限公司
2017,,,14.24,253.14,7.06%,93.34亿,19.50%,10.31,,7.9111,1.3812,PB；PE,258.78亿,36.96%,572.06亿,0.35,,宁波开发投资集团有限公司
2016,,,10.05,236.45,21.16%,78.10亿,19.35%,11.66,,6.7,0.8619,PB；PE,202.15亿,33.08%,503.86亿,0.45,,宁波开发投资集团有限公司
2015,,,9.09,195.16,27.09%,65.44亿,16.29%,10.3,,5.4107,0.8825,PB；PE,167.79亿,33.65%,450.97亿,0.45,,宁波开发投资集团有限公司
2014,,,7.52,153.57,20.34%,56.27亿,16.10%,10.49,,3.9788,0.7169,PB；PE,133.47亿,36.69%,341.64亿,0.4,,宁波开发投资集团有限公司
2013,,,4.22,127.61,23.40%,48.47亿,19.15%,8.84,,2.5119,0.4774,PB；PE,106.29亿,37.98%,255.22亿,0.25,,宁波开发投资集团有限公司
2012,,,4.73,103.42,29.82%,40.68亿,25.04%,7.67,,3.3546,0.6167,PB；PE,83.48亿,39.34%,221.17亿,0.2,,宁波开发投资集团有限公司
2011,,,3.98,79.66,34.75%,32.54亿,40.12%,6.49,,3.5221,0.6133,PB；PE,55.18亿,40.84%,187.14亿,0.2,,宁波开发投资集团有限公司
2010,,,5.3,59.12,41.59%,23.22亿,59.32%,5.51,,5.8242,0.9619,PB；PE,34.41亿,39.28%,158.77亿,0.2,,宁波开发投资集团有限公司
