报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,162.224,55.5562,2.92,27.91,-8.69%,12.48亿,5.60%,6.9,5.8124,13.9048,0.4232,PB；PE,153.35亿,44.71%,443.25亿,,20%: 最新年度营业收入下滑,青岛国信发展(集团)有限责任公司
2026-03-31,162.224,55.5562,2.92,27.91,-8.69%,12.48亿,5.60%,6.9,1.4531,13.9048,0.4232,PB；PE,153.35亿,44.71%,443.25亿,,,青岛国信发展(集团)有限责任公司
2025,172.224,55.5562,3.1,100.27,-9.12%,31.28亿,9.51%,6.68,1.7176,5.9615,0.4641,PB；PE,141.83亿,31.31%,450.91亿,0.12,,青岛国信发展(集团)有限责任公司
2024,163.891,55.5562,2.95,110.33,6.85%,28.56亿,11.24%,6.44,1.4855,6.2766,0.4581,PB；PE,124.40亿,25.83%,411.11亿,0.1,,青岛国信发展(集团)有限责任公司
2023,135.557,55.5561,2.44,103.25,3.84%,25.68亿,10.82%,5.96,1.3129,5.8095,0.4094,PB；PE,113.20亿,25.21%,390.49亿,,,青岛国信发展(集团)有限责任公司
2022,150.001,55.556,2.7,99.44,-3.43%,23.17亿,-24.41%,5.5,1.5085,7.2973,0.4909,PB；PE,96.18亿,23.60%,364.83亿,0.1,,青岛国信发展(集团)有限责任公司
2021,193.889,55.5556,3.49,102.97,7.58%,30.66亿,3.58%,5.25,1.883,6.5849,0.6648,PB；PE,92.26亿,30.03%,350.50亿,0.15,,青岛国信发展(集团)有限责任公司
2020,246.667,55.5556,4.44,95.72,9.65%,29.60亿,4.77%,4.83,2.577,8.3774,0.9193,PB；PE,82.29亿,31.11%,297.02亿,0.15,,青岛国信发展(集团)有限责任公司
2019,303.334,55.5556,5.46,87.29,16.98%,28.25亿,16.78%,4.39,3.475,10.5,1.2437,PB；PE,71.60亿,32.62%,252.62亿,0.15,,青岛国信发展(集团)有限责任公司
2018,,,,74.62,22.75%,24.19亿,13.23%,4.1,,,,PB；PE,58.28亿,32.75%,213.43亿,,,青岛国信发展(集团)有限责任公司
2017,,,,60.79,4.27%,21.36亿,10.89%,3.42,,,,PB；PE,44.23亿,35.21%,179.19亿,,,青岛国信发展(集团)有限责任公司
2016,,,,58.3,1.38%,19.27亿,3.38%,2.99,,,,PB；PE,34.83亿,32.65%,157.48亿,,,青岛国信发展(集团)有限责任公司
2015,,,,57.51,2.72%,18.64亿,7.64%,2.7,,,,PB；PE,28.41亿,32.41%,134.89亿,,,青岛国信发展(集团)有限责任公司
2014,,,,55.99,12.33%,17.31亿,4.92%,2.41,,,,PB；PE,21.11亿,30.92%,120.74亿,,,青岛国信发展(集团)有限责任公司
2013,,,,49.84,17.60%,16.50亿,38.87%,2.11,,,,PB；PE,19.22亿,33.11%,105.35亿,,,青岛国信发展(集团)有限责任公司
2012,,,,42.38,22.42%,11.88亿,110.18%,0.0,,,,PB；PE,5.19亿,28.04%,89.68亿,,,青岛国信发展(集团)有限责任公司
2011,,,,34.62,False,5.65亿,False,0.0,,,,PB；PE,2.29亿,16.33%,32.14亿,,,青岛国信发展(集团)有限责任公司
