报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,98.707,20.1854,4.89,11.46,1.22%,4.62亿,5.05%,9.59,8.6132,21.2609,0.5099,PB；PE,38.29亿,40.32%,193.80亿,0.12,,亨通集团有限公司
2026-03-31,98.707,20.1854,4.89,11.46,1.22%,4.62亿,5.05%,9.59,2.1533,21.2609,0.5099,PB；PE,38.29亿,40.32%,193.80亿,0.12,,亨通集团有限公司
2025,92.67,18.3504,5.05,42.13,0.92%,20.43亿,5.05%,9.35,2.1996,5.0,0.5401,PB；PE,33.67亿,48.51%,188.91亿,0.27,,亨通集团有限公司
2024,82.761,18.0307,4.59,41.74,3.17%,19.45亿,11.62%,9.83,1.9828,4.732,0.4669,PB；PE,25.97亿,46.61%,180.56亿,0.18,,亨通集团有限公司
2023,62.747,18.0307,3.48,40.46,0.21%,17.43亿,16.04%,8.75,1.5508,3.5876,0.3977,PB；PE,22.25亿,43.14%,157.97亿,0.16999999999999998,,亨通集团有限公司
2022,67.976,18.0307,3.77,40.37,5.30%,15.02亿,29.42%,7.88,1.6838,4.5422,0.4784,PB；PE,18.13亿,37.37%,143.28亿,0.16,,亨通集团有限公司
2021,68.336,18.0307,3.79,38.34,2.17%,11.60亿,21.96%,7.29,1.7824,5.9219,0.5199,PB；PE,14.41亿,30.29%,132.68亿,0.15,,亨通集团有限公司
2020,67.435,18.0307,3.74,37.53,6.59%,9.51亿,4.19%,6.67,1.7968,7.0566,0.5607,PB；PE,12.76亿,25.55%,121.40亿,0.15,,亨通集团有限公司
2019,55.751,14.4808,3.85,35.21,11.79%,9.13亿,13.84%,6.38,1.5834,7.549,0.6034,PB；PE,12.02亿,25.99%,116.25亿,0.1,,亨通集团有限公司
2018,57.634,14.4808,3.98,31.5,15.54%,8.02亿,9.72%,6.3,1.8297,7.96,0.6317,PB；PE,13.43亿,25.72%,95.21亿,0.15,,亨通集团有限公司
2017,,,5.25,27.26,18.22%,7.31亿,12.43%,5.78,,10.5,0.9083,PB；PE,12.27亿,27.11%,84.73亿,0.06,,亨通集团有限公司
2016,,,7.56,23.06,-2.64%,6.50亿,7.58%,6.98,,15.4286,1.0831,PB；PE,9.35亿,28.58%,78.79亿,,,亨通集团有限公司
2015,,,,23.68,-2.53%,6.04亿,-21.27%,6.55,,,,PB；PE,9.56亿,25.82%,66.60亿,,,亨通集团有限公司
2014,,,,24.3,6.40%,7.68亿,-20.40%,6.0,,,,PB；PE,9.61亿,31.97%,61.06亿,,,亨通集团有限公司
2013,,,,22.84,8.45%,9.65亿,11.67%,5.42,,,,PB；PE,10.99亿,42.60%,55.22亿,,,亨通集团有限公司
2012,,,,21.06,23.11%,8.64亿,13.42%,4.73,,,,PB；PE,8.66亿,41.37%,48.20亿,,,亨通集团有限公司
2011,,,,17.1,40.33%,7.62亿,40.41%,4.25,,,,PB；PE,7.97亿,44.89%,43.37亿,,,亨通集团有限公司
2010,,,,12.19,23.15%,5.42亿,48.39%,0.0,,,,PB；PE,6.31亿,44.64%,36.37亿,,,亨通集团有限公司
