报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,1908.463,590.8555,3.23,318.11,-3.85%,114.59亿,-8.06%,8.54,5.9994,19.0,0.3782,PB；PE,2440.93亿,36.22%,5770.14亿,0.10500000000000001,40%: 最新年度营业收入下滑；最新年度净利润同比下降,中国光大集团股份公司
2026-03-31,1908.463,590.8555,3.23,318.11,-3.85%,114.59亿,-8.06%,8.54,1.4998,19.0,0.3782,PB；PE,2440.93亿,36.22%,5770.14亿,0.10500000000000001,,中国光大集团股份公司
2025,1997.092,590.8555,3.38,1263.11,-6.72%,388.26亿,-6.88%,8.46,1.5811,5.8276,0.3995,PB；PE,2404.51亿,30.99%,6074.42亿,0.189,,中国光大集团股份公司
2024,2109.354,590.8555,3.57,1354.15,-7.05%,416.96亿,2.22%,8.17,1.5577,5.7581,0.437,PB；PE,2189.17亿,30.95%,5902.31亿,0.173,,中国光大集团股份公司
2023,1372.412,540.3198,2.54,1456.85,-3.92%,407.92亿,-8.96%,7.57,0.942,4.0968,0.3355,PB；PE,1992.82亿,28.20%,5547.85亿,0.19,,中国光大集团股份公司
2022,1361.604,540.3192,2.52,1516.32,-0.73%,448.07亿,3.23%,7.46,0.898,3.4054,0.3378,PB；PE,1792.99亿,29.70%,5100.13亿,0.20099999999999998,,中国光大集团股份公司
2021,1383.217,540.3191,2.56,1527.51,7.14%,434.07亿,14.73%,6.99,0.9055,3.6056,0.3662,PB；PE,1559.68亿,28.57%,4843.66亿,0.21000000000000002,,中国光大集团股份公司
2020,1522.19,524.8932,2.9,1425.72,7.28%,378.35亿,1.29%,6.45,1.0677,4.2647,0.4496,PB；PE,1366.02亿,26.60%,4550.40亿,0.21400000000000002,,中国光大集团股份公司
2019,1585.176,524.8927,3.02,1328.12,20.47%,373.54亿,10.98%,6.1,1.1935,4.4412,0.4951,PB；PE,1204.94亿,28.19%,3860.54亿,0.161,,中国光大集团股份公司
2018,1275.486,524.8913,2.43,1102.44,20.03%,336.59亿,6.70%,5.55,1.157,3.9836,0.4378,PB；PE,1002.96亿,30.59%,3224.73亿,0.181,,中国光大集团股份公司
2017,,,2.53,918.5,-2.33%,315.45亿,4.01%,5.24,,3.9531,0.4828,PB；PE,921.64亿,34.42%,3054.36亿,0.098,,中国光大集团股份公司
2016,,,2.39,940.37,0.94%,303.29亿,2.71%,4.72,,3.7937,0.5064,PB；PE,705.57亿,32.31%,2510.68亿,0.19,,中国光大集团股份公司
2015,,,2.46,931.59,18.63%,295.28亿,2.23%,4.36,,3.9048,0.5642,PB；PE,643.20亿,31.75%,2240.47亿,0.186,,中国光大集团股份公司
2014,,,2.74,785.31,20.25%,288.83亿,8.12%,3.83,,4.4194,0.7154,PB；PE,527.56亿,36.84%,1794.83亿,0.172,,中国光大集团股份公司
2013,,,1.39,653.06,9.00%,267.15亿,13.24%,3.3,,2.1061,0.4212,PB；PE,387.95亿,40.97%,1530.52亿,0.057999999999999996,,中国光大集团股份公司
2012,,,1.57,599.16,30.05%,235.91亿,30.57%,2.82,,2.7069,0.5567,PB；PE,188.62亿,39.42%,1143.22亿,0.133,,中国光大集团股份公司
2011,,,1.42,460.72,29.67%,180.68亿,41.26%,2.38,,3.1556,0.5966,PB；PE,171.69亿,39.25%,961.50亿,0.09459999999999999,,中国光大集团股份公司
2010,,,1.89,355.3,46.46%,127.90亿,67.34%,2.01,,5.25,0.9403,PB；PE,69.63亿,36.01%,814.63亿,,,中国光大集团股份公司
