报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,96.979,24.6139,3.94,12.19,8.18%,3.66亿,2.50%,8.11,7.9556,26.4607,0.4858,PB；PE,52.59亿,29.48%,200.94亿,0.12,,江苏江南水务股份有限公司
2026-03-31,96.979,24.6139,3.94,12.19,8.18%,3.66亿,2.50%,8.11,1.9889,26.4607,0.4858,PB；PE,52.59亿,29.48%,200.94亿,0.12,,江苏江南水务股份有限公司
2025,99.44,24.6139,4.04,41.25,4.11%,20.49亿,0.62%,7.96,2.4107,4.8523,0.5075,PB；PE,48.92亿,49.05%,198.33亿,0.30000000000000004,,江苏江南水务股份有限公司
2024,78.195,21.7207,3.6,39.62,2.51%,20.37亿,7.88%,7.55,1.9736,4.3078,0.4768,PB；PE,50.89亿,51.04%,188.59亿,0.19,,江苏江南水务股份有限公司
2023,60.6,21.7205,2.79,38.65,2.25%,18.88亿,16.83%,7.1,1.5679,3.2095,0.393,PB；PE,47.76亿,52.26%,160.76亿,0.18,,江苏江南水务股份有限公司
2022,64.726,21.7201,2.98,37.8,12.27%,16.16亿,26.88%,6.41,1.7123,4.0054,0.4649,PB；PE,41.03亿,42.78%,144.16亿,0.18,,江苏江南水务股份有限公司
2021,60.164,21.72,2.77,33.67,0.46%,12.74亿,20.51%,5.83,1.7869,4.7237,0.4751,PB；PE,35.50亿,38.16%,131.66亿,0.18,,江苏江南水务股份有限公司
2020,64.073,21.7198,2.95,33.51,-1.56%,10.57亿,4.36%,5.42,1.9121,6.0625,0.5443,PB；PE,31.73亿,31.93%,122.60亿,0.18,,江苏江南水务股份有限公司
2019,54.26,17.6743,3.07,34.04,6.86%,10.13亿,18.12%,5.25,1.594,6.1758,0.5848,PB；PE,30.11亿,29.72%,118.73亿,0.05,,江苏江南水务股份有限公司
2018,48.956,17.6735,2.77,31.86,27.09%,8.57亿,6.05%,5.72,1.5366,6.8513,0.4843,PB；PE,29.41亿,24.49%,106.39亿,0.1,,江苏江南水务股份有限公司
2017,,,4.45,25.07,1.53%,8.08亿,3.92%,5.18,,9.7289,0.8591,PB；PE,27.04亿,30.24%,93.54亿,0.15,,江苏江南水务股份有限公司
2016,,,5.75,24.69,-1.39%,7.78亿,-4.49%,4.95,,12.0318,1.1616,PB；PE,24.98亿,31.08%,90.13亿,,,江苏江南水务股份有限公司
2015,,,,25.04,6.02%,8.14亿,-0.42%,4.64,,,,PB；PE,21.00亿,32.54%,75.14亿,,,江苏江南水务股份有限公司
2014,,,,23.62,3.22%,8.18亿,-18.18%,5.02,,,,PB；PE,17.68亿,36.04%,65.47亿,,,江苏江南水务股份有限公司
2013,,,,22.89,-3.24%,10.00亿,1.90%,4.37,,,,PB；PE,18.78亿,44.88%,57.10亿,,,江苏江南水务股份有限公司
2012,,,,23.65,22.84%,9.81亿,10.92%,4.25,,,,PB；PE,16.59亿,42.26%,50.59亿,,,江苏江南水务股份有限公司
2011,,,,19.26,15.54%,8.84亿,3.49%,3.73,,,,PB；PE,14.05亿,46.73%,44.16亿,,,江苏江南水务股份有限公司
2010,,,,16.67,30.34%,8.55亿,36.51%,0.0,,,,PB；PE,11.32亿,51.64%,35.56亿,,,江苏江南水务股份有限公司
