报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,6309.174,883.6378,7.14,696.18,4.89%,261.62亿,3.11%,13.18,9.0626,23.8,0.5417,PB；PE,4114.70亿,37.90%,1.30万亿,,,中华人民共和国财政部
2026-03-31,6309.174,883.6378,7.14,696.18,4.89%,261.62亿,3.11%,13.18,2.2656,23.8,0.5417,PB；PE,4114.70亿,37.90%,1.30万亿,,,中华人民共和国财政部
2025,5384.048,742.6273,7.25,2650.71,2.02%,956.22亿,2.18%,12.93,2.0312,6.713,0.5607,PB；PE,3855.72亿,36.41%,1.28万亿,0.5353,,中华人民共和国财政部
2024,5369.195,742.6273,7.23,2598.26,0.87%,935.86亿,0.93%,13.06,2.0665,6.2328,0.5536,PB；PE,3482.65亿,36.27%,1.16万亿,0.375,,中华人民共和国财政部
2023,3772.547,742.6273,5.08,2575.95,0.31%,927.28亿,0.68%,12.3,1.4645,4.4174,0.413,PB；PE,3267.44亿,36.20%,1.10万亿,0.373,,中华人民共和国财政部
2022,2918.525,742.6273,3.93,2567.96,1.33%,921.02亿,5.16%,11.43,1.1365,3.4474,0.3438,PB；PE,2927.34亿,33.71%,1.03万亿,0.355,,中华人民共和国财政部
2021,2636.327,742.6273,3.55,2693.9,9.42%,875.81亿,11.89%,10.64,0.9786,3.2273,0.3336,PB；PE,2580.74亿,33.02%,9772.36亿,0.317,,中华人民共和国财政部
2020,2391.26,742.6273,3.22,2462.0,5.91%,782.74亿,1.28%,9.87,0.9713,3.2525,0.3262,PB；PE,2144.48亿,32.32%,8786.28亿,0.315,,中华人民共和国财政部
2019,2829.41,742.6273,3.81,2324.72,9.32%,772.81亿,4.96%,9.34,1.2171,3.81,0.4079,PB；PE,1771.41亿,33.58%,8009.12亿,0.3,,中华人民共和国财政部
2018,2770.0,742.6273,3.73,2126.54,8.49%,736.30亿,4.85%,8.6,1.3026,3.8854,0.4337,PB；PE,1291.61亿,34.88%,7053.08亿,0.28559999999999997,,中华人民共和国财政部
2017,,,3.81,1960.11,1.46%,702.23亿,4.48%,8.23,,4.1868,0.4629,PB；PE,1245.14亿,36.06%,6762.71亿,0.27149999999999996,,中华人民共和国财政部
2016,,,3.38,1931.94,-0.36%,672.10亿,1.03%,7.67,,3.7978,0.4407,PB；PE,1006.98亿,35.03%,6324.07亿,0.27,,中华人民共和国财政部
2015,,,3.6,1938.28,9.26%,665.28亿,1.03%,7.0,,4.0,0.5143,PB；PE,730.98亿,34.48%,5380.92亿,0.27,,中华人民共和国财政部
2014,,,3.67,1774.01,7.89%,658.50亿,5.71%,6.34,,4.1236,0.5789,PB；PE,718.25亿,37.22%,4736.05亿,0.26,,中华人民共和国财政部
2013,,,1.93,1644.35,11.60%,622.95亿,6.73%,5.65,,2.2976,0.3416,PB；PE,673.30亿,37.99%,4214.84亿,0.24,,中华人民共和国财政部
2012,,,2.34,1473.37,16.05%,583.69亿,15.05%,5.12,,2.6591,0.457,PB；PE,778.68亿,39.69%,3814.47亿,0.1,,中华人民共和国财政部
2011,,,2.08,1269.56,21.80%,507.35亿,29.95%,4.39,,2.5366,0.4738,PB；PE,463.67亿,40.03%,2727.88亿,0.02,,中华人民共和国财政部
2010,,,2.3,1042.34,28.78%,390.42亿,29.82%,3.96,,3.4848,0.5808,PB；PE,299.41亿,37.58%,2236.57亿,0.2,,中华人民共和国财政部
