报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-11,9767.648,252.1985,38.73,869.4,3.81%,378.52亿,1.52%,44.9,11.2349,25.9933,0.8626,PB；PE,7170.73亿,43.76%,1.29万亿,1.0130000000000001,,香港中央结算(代理人)有限公司
2026-03-31,9767.648,252.1985,38.73,869.4,3.81%,378.52亿,1.52%,44.9,2.8087,25.9933,0.8626,PB；PE,7170.73亿,43.76%,1.29万亿,1.0130000000000001,,香港中央结算(代理人)有限公司
2025,10350.226,252.1985,41.04,3375.32,0.01%,1501.81亿,1.21%,43.43,3.0664,7.2,0.945,PB；PE,6798.08亿,44.77%,1.28万亿,2.0,,香港中央结算(代理人)有限公司
2024,9260.729,252.1985,36.72,3374.88,-0.48%,1483.91亿,1.22%,41.46,2.744,6.4876,0.8857,PB；PE,6340.78亿,44.32%,1.23万亿,1.972,,香港中央结算(代理人)有限公司
2023,6183.907,252.1985,24.52,3391.23,-1.64%,1466.02亿,6.22%,36.71,1.8235,4.3552,0.6679,PB；PE,5683.72亿,43.64%,1.09万亿,1.738,,香港中央结算(代理人)有限公司
2022,7845.895,252.1985,31.11,3447.83,4.08%,1380.12亿,15.08%,32.71,2.2756,5.9144,0.9511,PB；PE,4929.71亿,40.40%,9542.38亿,1.522,,香港中央结算(代理人)有限公司
2021,9830.698,252.1985,38.98,3312.53,14.04%,1199.22亿,23.20%,29.01,2.9677,8.4555,1.3437,PB；PE,4285.92亿,36.48%,8656.81亿,1.253,,香港中央结算(代理人)有限公司
2020,8650.409,252.1985,34.3,2904.82,7.70%,973.42亿,4.82%,25.36,2.978,9.0501,1.3525,PB；PE,3702.65亿,33.72%,7303.54亿,1.2,,香港中央结算(代理人)有限公司
2019,7172.525,252.1985,28.44,2697.03,8.51%,928.67亿,15.28%,22.89,2.6594,7.8564,1.2425,PB；PE,3216.10亿,34.64%,6177.07亿,0.9400000000000001,,香港中央结算(代理人)有限公司
2018,4683.326,252.1985,18.57,2485.55,12.52%,805.60亿,14.84%,20.07,1.8842,5.9329,0.9253,PB；PE,2743.61亿,32.52%,5436.05亿,0.8400000000000001,,香港中央结算(代理人)有限公司
2017,,,20.71,2208.97,5.33%,701.50亿,13.00%,17.69,,7.4496,1.1707,PB；PE,2410.63亿,31.98%,4833.92亿,0.74,,香港中央结算(代理人)有限公司
2016,,,12.15,2097.2,3.75%,620.81亿,7.60%,15.95,,4.939,0.7618,PB；PE,1991.10亿,29.84%,4033.62亿,0.6900000000000001,,香港中央结算(代理人)有限公司
2015,,,11.93,2014.71,21.47%,576.96亿,3.19%,14.31,,5.2096,0.8337,PB；PE,1632.89亿,28.80%,3617.58亿,0.67,,香港中央结算(代理人)有限公司
2014,,,10.61,1658.63,25.08%,559.11亿,8.06%,12.47,,4.7793,0.8508,PB；PE,1385.62亿,33.79%,3150.60亿,0.62,,香港中央结算(代理人)有限公司
2013,,,6.54,1326.04,16.97%,517.43亿,14.30%,10.53,,2.8435,0.6211,PB；PE,1111.07亿,39.02%,2659.56亿,0.63,,香港中央结算(代理人)有限公司
2012,,,7.72,1133.67,17.90%,452.68亿,25.30%,9.29,,3.6762,0.831,PB；PE,849.19亿,39.94%,2004.01亿,0.42000000000000004,,香港中央结算(代理人)有限公司
2011,,,6.42,961.57,34.72%,361.29亿,40.20%,7.65,,3.8443,0.8392,PB；PE,735.08亿,37.57%,1650.10亿,0.29,,香港中央结算(代理人)有限公司
2010,,,6.78,713.77,38.74%,257.69亿,41.32%,6.21,,5.5122,1.0918,PB；PE,490.63亿,36.10%,1340.06亿,0.21000000000000002,,香港中央结算(代理人)有限公司
