报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,1213.483,72.49,16.74,104.06,4.29%,66.29亿,10.09%,19.32,11.6614,19.0227,0.8665,PB；PE,577.41亿,63.71%,1700.28亿,0.27999999999999997,,杭州市财开投资集团有限公司
2026-03-31,1213.483,72.49,16.74,104.06,4.29%,66.29亿,10.09%,19.32,2.9153,19.0227,0.8665,PB；PE,577.41亿,63.71%,1700.28亿,0.27999999999999997,,杭州市财开投资集团有限公司
2025,924.327,60.4926,15.28,387.99,1.09%,190.29亿,12.05%,18.37,2.3823,5.7444,0.8318,PB；PE,513.71亿,49.05%,1631.89亿,0.6599999999999999,,杭州市财开投资集团有限公司
2024,831.425,59.3028,14.02,383.81,9.61%,169.83亿,18.07%,18.03,2.1662,5.1168,0.7776,PB；PE,442.71亿,44.25%,1360.48亿,0.89,,杭州市财开投资集团有限公司
2023,533.132,59.3028,8.99,350.16,6.33%,143.83亿,23.15%,15.9,1.5225,3.8918,0.5654,PB；PE,382.95亿,41.08%,1112.93亿,0.4,,杭州市财开投资集团有限公司
2022,673.085,59.3026,11.35,329.32,12.16%,116.79亿,26.11%,13.76,2.0439,6.2022,0.8249,PB；PE,301.98亿,35.47%,985.73亿,0.35,,杭州市财开投资集团有限公司
2021,644.613,59.302,10.87,293.61,18.36%,92.61亿,29.77%,12.33,2.1955,7.6014,0.8816,PB；PE,251.87亿,31.54%,900.71亿,0.35,,杭州市财开投资集团有限公司
2020,634.093,51.302,12.36,248.06,15.87%,71.36亿,8.09%,10.77,2.5562,10.5641,1.1476,PB；PE,227.37亿,28.77%,808.63亿,0.35,,杭州市财开投资集团有限公司
2019,376.557,51.302,7.34,214.09,25.53%,66.02亿,21.99%,10.25,1.7589,6.1681,0.7161,PB；PE,201.09亿,30.84%,625.45亿,0.25,,杭州市财开投资集团有限公司
2018,211.071,36.6443,5.76,170.54,20.77%,54.12亿,18.94%,9.2,1.2377,6.0632,0.6261,PB；PE,165.81亿,31.73%,571.65亿,0.3,,杭州市财开投资集团有限公司
2017,,,6.23,141.22,2.83%,45.50亿,13.17%,11.42,,7.0,0.5455,PB；PE,145.72亿,32.22%,518.31亿,0.3,,杭州市财开投资集团有限公司
2016,,,7.98,137.33,10.71%,40.21亿,8.54%,14.73,,6.65,0.5418,PB；PE,126.46亿,29.03%,385.62亿,,,杭州市财开投资集团有限公司
2015,,,,124.04,12.49%,37.04亿,5.65%,13.51,,,,PB；PE,112.57亿,29.87%,318.94亿,,,杭州市财开投资集团有限公司
2014,,,,110.27,12.81%,35.06亿,-7.44%,12.0,,,,PB；PE,106.10亿,31.84%,261.62亿,,,杭州市财开投资集团有限公司
2013,,,,97.75,-0.13%,37.88亿,6.66%,12.29,,,,PB；PE,87.63亿,38.86%,206.13亿,,,杭州市财开投资集团有限公司
2012,,,,97.88,30.28%,35.52亿,31.98%,10.44,,,,PB；PE,56.92亿,36.35%,175.13亿,,,杭州市财开投资集团有限公司
2011,,,,75.13,49.78%,26.91亿,40.81%,8.63,,,,PB；PE,49.12亿,35.83%,144.28亿,,,杭州市财开投资集团有限公司
2010,,,,50.16,37.07%,19.11亿,39.96%,0.0,,,,PB；PE,29.78亿,38.10%,119.38亿,,,杭州市财开投资集团有限公司
