报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,359.888,44.7066,8.05,36.05,10.94%,16.82亿,8.23%,11.59,9.983,23.0,0.6946,PB；PE,184.16亿,48.44%,651.94亿,,,苏州国际发展集团有限公司
2026-03-31,359.888,44.7066,8.05,36.05,10.94%,16.82亿,8.23%,11.59,2.4958,23.0,0.6946,PB；PE,184.16亿,48.44%,651.94亿,,,苏州国际发展集团有限公司
2025,317.762,38.3308,8.29,123.56,1.08%,53.48亿,5.53%,11.19,2.5717,7.2719,0.7408,PB；PE,168.49亿,45.15%,633.48亿,0.41000000000000003,,苏州国际发展集团有限公司
2024,283.439,36.6674,7.73,122.24,3.01%,50.68亿,10.16%,11.46,2.3187,5.9008,0.6745,PB；PE,154.44亿,43.14%,552.56亿,0.5900000000000001,,苏州国际发展集团有限公司
2023,208.637,36.6673,5.69,118.66,0.88%,46.01亿,17.41%,10.77,1.7583,4.6639,0.5283,PB；PE,137.23亿,40.43%,476.66亿,0.32999999999999996,,苏州国际发展集团有限公司
2022,218.003,33.3338,6.54,117.63,8.62%,39.18亿,26.13%,9.69,1.8533,6.1121,0.6749,PB；PE,115.64亿,35.00%,404.62亿,0.27999999999999997,,苏州国际发展集团有限公司
2021,165.667,33.3333,4.97,108.29,4.49%,31.07亿,20.79%,9.79,1.5298,5.8471,0.5077,PB；PE,97.10亿,30.36%,342.89亿,0.24,,苏州国际发展集团有限公司
2020,182.0,33.3333,5.46,103.64,9.97%,25.72亿,4.00%,8.92,1.7561,7.0909,0.6121,PB；PE,87.95亿,26.30%,312.31亿,0.2,,苏州国际发展集团有限公司
2019,235.666,33.3333,7.07,94.24,21.80%,24.73亿,10.31%,8.34,2.5007,8.9494,0.8477,PB；PE,72.81亿,27.70%,289.53亿,,,苏州国际发展集团有限公司
2018,,,,77.37,12.16%,22.42亿,6.26%,7.85,,,,PB；PE,60.44亿,29.91%,245.86亿,,,苏州国际发展集团有限公司
2017,,,,68.99,-1.55%,21.10亿,8.22%,7.11,,,,PB；PE,46.30亿,31.17%,222.79亿,,,苏州国际发展集团有限公司
2016,,,,70.07,1.29%,19.50亿,7.41%,6.65,,,,PB；PE,33.30亿,28.36%,209.05亿,,,苏州国际发展集团有限公司
2015,,,,69.18,19.10%,18.15亿,3.13%,6.22,,,,PB；PE,21.63亿,26.61%,196.24亿,,,苏州国际发展集团有限公司
2014,,,,58.09,28.81%,17.60亿,10.12%,5.71,,,,PB；PE,19.39亿,30.99%,173.82亿,,,苏州国际发展集团有限公司
2013,,,,45.09,30.53%,15.98亿,17.82%,5.15,,,,PB；PE,16.02亿,36.08%,156.44亿,,,苏州国际发展集团有限公司
2012,,,,34.55,50.32%,13.56亿,31.53%,0.0,,,,PB；PE,13.75亿,40.04%,149.11亿,,,苏州国际发展集团有限公司
2011,,,,22.98,64.72%,10.31亿,69.49%,0.0,,,,PB；PE,10.78亿,45.38%,137.33亿,,,苏州国际发展集团有限公司
2010,,,,13.95,35.36%,6.08亿,78.18%,0.0,,,,PB；PE,5.31亿,29.82%,127.42亿,,,苏州国际发展集团有限公司
