报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,3938.408,211.6286,18.61,550.9,-1.07%,238.32亿,0.15%,39.34,7.149,16.469,0.4731,PB；PE,5783.34亿,43.34%,9245.29亿,1.066,20%: 最新年度营业收入下滑,福建省金融投资有限责任公司
2026-03-31,3938.408,211.6286,18.61,550.9,-1.07%,238.32亿,0.15%,39.34,1.7873,16.469,0.4731,PB；PE,5783.34亿,43.34%,9245.29亿,1.066,,福建省金融投资有限责任公司
2025,4134.088,207.7431,19.9,2127.41,0.24%,774.69亿,0.34%,38.83,1.9432,5.7514,0.5125,PB；PE,5666.12亿,36.60%,9136.46亿,1.06,,福建省金融投资有限责任公司
2024,3593.952,207.7429,17.3,2122.26,0.66%,772.05亿,0.12%,36.88,1.6935,4.9288,0.4691,PB；PE,5258.31亿,36.51%,8936.11亿,1.04,,福建省金融投资有限责任公司
2023,2856.459,207.7425,13.75,2108.31,-5.19%,771.16亿,-15.61%,34.2,1.3549,3.9174,0.402,PB；PE,4796.90亿,36.83%,8077.19亿,1.1880000000000002,,福建省金融投资有限责任公司
2022,2883.458,207.7419,13.88,2223.74,0.51%,913.77亿,10.52%,31.79,1.2967,3.3048,0.4366,PB；PE,4426.27亿,41.56%,7572.98亿,1.035,,福建省金融投资有限责任公司
2021,2966.554,207.7419,14.28,2212.36,8.91%,826.80亿,24.10%,28.8,1.3409,3.7878,0.4958,PB；PE,3879.76亿,37.89%,6942.98亿,0.8019999999999999,,福建省金融投资有限责任公司
2020,3122.361,207.7419,15.03,2031.37,12.04%,666.26亿,1.15%,25.5,1.5371,4.8799,0.5894,PB；PE,3366.26亿,33.32%,6248.03亿,0.762,,福建省金融投资有限责任公司
2019,2831.522,207.7419,13.63,1813.08,14.54%,658.68亿,8.66%,23.37,1.5617,4.3968,0.5832,PB；PE,2973.89亿,36.79%,5496.52亿,0.6900000000000001,,福建省金融投资有限责任公司
2018,2056.645,207.7419,9.9,1582.87,13.08%,606.20亿,5.98%,21.18,1.2993,3.4737,0.4674,PB；PE,2578.01亿,38.69%,4725.84亿,0.65,,福建省金融投资有限责任公司
2017,,,10.8,1399.75,-10.89%,572.00亿,6.22%,18.82,,3.9416,0.5739,PB；PE,2149.77亿,41.25%,4227.52亿,0.61,,福建省金融投资有限责任公司
2016,,,9.88,1570.87,1.76%,538.50亿,7.26%,17.02,,3.5668,0.5805,PB；PE,1735.24亿,34.59%,3544.10亿,0.61,,福建省金融投资有限责任公司
2015,,,10.06,1543.48,23.58%,502.07亿,6.51%,15.1,,3.8251,0.6662,PB；PE,1416.56亿,32.82%,3173.77亿,0.5700000000000001,,福建省金融投资有限责任公司
2014,,,9.44,1248.98,14.28%,471.38亿,14.38%,12.86,,3.8219,0.7341,PB；PE,1196.07亿,38.06%,2610.96亿,0.45999999999999996,,福建省金融投资有限责任公司
2013,,,5.53,1092.87,24.73%,412.11亿,18.70%,10.49,,2.5602,0.5272,PB；PE,923.68亿,37.98%,2011.71亿,0.5700000000000001,,福建省金融投资有限责任公司
2012,,,5.83,876.19,46.35%,347.18亿,36.12%,13.35,,2.7116,0.4367,PB；PE,712.83亿,39.86%,1706.35亿,0.37,,福建省金融投资有限责任公司
2011,,,4.26,598.7,37.77%,255.05亿,37.71%,10.68,,1.8051,0.3989,PB；PE,564.27亿,42.75%,1160.78亿,0.45999999999999996,,福建省金融投资有限责任公司
2010,,,4.47,434.56,37.18%,185.21亿,39.44%,15.35,,2.456,0.2912,PB；PE,400.39亿,42.62%,919.95亿,0.5,,福建省金融投资有限责任公司
