报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,4273.548,556.4516,7.68,546.49,5.23%,200.98亿,3.02%,13.35,7.82,21.3333,0.5753,PB；PE,3952.33亿,37.49%,8667.33亿,0.193,,中国中信金融控股有限公司
2026-03-31,4273.548,556.4516,7.68,546.49,5.23%,200.98亿,3.02%,13.35,1.955,21.3333,0.5753,PB；PE,3952.33亿,37.49%,8667.33亿,0.193,,中国中信金融控股有限公司
2025,4085.215,543.9701,7.51,2124.75,-0.55%,706.18亿,2.98%,13.01,1.9227,6.2583,0.5772,PB；PE,3752.34亿,33.65%,8476.30亿,0.36019999999999996,,中国中信金融控股有限公司
2024,3192.64,489.6687,6.52,2136.46,3.76%,685.76亿,2.33%,12.58,1.4944,5.3443,0.5183,PB；PE,3438.68亿,32.52%,8073.65亿,0.5085999999999999,,中国中信金融控股有限公司
2023,2241.216,489.3484,4.58,2058.96,-2.60%,670.16亿,7.91%,12.3,1.0885,3.6063,0.3724,PB；PE,3206.19亿,33.06%,7346.75亿,0.329,,中国中信金融控股有限公司
2022,1996.541,489.3484,4.08,2113.92,3.34%,621.03亿,11.61%,11.25,0.9445,3.4872,0.3627,PB；PE,2855.05亿,29.78%,6858.30亿,0.302,,中国中信金融控股有限公司
2021,1732.293,489.3484,3.54,2045.57,5.05%,556.41亿,13.60%,10.45,0.8469,3.2778,0.3388,PB；PE,2540.05亿,27.56%,6426.26亿,0.254,,中国中信金融控股有限公司
2020,1820.375,489.3481,3.72,1947.31,3.81%,489.80亿,2.01%,9.6,0.9348,3.9574,0.3875,PB；PE,2236.25亿,25.44%,5600.38亿,0.23900000000000002,,中国中信金融控股有限公司
2019,2104.196,489.348,4.3,1875.84,13.79%,480.15亿,7.87%,9.04,1.1217,4.5263,0.4757,PB；PE,2034.11亿,26.12%,5325.24亿,0.22999999999999998,,中国中信金融控股有限公司
2018,1786.12,489.348,3.65,1648.54,5.20%,445.13亿,4.57%,8.21,1.0835,4.1477,0.4446,PB；PE,1798.20亿,27.53%,4530.86亿,0.261,,中国中信金融控股有限公司
2017,,,3.98,1567.08,1.86%,425.66亿,2.25%,7.45,,4.7381,0.5342,PB；PE,1631.21亿,27.36%,4124.33亿,0.215,,中国中信金融控股有限公司
2016,,,3.99,1538.44,5.96%,416.29亿,1.14%,7.04,,4.6941,0.5668,PB；PE,1366.66亿,27.17%,3844.96亿,0.21200000000000002,,中国中信金融控股有限公司
2015,,,4.34,1451.34,16.37%,411.58亿,1.15%,6.49,,4.9318,0.6687,PB；PE,1186.68亿,28.76%,3196.86亿,,,中国中信金融控股有限公司
2014,,,4.89,1247.16,19.28%,406.92亿,3.87%,5.55,,5.6207,0.8811,PB；PE,955.86亿,33.24%,2673.46亿,0.252,,中国中信金融控股有限公司
2013,,,2.19,1045.58,16.91%,391.75亿,26.24%,4.82,,2.6071,0.4544,PB；PE,766.90亿,37.99%,2307.25亿,0.15,,中国中信金融控股有限公司
2012,,,2.33,894.35,16.23%,310.32亿,0.69%,4.24,,3.5303,0.5495,PB；PE,573.33亿,35.09%,2030.86亿,0.145,,中国中信金融控股有限公司
2011,,,2.12,769.48,37.99%,308.19亿,43.28%,3.73,,2.9859,0.5684,PB；PE,506.22亿,40.08%,1787.81亿,0.05500000000000001,,中国中信金融控股有限公司
2010,,,2.58,557.65,36.68%,215.09亿,50.20%,3.08,,4.8679,0.8377,PB；PE,305.76亿,39.06%,1245.38亿,0.088,,中国中信金融控股有限公司
