报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,27728.407,3564.0626,7.78,2303.7,8.27%,869.41亿,3.31%,11.06,12.0365,32.4167,0.7034,PB；PE,2.27万亿,38.21%,4.36万亿,0.1689,,中央汇金投资有限责任公司
2026-03-31,27728.407,3564.0626,7.78,2303.7,8.27%,869.41亿,3.31%,11.06,3.0091,32.4167,0.7034,PB；PE,2.27万亿,38.21%,4.36万亿,0.1689,,中央汇金投资有限责任公司
2025,27621.485,3564.0626,7.75,8382.7,2.00%,3685.62亿,0.74%,10.83,3.2951,7.75,0.7156,PB；PE,2.18万亿,44.23%,4.27万亿,0.4494,,中央汇金投资有限责任公司
2024,22703.079,3564.0626,6.37,8218.03,-2.52%,3658.63亿,0.51%,10.23,2.7626,6.5,0.6227,PB；PE,2.01万亿,44.65%,3.99万亿,0.3064,,中央汇金投资有限责任公司
2023,14897.782,3564.0626,4.18,8430.7,-3.73%,3639.93亿,0.79%,9.55,1.7671,4.2653,0.4377,PB；PE,1.91万亿,43.31%,3.78万亿,0.3035,,中央汇金投资有限责任公司
2022,12688.063,3564.0626,3.56,8757.34,-2.63%,3611.32亿,3.67%,8.81,1.4488,3.6701,0.4041,PB；PE,1.77万亿,39.33%,3.52万亿,0.2933,,中央汇金投资有限责任公司
2021,12723.703,3564.0626,3.57,9427.62,6.81%,3483.38亿,10.27%,8.15,1.3496,3.7579,0.438,PB；PE,1.62万亿,37.15%,3.28万亿,0.266,,中央汇金投资有限责任公司
2020,13008.828,3564.0626,3.65,8826.65,3.18%,3159.06亿,1.18%,7.48,1.4738,4.2442,0.488,PB；PE,1.51万亿,35.99%,2.91万亿,0.26280000000000003,,中央汇金投资有限责任公司
2019,14541.375,3564.0626,4.08,8554.28,10.52%,3122.24亿,4.89%,6.93,1.6999,4.7442,0.5887,PB；PE,1.37万亿,36.64%,2.69万亿,0.2506,,中央汇金投资有限责任公司
2018,12545.5,3564.0626,3.52,7737.89,6.51%,2976.76亿,4.06%,6.3,1.6213,4.2927,0.5587,PB；PE,1.21万亿,38.61%,2.34万亿,0.2408,,中央汇金投资有限责任公司
2017,,,3.95,7265.02,7.49%,2860.49亿,2.80%,5.73,,5.0,0.6894,PB；PE,1.10万亿,39.57%,2.14万亿,0.2343,,中央汇金投资有限责任公司
2016,,,2.68,6758.91,-3.12%,2782.49亿,0.40%,5.29,,3.4805,0.5066,PB；PE,9406.63亿,41.29%,1.98万亿,0.2333,,中央汇金投资有限责任公司
2015,,,2.64,6976.47,5.88%,2771.31亿,0.48%,4.8,,3.4286,0.55,PB；PE,7819.88亿,39.81%,1.80万亿,0.25539999999999996,,中央汇金投资有限责任公司
2014,,,2.69,6588.92,11.75%,2758.11亿,5.01%,4.33,,3.4487,0.6212,PB；PE,6502.36亿,41.93%,1.54万亿,0.2617,,中央汇金投资有限责任公司
2013,,,1.84,5896.37,9.81%,2626.49亿,10.11%,3.63,,2.4533,0.5069,PB；PE,5119.49亿,44.60%,1.28万亿,0.23900000000000002,,中央汇金投资有限责任公司
2012,,,2.0,5369.45,12.99%,2385.32亿,14.53%,3.22,,2.9412,0.6211,PB；PE,3725.41亿,44.45%,1.13万亿,0.20299999999999999,,中央汇金投资有限责任公司
2011,,,1.94,4752.14,24.79%,2082.65亿,26.10%,2.74,,3.2333,0.708,PB；PE,3133.34亿,43.86%,9578.23亿,0.184,,中央汇金投资有限责任公司
2010,,,1.86,3808.21,23.06%,1651.56亿,28.43%,2.35,,3.875,0.7915,PB；PE,2011.57亿,43.60%,8216.57亿,0.16999999999999998,,中央汇金投资有限责任公司
