报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,2130.77,194.0592,10.98,352.77,4.65%,145.23亿,3.03%,23.91,6.0401,16.3881,0.4592,PB；PE,2837.14亿,41.17%,5440.83亿,0.36,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2026-03-31,2130.77,194.0592,10.98,352.77,4.65%,145.23亿,3.03%,23.91,1.51,16.3881,0.4592,PB；PE,2837.14亿,41.17%,5440.83亿,0.36,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2025,2214.215,194.0592,11.41,1314.42,-10.40%,426.33亿,-4.21%,23.25,1.6846,5.5121,0.4908,PB；PE,2707.88亿,32.43%,5511.84亿,0.598,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2024,2155.998,194.0592,11.11,1466.95,-10.93%,445.08亿,-4.19%,21.89,1.4697,5.1674,0.5075,PB；PE,2436.05亿,30.34%,4948.42亿,0.9650000000000001,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2023,1581.582,194.0592,8.15,1646.99,-8.45%,464.55亿,2.06%,20.74,0.9603,3.6222,0.393,PB；PE,2212.55亿,28.21%,4723.28亿,0.28500000000000003,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2022,2161.819,194.0592,11.14,1798.95,6.21%,455.16亿,25.26%,18.8,1.2017,5.0636,0.5926,PB；PE,1863.05亿,25.30%,4346.80亿,0.22799999999999998,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2021,2660.552,194.0592,13.71,1693.83,10.32%,363.36亿,25.61%,16.77,1.5707,7.9249,0.8175,PB；PE,1543.77亿,21.45%,3954.48亿,0.18,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2020,3097.185,194.0592,15.96,1535.42,11.30%,289.28亿,2.60%,15.16,2.0172,11.4,1.0528,PB；PE,1311.86亿,18.84%,3641.31亿,0.21800000000000003,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2019,2292.25,171.7041,13.35,1379.58,18.20%,281.95亿,13.61%,14.07,1.6616,8.6688,0.9488,PB；PE,1133.70亿,20.44%,3129.83亿,0.145,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2018,1292.932,171.7041,7.53,1167.16,10.33%,248.18亿,7.02%,12.82,1.1078,5.4173,0.5874,PB；PE,950.37亿,21.26%,2400.42亿,0.136,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2017,,,10.51,1057.86,-1.79%,231.89亿,2.61%,11.77,,8.0846,0.8929,PB；PE,796.61亿,21.92%,2220.54亿,0.158,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2016,,,7.09,1077.15,12.01%,225.99亿,3.36%,10.61,,5.3712,0.6682,PB；PE,641.43亿,20.98%,2021.71亿,0.153,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2015,,,7.67,961.63,31.00%,218.65亿,10.42%,11.29,,5.9,0.6794,PB；PE,529.33亿,22.74%,1615.00亿,0.174,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2014,,,8.37,734.07,40.66%,198.02亿,30.01%,11.46,,5.8125,0.7304,PB；PE,436.56亿,26.98%,1309.49亿,0.16,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2013,,,5.32,521.89,31.30%,152.31亿,13.64%,11.77,,3.4323,0.452,PB；PE,299.63亿,29.18%,1120.81亿,0.16999999999999998,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2012,,,4.31,397.49,34.09%,134.03亿,30.40%,16.55,,2.628,0.2604,PB；PE,230.77亿,33.99%,847.99亿,0.1,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2011,,,4.16,296.43,64.94%,102.79亿,64.55%,14.31,,1.6842,0.2907,PB；PE,158.64亿,35.05%,753.81亿,,,中国平安保险(集团)股份有限公司-集团本级-自有资金
2010,,,4.22,179.72,19.24%,62.47亿,24.17%,9.62,,2.2211,0.4387,PB；PE,87.41亿,34.87%,335.13亿,,,中国平安保险(集团)股份有限公司-集团本级-自有资金
