报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,414.519,34.7459,11.93,39.96,11.57%,17.93亿,10.40%,16.39,10.3733,22.9423,0.7279,PB；PE,299.30亿,47.51%,695.64亿,0.1684,,香港中央结算(代理人)有限公司
2026-03-31,414.519,34.7459,11.93,39.96,11.57%,17.93亿,10.40%,16.39,2.5933,22.9423,0.7279,PB；PE,299.30亿,47.51%,695.64亿,0.1684,,香港中央结算(代理人)有限公司
2025,370.389,34.7457,10.66,151.13,10.48%,56.54亿,10.49%,16.11,2.4508,6.9673,0.6617,PB；PE,281.37亿,40.39%,659.99亿,0.414,,香港中央结算(代理人)有限公司
2024,304.719,34.7456,8.77,136.79,3.54%,51.17亿,3.80%,15.56,2.2276,6.3551,0.5636,PB；PE,253.63亿,40.36%,637.64亿,0.40800000000000003,,香港中央结算(代理人)有限公司
2023,216.811,34.7454,6.24,132.11,-1.89%,49.30亿,1.27%,14.37,1.6411,4.5882,0.4342,PB；PE,237.62亿,39.58%,592.99亿,0.395,,香港中央结算(代理人)有限公司
2022,201.174,34.7451,5.79,134.65,-7.23%,48.68亿,4.38%,12.9,1.4941,4.4198,0.4488,PB；PE,213.75亿,38.00%,514.95亿,0.39,,香港中央结算(代理人)有限公司
2021,251.207,34.7451,7.23,145.15,11.24%,46.64亿,5.43%,12.19,1.7307,5.6484,0.5931,PB；PE,191.43亿,33.48%,492.47亿,0.373,,香港中央结算(代理人)有限公司
2020,,,,130.48,9.21%,44.24亿,5.14%,11.28,,,,PB；PE,171.02亿,34.99%,419.94亿,,,香港中央结算(代理人)有限公司
2019,,,,119.48,10.22%,42.07亿,11.61%,10.25,,,,PB；PE,149.34亿,36.17%,386.14亿,,,香港中央结算(代理人)有限公司
2018,,,,108.4,6.85%,37.70亿,1.18%,9.0,,,,PB；PE,120.45亿,35.26%,346.12亿,,,香港中央结算(代理人)有限公司
2017,,,,101.45,5.86%,37.26亿,6.39%,8.33,,,,PB；PE,115.97亿,37.10%,324.60亿,,,香港中央结算(代理人)有限公司
2016,,,,95.83,12.09%,35.02亿,10.48%,7.61,,,,PB；PE,98.59亿,36.55%,238.12亿,,,香港中央结算(代理人)有限公司
2015,,,,85.49,14.46%,31.70亿,12.13%,6.81,,,,PB；PE,81.48亿,37.08%,212.93亿,,,香港中央结算(代理人)有限公司
2014,,,,74.69,28.29%,28.27亿,21.37%,0.0,,,,PB；PE,69.55亿,37.85%,159.03亿,,,香港中央结算(代理人)有限公司
2013,,,,58.22,25.44%,23.29亿,21.01%,0.0,,,,PB；PE,56.76亿,40.01%,134.79亿,,,香港中央结算(代理人)有限公司
2012,,,,46.41,30.33%,19.25亿,29.27%,0.0,,,,PB；PE,45.55亿,41.53%,82.47亿,,,香港中央结算(代理人)有限公司
2011,,,,35.58,29.04%,14.89亿,34.91%,0.0,,,,PB；PE,31.22亿,41.85%,64.51亿,,,香港中央结算(代理人)有限公司
2010,,,,27.57,31.67%,11.04亿,26.01%,0.0,,,,PB；PE,20.94亿,40.03%,50.28亿,,,香港中央结算(代理人)有限公司
