报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,6244.943,1200.9505,5.2,961.62,7.61%,257.26亿,1.90%,8.6,6.4942,26.0,0.6047,PB；PE,3072.30亿,26.88%,1.15万亿,0.123,,中国邮政集团有限公司
2026-03-31,6244.943,1200.9505,5.2,961.62,7.61%,257.26亿,1.90%,8.6,1.6235,26.0,0.6047,PB；PE,3072.30亿,26.88%,1.15万亿,0.123,,中国邮政集团有限公司
2025,5285.286,991.6108,5.33,3557.28,1.99%,874.04亿,1.07%,8.41,1.4858,7.3014,0.6338,PB；PE,2853.42亿,24.63%,1.16万亿,0.2616,,中国邮政集团有限公司
2024,5245.621,991.6108,5.29,3487.75,1.83%,864.79亿,0.24%,8.37,1.504,6.5309,0.632,PB；PE,2633.43亿,24.86%,1.03万亿,0.261,,中国邮政集团有限公司
2023,3547.544,923.8397,3.84,3425.07,2.25%,862.70亿,1.23%,7.92,1.0358,4.6265,0.4848,PB；PE,2493.04亿,25.23%,9566.16亿,0.2579,,中国邮政集团有限公司
2022,3575.26,923.8397,3.87,3349.56,5.08%,852.24亿,11.89%,7.41,1.0674,4.5529,0.5223,PB；PE,2251.96亿,25.48%,8258.14亿,0.2474,,中国邮政集团有限公司
2021,3540.027,869.7856,4.07,3187.62,11.38%,761.70亿,18.65%,6.89,1.1106,5.2179,0.5907,PB；PE,1988.40亿,24.01%,7955.49亿,0.2085,,中国邮政集团有限公司
2020,3155.02,862.0274,3.66,2862.02,3.39%,641.99亿,5.36%,6.25,1.1024,5.1549,0.5856,PB；PE,1805.72亿,22.47%,6729.30亿,0.2102,,中国邮政集团有限公司
2019,3706.718,862.0274,4.3,2768.09,6.06%,609.33亿,16.48%,5.75,1.3391,5.9722,0.7478,PB；PE,1574.31亿,22.05%,5448.79亿,,,中国邮政集团有限公司
2018,,,,2609.95,16.22%,523.11亿,9.71%,5.26,,,,PB；PE,1329.33亿,20.07%,4753.13亿,,,中国邮政集团有限公司
2017,,,,2245.72,18.94%,476.83亿,19.80%,4.73,,,,PB；PE,1063.11亿,21.24%,4313.57亿,,,中国邮政集团有限公司
2016,,,,1888.09,-0.47%,398.01亿,14.18%,4.28,,,,PB；PE,765.72亿,21.07%,3468.88亿,,,中国邮政集团有限公司
2015,,,,1897.07,9.42%,348.59亿,7.04%,0.0,,,,PB；PE,588.04亿,18.37%,2708.31亿,,,中国邮政集团有限公司
2014,,,,1733.79,19.81%,325.67亿,9.77%,0.0,,,,PB；PE,452.98亿,18.78%,1879.09亿,,,中国邮政集团有限公司
2013,,,,1447.14,14.24%,296.68亿,4.57%,0.0,,,,PB；PE,243.63亿,20.50%,1410.47亿,,,中国邮政集团有限公司
2012,,,,1266.79,16.34%,283.71亿,22.92%,0.0,,,,PB；PE,248.80亿,22.40%,1148.69亿,,,中国邮政集团有限公司
2011,,,,1088.87,False,230.80亿,False,0.0,,,,PB；PE,False,21.20%,892.79亿,,,中国邮政集团有限公司
