报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,856.426,96.4444,8.88,66.41,1.23%,35.90亿,0.73%,13.65,12.896,24.0,0.6505,PB；PE,432.00亿,55.25%,1361.18亿,,,上海国有资产经营有限公司
2026-03-31,856.426,96.4444,8.88,66.41,1.23%,35.90亿,0.73%,13.65,3.224,24.0,0.6505,PB；PE,432.00亿,55.25%,1361.18亿,,,上海国有资产经营有限公司
2025,895.968,96.4444,9.29,258.7,-2.89%,123.13亿,0.20%,13.26,3.4633,7.2578,0.7006,PB；PE,396.08亿,48.90%,1322.80亿,0.43400000000000005,,上海国有资产经营有限公司
2024,783.129,96.4444,8.12,266.41,0.86%,122.88亿,1.20%,12.84,2.9396,6.3937,0.6324,PB；PE,371.50亿,47.32%,1279.82亿,0.618,,上海国有资产经营有限公司
2023,481.258,96.4444,4.99,264.14,3.07%,121.42亿,10.64%,11.66,1.822,3.9603,0.428,PB；PE,362.75亿,47.28%,1163.58亿,0.34199999999999997,,上海国有资产经营有限公司
2022,464.862,96.4444,4.82,256.27,6.05%,109.74亿,13.16%,10.56,1.814,4.2281,0.4564,PB；PE,332.79亿,44.46%,1057.16亿,0.3,,上海国有资产经营有限公司
2021,509.226,96.4444,5.28,241.64,9.64%,96.98亿,18.84%,9.72,2.1074,4.8889,0.5432,PB；PE,298.09亿,41.58%,973.31亿,0.26,,上海国有资产经营有限公司
2020,,,,220.4,3.61%,81.61亿,-7.74%,8.9,,,,PB；PE,276.64亿,38.20%,804.72亿,,,上海国有资产经营有限公司
2019,,,,212.71,5.59%,88.46亿,21.04%,8.2,,,,PB；PE,249.39亿,42.02%,742.06亿,,,上海国有资产经营有限公司
2018,,,,201.45,12.41%,73.08亿,7.96%,7.33,,,,PB；PE,205.31亿,35.37%,648.02亿,,,上海国有资产经营有限公司
2017,,,,179.21,14.17%,67.69亿,14.68%,6.46,,,,PB；PE,176.73亿,37.18%,530.17亿,,,上海国有资产经营有限公司
2016,,,,156.97,2.70%,59.02亿,4.77%,9.24,,,,PB；PE,156.79亿,38.08%,476.94亿,,,上海国有资产经营有限公司
2015,,,,152.85,8.01%,56.34亿,16.20%,0.0,,,,PB；PE,138.86亿,38.00%,433.26亿,,,上海国有资产经营有限公司
2014,,,,141.51,26.48%,48.48亿,15.02%,0.0,,,,PB；PE,118.47亿,35.42%,381.44亿,,,上海国有资产经营有限公司
2013,,,,111.88,2.92%,42.15亿,13.18%,0.0,,,,PB；PE,94.16亿,38.59%,329.89亿,,,上海国有资产经营有限公司
2012,,,,108.71,20.42%,37.24亿,16.86%,0.0,,,,PB；PE,78.40亿,33.63%,296.00亿,,,上海国有资产经营有限公司
2011,,,,90.27,41.55%,31.87亿,43.58%,0.0,,,,PB；PE,55.55亿,35.47%,250.66亿,,,上海国有资产经营有限公司
2010,,,,63.77,26.85%,22.20亿,12.60%,0.0,,,,PB；PE,32.32亿,34.90%,232.26亿,,,上海国有资产经营有限公司
