报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,27991.241,2616.0038,10.7,2112.56,11.15%,862.91亿,3.53%,13.56,13.2499,32.4242,0.7891,PB；PE,2.02万亿,41.10%,3.77万亿,,,中央汇金投资有限责任公司
2026-03-31,27991.241,2616.0038,10.7,2112.56,11.15%,862.91亿,3.53%,13.56,3.3125,32.4242,0.7891,PB；PE,2.02万亿,41.10%,3.77万亿,,,中央汇金投资有限责任公司
2025,23201.019,2500.1098,9.28,7610.49,1.88%,3389.06亿,0.99%,13.24,3.0486,7.1385,0.7009,PB；PE,1.93万亿,44.65%,3.69万亿,0.5888,,中央汇金投资有限责任公司
2024,20575.904,2500.1098,8.23,7469.7,-2.54%,3355.77亿,0.88%,12.65,2.7546,6.2824,0.6506,PB；PE,1.78万亿,44.83%,3.34万亿,0.4,,中央汇金投资有限责任公司
2023,14450.635,2500.1098,5.78,7697.36,-1.79%,3326.53亿,2.44%,11.8,1.8773,4.4122,0.4898,PB；PE,1.67万亿,43.19%,3.17万亿,0.389,,中央汇金投资有限责任公司
2022,11725.515,2500.1098,4.69,7837.6,-0.22%,3247.27亿,7.34%,10.87,1.4961,3.6641,0.4315,PB；PE,1.53万亿,39.29%,2.88万亿,0.364,,中央汇金投资有限责任公司
2021,11475.504,2500.1098,4.59,8242.46,9.05%,3025.13亿,11.61%,9.95,1.3922,3.8571,0.4613,PB；PE,1.39万亿,36.87%,2.61万亿,0.32599999999999996,,中央汇金投资有限责任公司
2020,11675.513,2500.1098,4.67,7558.58,7.12%,2710.50亿,1.62%,9.06,1.5447,4.4057,0.5155,PB；PE,1.24万亿,36.19%,2.39万亿,0.32,,中央汇金投资有限责任公司
2019,12825.563,2500.1098,5.13,7056.29,7.09%,2667.33亿,4.74%,8.39,1.8176,4.8857,0.6114,PB；PE,1.12万亿,38.15%,2.24万亿,0.306,,中央汇金投资有限责任公司
2018,10850.477,2500.1098,4.34,6588.91,5.99%,2546.55亿,5.11%,7.65,1.6468,4.34,0.5673,PB；PE,9908.72亿,38.80%,1.99万亿,0.29100000000000004,,中央汇金投资有限责任公司
2017,,,5.0,6216.59,2.74%,2422.64亿,4.67%,6.86,,5.2083,0.7289,PB；PE,8869.21亿,39.19%,1.80万亿,0.27799999999999997,,中央汇金投资有限责任公司
2016,,,3.39,6050.9,-0.02%,2314.60亿,1.45%,6.28,,3.6848,0.5398,PB；PE,7868.60亿,38.41%,1.59万亿,0.274,,中央汇金投资有限责任公司
2015,,,3.41,6051.97,6.09%,2281.45亿,0.14%,5.74,,3.7473,0.5941,PB；PE,6721.54亿,37.82%,1.45万亿,0.301,,中央汇金投资有限责任公司
2014,,,3.8,5704.7,12.16%,2278.30亿,6.14%,4.97,,4.1758,0.7646,PB；PE,5587.05亿,40.01%,1.25万亿,0.3,,中央汇金投资有限责任公司
2013,,,2.17,5086.08,10.39%,2146.57亿,11.12%,4.26,,2.5233,0.5094,PB；PE,4440.84亿,42.30%,1.07万亿,0.268,,中央汇金投资有限责任公司
2012,,,2.27,4607.46,16.03%,1931.79亿,14.13%,3.77,,2.9481,0.6021,PB；PE,3910.34亿,42.02%,9495.45亿,0.23650000000000002,,中央汇金投资有限责任公司
2011,,,2.12,3970.9,22.75%,1692.58亿,25.52%,3.24,,3.1176,0.6543,PB；PE,2892.66亿,42.67%,8166.61亿,0.2122,,中央汇金投资有限责任公司
2010,,,2.05,3234.89,21.07%,1348.44亿,26.31%,2.8,,3.6607,0.7321,PB；PE,1959.50亿,41.74%,7009.05亿,0.202,,中央汇金投资有限责任公司
