报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,23.983,0.3894,61.59,15.3314,0.391076,4.99%,1160.42万,4.86%,11.00,3.05亿,1.43亿,29.99%,4.30亿
2025,23.325,0.3894,59.9,15.0484,1.55,5.22%,4332.29万,3.69%,10.67,2.98亿,1.32亿,27.42%,4.17亿
2024,18.516,0.3894,47.55,12.5108,1.48,29.23%,4178.20万,-1.64%,10.56,2.94亿,1.27亿,28.00%,4.14亿
2023,11.075,0.3894,28.44,9.7149,1.14,0.90%,4247.83万,1.38%,10.49,2.88亿,1.24亿,37.12%,4.11亿
2022,6.114,0.3894,15.7,5.4106,1.13,-4.80%,4189.91万,-13.36%,10.40,2.85亿,1.22亿,37.04%,4.05亿
2021,,,,,1.19,24.94%,4835.95万,37.91%,6.04,7436.10万,8289.23万,40.69%,1.87亿
2020,,,,,0.951002,36.59%,3506.66万,12.21%,4.50,4925.59万,5086.68万,36.85%,1.35亿
2019,,,,,0.696237,5.55%,3125.02万,0.02%,3.83,7255.42万,3304.26万,44.70%,1.15亿
2018,,,,,0.659646,-2.94%,3124.28万,-9.74%,3.45,5474.81万,2490.61万,46.89%,1.04亿
2017,,,,,0.679657,8.33%,3461.51万,-21.47%,3.08,8283.41万,1688.77万,50.93%,9240.36万
2016,,,,,0.627381,8.16%,4407.81万,35.69%,9.38,77.04万,2073.68万,70.26%,6566.47万
2015,,,,,0.580028,14400.70%,3248.40万,1652.42%,6.80,3978.88万,706.55万,56.00%,4758.46万
2014,,,,,0.004,False,-209.25万,False,-0.05,47.03万,-209.25万,-523.12%,-9.25万
