报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,38.843,1.414,27.47,3.3993,8.57,27.57%,9910.10万,29.51%,9.48,2.51亿,4.28亿,11.64%,13.54亿,2.15亿
2024,35.025,1.414,24.77,3.6258,9.66,9.30%,1.12亿,10.65%,9.18,4.21亿,3.84亿,11.71%,13.12亿,2.09亿
2023,34.784,1.414,24.6,3.9393,8.83,3.99%,1.01亿,34.02%,8.73,4.96亿,3.31亿,11.64%,12.49亿,1.90亿
2022,27.191,1.414,19.23,3.1989,8.5,-0.71%,7569.89万,-19.83%,8.26,4.61亿,2.72亿,9.08%,11.83亿,2.01亿
2021,,,,,8.56,16.89%,9441.92万,-8.72%,6.19,1.39亿,2.50亿,11.21%,6.69亿,1.93亿
2020,,,,,7.32,-1.69%,1.03亿,20.68%,5.71,1.48亿,2.01亿,14.58%,6.15亿,1.29亿
2019,,,,,7.45,15.36%,8571.83万,92.65%,4.41,1.55亿,1.34亿,11.99%,4.57亿,1.49亿
2018,,,,,6.45,False,4449.51万,False,4.33,1.28亿,6929.38万,7.38%,3.37亿,1.29亿
