报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,416.422,27.78,14.99,12.8104,24.38,26.95%,8.54亿,29.28%,6.73,518.99亿,39.93亿,35.03%,187.08亿
2024,309.191,27.78,11.13,10.7061,28.88,-1.79%,9.06亿,0.64%,6.47,446.83亿,32.83亿,31.39%,179.89亿
2023,283.634,27.78,10.21,9.6474,29.4,-0.64%,9.01亿,11.51%,6.20,405.77亿,28.93亿,30.66%,172.23亿
2022,290.579,27.78,10.46,9.8202,29.59,-11.23%,8.08亿,-16.00%,5.90,382.18亿,24.41亿,27.40%,164.12亿
2021,368.918,27.78,13.28,11.0653,33.34,2.75%,9.62亿,8.88%,5.65,327.29亿,20.90亿,28.89%,157.09亿
2020,754.505,27.78,27.16,23.2585,32.44,11.57%,8.83亿,10.64%,5.40,238.07亿,17.69亿,27.28%,150.06亿
2019,,,,,29.08,5.54%,7.98亿,13.23%,5.09,220.32亿,13.39亿,27.52%,127.38亿
2018,,,,,27.55,-10.19%,7.05亿,-33.94%,4.82,174.05亿,9.64亿,25.64%,120.46亿
2017,,,,,30.68,8.37%,10.67亿,0.13%,4.63,162.51亿,7.92亿,34.85%,115.74亿
2016,,,,,28.3,-42.79%,10.66亿,-48.69%,4.29,127.13亿,38.56亿,37.65%,107.18亿
2015,,,,,49.48,91.91%,20.77亿,113.75%,4.00,228.55亿,35.44亿,41.98%,100.09亿
2014,,,,,25.78,99.98%,9.72亿,206.34%,False,125.01亿,20.98亿,37.69%,79.86亿
2013,,,,,12.89,-8.81%,3.17亿,-11.72%,False,93.22亿,20.30亿,24.60%,74.28亿
2012,,,,,14.14,0.18%,3.59亿,-2.73%,False,102.28亿,18.19亿,25.41%,48.67亿
2011,,,,,14.11,-40.85%,3.69亿,-56.73%,False,106.41亿,15.85亿,26.18%,45.26亿
2010,,,,,23.86,18.62%,8.54亿,12.47%,False,109.29亿,13.71亿,35.79%,41.54亿
