报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,641.281,82.321,7.79,5.2958,90.82,67.17%,37.99亿,93.31%,6.12,1322.63亿,184.06亿,40.87%,510.44亿
2024,675.032,82.321,8.2,8.7462,77.18,8.42%,22.07亿,2.55%,5.85,1187.79亿,155.95亿,28.07%,489.78亿
2023,647.866,82.321,7.87,9.1005,71.19,-8.46%,21.52亿,0.21%,5.50,1081.08亿,143.21亿,31.58%,460.91亿
2022,512.037,82.321,6.22,6.584,77.77,-9.79%,21.48亿,17.88%,5.23,832.64亿,125.15亿,28.32%,438.76亿
2021,624.816,82.321,7.59,7.2476,86.21,14.31%,18.22亿,66.19%,5.02,742.55亿,108.88亿,21.72%,421.44亿
2020,825.68,82.321,10.03,10.9478,75.42,14.36%,10.96亿,8.82%,4.81,563.35亿,93.72亿,15.89%,403.57亿
2019,690.673,82.321,8.39,10.4727,65.95,15.24%,10.08亿,52.35%,4.68,622.78亿,84.68亿,14.90%,394.80亿
2018,421.484,82.321,5.12,7.3647,57.23,-4.01%,6.61亿,-54.48%,4.59,620.97亿,81.74亿,11.89%,386.66亿
2017,,,6.63,,59.62,-23.28%,14.53亿,-43.45%,4.55,621.56亿,80.46亿,24.40%,381.96亿
2016,,,7.31,,77.6,-28.91%,25.69亿,-36.78%,4.30,667.86亿,69.99亿,33.28%,361.97亿
2015,,,9.13,,109.15,122.77%,40.64亿,126.28%,4.25,727.92亿,58.79亿,37.55%,355.25亿
2014,,,13.39,,49.0,41.89%,17.96亿,61.49%,3.69,276.42亿,31.88亿,36.74%,308.05亿
2013,,,5.62,,34.53,47.60%,11.12亿,97.82%,2.53,144.99亿,18.90亿,31.94%,159.20亿
2012,,,4.17,,23.32,36.43%,5.62亿,118.83%,2.37,137.50亿,13.42亿,23.99%,148.17亿
2011,,,3.89,,17.09,-44.65%,2.57亿,-79.42%,2.33,177.27亿,13.55亿,14.70%,145.77亿
2010,,,,,30.88,-6.77%,12.48亿,-9.91%,1.95,194.02亿,11.67亿,41.21%,89.64亿
