报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,3622.745,176.2893,20.55,5.9205,458.92,101.60%,220.74亿,131.80%,17.82,1.10万亿,774.76亿,50.25%,3389.17亿
2024,1624.931,89.0373,18.25,4.8253,336.75,20.08%,130.24亿,38.94%,17.50,6194.93亿,632.80亿,31.22%,1774.74亿
2023,1250.207,89.0461,14.04,3.4592,361.41,1.89%,93.74亿,-18.55%,16.51,5344.50亿,585.06亿,27.35%,1733.78亿
2022,1099.974,89.0667,12.35,3.1011,354.71,-17.16%,115.09亿,-23.34%,16.03,5104.67亿,566.83亿,32.76%,1638.45亿
2021,1382.591,89.0845,15.52,3.2291,428.17,21.64%,150.13亿,34.99%,15.40,4545.64亿,541.32亿,35.74%,1506.37亿
2020,1311.324,89.0845,14.72,3.7254,352.0,17.53%,111.22亿,28.77%,15.44,3814.95亿,465.04亿,33.34%,1462.38亿
2019,1354.008,89.0795,15.2,4.521,299.49,31.83%,86.37亿,28.76%,13.63,3096.73亿,413.36亿,30.22%,1460.94亿
2018,1079.657,87.1394,12.39,4.7522,227.19,-4.56%,67.08亿,-32.11%,14.17,2258.28亿,380.70亿,31.12%,1336.73亿
2017,,,14.57,,238.04,-7.61%,98.82亿,0.41%,14.13,1847.34亿,383.47亿,44.04%,1336.95亿
2016,,,14.32,,257.65,-31.47%,98.41亿,-37.32%,11.80,1975.53亿,345.57亿,44.06%,1107.52亿
2015,,,17.89,,375.97,110.25%,157.00亿,132.32%,11.19,2534.85亿,319.38亿,44.41%,1016.37亿
2014,,,,,178.82,98.49%,67.58亿,134.73%,6.89,1618.37亿,222.59亿,40.11%,472.99亿
2013,,,,,90.09,15.52%,28.79亿,15.62%,5.58,823.24亿,176.35亿,33.61%,350.02亿
2012,,,,,77.99,4.75%,24.90亿,-8.08%,5.20,700.08亿,156.17亿,32.86%,325.53亿
2011,,,,,74.45,-14.96%,27.09亿,-32.80%,5.84,688.23亿,138.63亿,37.53%,282.25亿
2010,,,,,87.55,-29.10%,40.31亿,-36.03%,False,701.93亿,123.19亿,46.46%,267.47亿
