报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,574.335,32.43,17.71,14.268,30.19,28.46%,13.54亿,52.89%,6.28,734.84亿,81.66亿,45.75%,272.21亿
2024,483.856,32.43,14.92,14.6979,32.92,-5.51%,13.65亿,-6.95%,5.95,566.01亿,74.74亿,42.98%,244.41亿
2023,577.903,32.43,17.82,16.5921,34.83,1.33%,14.67亿,19.52%,5.48,459.07亿,68.11亿,44.28%,183.40亿
2022,,,,,34.38,-9.61%,12.27亿,4.75%,4.69,473.60亿,59.15亿,38.35%,141.81亿
2021,,,,,38.03,20.27%,11.72亿,42.95%,4.26,432.77亿,51.43亿,31.86%,128.43亿
2020,,,,,31.62,42.26%,8.20亿,290.20%,3.86,244.37亿,43.26亿,27.06%,116.34亿
2019,,,,,22.23,34.01%,2.10亿,200.28%,3.57,216.60亿,37.62亿,8.38%,95.24亿
2018,,,,,16.59,-16.87%,6995.74万,-66.43%,3.67,159.33亿,36.02亿,5.43%,97.90亿
2017,,,,,19.95,-11.03%,2.08亿,-52.13%,3.63,258.24亿,36.20亿,11.83%,96.99亿
2016,,,,,22.43,-57.16%,4.35亿,-79.09%,False,283.36亿,35.39亿,19.45%,89.36亿
2015,,,,,52.35,69.01%,20.82亿,127.85%,False,329.01亿,35.70亿,39.69%,90.37亿
2014,,,,,30.97,75.16%,9.14亿,181.46%,False,184.38亿,21.73亿,31.04%,69.77亿
2013,,,,,16.61,22.40%,3.25亿,50.16%,False,111.08亿,15.69亿,19.43%,57.70亿
2012,,,,,13.57,10.56%,2.16亿,6.89%,False,93.29亿,13.48亿,15.93%,54.40亿
2011,,,,,12.28,-21.05%,2.02亿,-50.03%,False,105.38亿,13.89亿,16.48%,54.28亿
2010,,,,,15.55,-12.79%,4.05亿,-37.57%,False,134.20亿,12.43亿,26.03%,32.71亿
