报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,1674.808,76.0585,22.02,4.8009,261.64,41.04%,109.34亿,61.64%,16.69,5448.17亿,487.87亿,45.40%,1595.45亿
2024,1201.846,76.2109,15.77,4.5487,264.22,16.74%,96.37亿,38.11%,15.88,4122.20亿,424.35亿,38.77%,1530.85亿
2023,1027.323,76.2109,13.48,4.4091,233.0,-7.29%,69.78亿,-12.00%,14.86,3348.90亿,401.49亿,33.75%,1406.76亿
2022,1090.578,76.2109,14.31,4.3394,251.32,-26.62%,79.29亿,-26.95%,14.32,2869.77亿,392.66亿,35.41%,1247.93亿
2021,1681.212,76.2109,22.06,4.9086,342.5,17.48%,108.54亿,8.13%,13.86,2437.85亿,381.40亿,35.20%,1108.01亿
2020,1079.146,76.2109,14.16,3.7017,291.53,27.81%,100.38亿,33.15%,12.88,1705.09亿,339.53亿,36.95%,1022.74亿
2019,983.883,76.2109,12.91,4.3134,228.1,49.37%,75.39亿,75.32%,11.97,1618.12亿,296.56亿,35.56%,941.37亿
2018,810.884,76.2109,10.64,5.3103,152.7,-29.43%,43.00亿,-49.97%,11.16,1487.21亿,260.35亿,30.33%,886.29亿
2017,,,13.57,,216.39,4.16%,85.95亿,7.04%,11.13,1201.50亿,257.68亿,42.10%,886.26亿
2016,,,13.43,,207.14,-38.07%,80.30亿,-39.17%,10.30,1422.15亿,219.88亿,40.60%,813.53亿
2015,,,14.8,,334.47,149.70%,132.01亿,162.83%,10.17,1904.85亿,222.33亿,40.70%,798.21亿
2014,,,19.61,,133.95,63.20%,50.23亿,78.58%,6.69,946.77亿,138.48亿,38.41%,413.77亿
2013,,,9.24,,82.08,17.73%,28.13亿,28.34%,5.85,556.14亿,114.55亿,34.27%,347.88亿
2012,,,11.27,,69.71,17.25%,21.91亿,6.19%,5.58,586.28亿,102.44亿,31.42%,330.61亿
2011,,,7.54,,59.46,-41.82%,20.64亿,-48.75%,10.69,514.49亿,101.36亿,34.62%,316.68亿
2010,,,18.81,,102.19,-2.40%,40.27亿,-14.13%,7.74,594.65亿,99.15亿,41.08%,194.31亿
