报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,218.13,23.4045,9.32,4.2372,38.61,38.83%,10.67亿,125.21%,8.52,654.25亿,72.05亿,28.48%,204.31亿
2024,181.151,23.4045,7.74,4.2089,43.04,0.46%,8.74亿,30.70%,8.17,591.37亿,64.51亿,14.27%,195.86亿
2023,159.619,23.4045,6.82,2.4652,64.75,27.53%,6.68亿,189.44%,7.90,576.78亿,62.04亿,10.74%,188.99亿
2022,144.172,23.4045,6.16,2.8397,50.77,-32.10%,2.31亿,-85.78%,7.71,537.37亿,59.80亿,5.37%,186.57亿
2021,191.449,23.4045,8.18,2.5602,74.78,13.14%,16.24亿,21.80%,7.71,533.63亿,61.31亿,22.81%,186.88亿
2020,211.811,23.4045,9.05,3.2044,66.1,-17.06%,13.33亿,32.40%,7.12,449.49亿,52.04亿,22.20%,174.13亿
2019,198.236,23.4045,8.47,2.4876,79.69,17.53%,10.07亿,234.19%,6.66,468.33亿,45.53亿,13.09%,161.50亿
2018,132.001,23.4045,5.64,1.9469,67.8,37.40%,3.01亿,-54.82%,6.42,316.14亿,49.03亿,4.60%,161.24亿
2017,,,7.79,,49.34,9.91%,6.67亿,-49.28%,6.70,191.75亿,50.57亿,14.26%,168.06亿
2016,,,10.87,,44.82,-33.56%,13.15亿,-50.00%,6.66,330.56亿,47.55亿,30.39%,166.01亿
2015,,,14.29,,67.46,118.24%,26.30亿,148.11%,5.82,387.70亿,42.31亿,39.91%,118.28亿
2014,,,16.28,,30.91,74.92%,10.60亿,120.81%,4.43,151.20亿,24.72亿,34.77%,88.24亿
2013,,,6.41,,17.67,47.22%,4.80亿,218.77%,7.60,98.53亿,17.94亿,27.34%,75.42亿
2012,,,6.69,,12.0,48.25%,1.51亿,199.37%,7.36,102.03亿,16.45亿,12.60%,72.13亿
2011,,,4.97,,8.1,-52.37%,-1.52亿,-128.75%,4.83,96.97亿,15.35亿,-18.65%,30.93亿
2010,,,8.85,,17.0,-14.71%,5.27亿,-42.26%,5.42,131.19亿,18.14亿,31.03%,34.69亿
