报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,640.79,86.3599,7.42,5.1805,92.77,39.96%,25.21亿,90.98%,6.50,1605.17亿,133.25亿,34.47%,672.89亿
2024,529.386,86.3599,6.13,5.4107,97.84,16.25%,21.64亿,10.16%,6.35,1580.46亿,118.53亿,23.45%,629.19亿
2023,484.479,86.3599,5.61,4.5589,106.27,-0.30%,19.64亿,-25.51%,6.18,1522.52亿,118.41亿,25.10%,609.71亿
2022,464.616,86.3599,5.38,4.3585,106.6,-43.81%,26.37亿,-44.40%,6.05,1429.79亿,117.54亿,31.36%,568.37亿
2021,576.583,66.9667,8.61,3.0391,189.72,7.92%,47.43亿,18.48%,6.15,1269.56亿,115.48亿,30.86%,453.55亿
2020,498.232,66.9667,7.44,2.8341,175.8,23.37%,40.03亿,127.13%,5.64,984.99亿,92.79亿,26.08%,408.35亿
2019,403.14,66.9667,6.02,2.8291,142.5,119.24%,17.63亿,1202.23%,5.14,961.87亿,69.79亿,13.44%,370.44亿
2018,261.84,66.9667,3.91,4.0289,64.99,-26.31%,1.35亿,-94.08%,4.85,677.88亿,68.45亿,8.85%,353.08亿
2017,,,5.94,,88.2,16.21%,22.85亿,11.66%,4.99,644.93亿,80.27亿,29.88%,358.78亿
2016,,,6.13,,75.89,-34.24%,20.46亿,-50.89%,4.73,639.29亿,73.19亿,30.88%,342.98亿
2015,,,8.18,,115.41,105.75%,41.67亿,133.90%,3.56,546.03亿,63.99亿,38.98%,192.88亿
2014,,,11.21,,56.09,80.97%,17.82亿,166.00%,2.82,317.42亿,35.16亿,34.69%,152.26亿
2013,,,3.47,,31.0,22.21%,6.70亿,40.60%,5.00,192.66亿,23.98亿,25.25%,134.33亿
2012,,,4.46,,25.39,9.69%,4.76亿,9.42%,3.96,166.37亿,21.69亿,22.60%,90.72亿
2011,,,3.35,,23.15,-15.43%,4.35亿,-44.70%,3.83,158.11亿,20.47亿,23.59%,87.65亿
2010,,,5.77,,27.38,-11.26%,7.87亿,-31.86%,3.82,191.35亿,20.66亿,33.71%,87.47亿
