报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,325.867,19.3508,16.84,13.1681,18.56,46.84%,2.42亿,191.21%,5.84,231.02亿,-1.27亿,19632.58%,113.07亿
2024,253.302,19.3508,13.09,14.4993,17.47,7.11%,1.67亿,658.34%,5.75,209.80亿,-3.70亿,11004.33%,111.27亿
2023,180.349,19.3508,9.32,9.6237,18.74,-1.08%,-2998.41万,93.13%,5.65,139.80亿,-4.69亿,-2123.17%,109.31亿
2022,143.389,19.3508,7.41,7.5707,18.94,-19.33%,-4.37亿,-668.02%,5.66,147.79亿,-3.61亿,-57923.37%,109.52亿
2021,185.768,19.3508,9.6,7.9118,23.48,6.43%,7688.86万,121.01%,5.88,154.95亿,9441.41万,14556.74%,113.73亿
2020,266.073,19.3508,13.75,12.0613,22.06,32.12%,-3.66亿,-573.14%,5.84,157.33亿,9583.96万,-8148.43%,112.97亿
2019,245.949,19.3508,12.71,14.7275,16.7,37.79%,7732.96万,118.02%,6.06,174.81亿,4.96亿,5696.34%,117.27亿
2018,195.056,19.3508,10.08,16.0937,12.12,-35.32%,-4.29亿,-168.75%,6.02,174.90亿,7.64亿,-23125.55%,116.58亿
2017,,,14.94,,18.73,14.10%,6.24亿,25.27%,8.21,86.07亿,12.05亿,98.07%,123.07亿
2016,,,16.12,,16.42,56.44%,4.98亿,1803.97%,12.35,101.71亿,6.01亿,60.59%,115.73亿
2015,,,17.57,,10.49,-29.90%,2616.35万,-71.98%,3.86,6412.55万,1.11亿,2.48%,7.78亿
2014,,,6.53,,14.97,0.69%,9335.92万,3.02%,4.13,9389.24万,1.65亿,6.24%,8.26亿
2013,,,5.57,,14.87,16.68%,9062.50万,38.25%,3.97,1.41亿,1.42亿,6.10%,7.93亿
2012,,,3.16,,12.74,-17.80%,6555.39万,-8.93%,3.76,1.88亿,1.09亿,5.14%,7.52亿
2011,,,,,15.5,17.29%,7198.57万,-1.51%,2.61,1.44亿,8869.84万,4.64%,3.92亿
2010,,,,,13.22,68.83%,7309.22万,10.28%,2.23,1.10亿,3797.09万,5.53%,3.35亿
