报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,413.91,27.0,15.33,25.8694,12.0,18.08%,4.40亿,45.66%,2.67,141.01亿,24.03亿,36.68%,71.98亿
2024,412.83,27.0,15.29,28.7686,14.35,41.35%,3.53亿,1014.54%,2.47,123.54亿,20.06亿,24.61%,66.60亿
2023,406.35,27.0,15.05,40.0345,10.15,-27.38%,3168.61万,-93.18%,2.35,107.35亿,17.80亿,3.12%,63.45亿
2022,353.43,27.0,13.09,25.2811,13.98,0.17%,4.65亿,-3.94%,2.36,108.71亿,18.96亿,33.25%,63.68亿
2021,364.77,27.0,13.51,26.1484,13.95,-6.34%,4.84亿,-40.46%,2.32,101.75亿,16.77亿,34.67%,62.64亿
2020,399.33,27.0,14.79,26.8007,14.9,47.42%,8.12亿,83.96%,2.23,95.28亿,15.48亿,54.54%,60.20亿
2019,394.47,27.0,14.61,39.0178,10.11,0.98%,4.42亿,28.14%,1.98,117.82亿,10.86亿,43.66%,53.38亿
2018,,,,,10.01,-6.22%,3.45亿,-25.58%,1.68,61.45亿,8.74亿,34.34%,40.86亿
2017,,,,,10.67,-19.05%,4.63亿,-21.38%,1.53,81.04亿,6.32亿,43.30%,37.42亿
2016,,,,,13.18,-21.00%,5.89亿,-27.80%,1.39,69.95亿,4.20亿,44.69%,33.87亿
2015,,,,,16.69,136.28%,8.16亿,333.82%,1.35,76.58亿,1.95亿,48.90%,28.04亿
2014,,,,,7.06,9.73%,1.88亿,144.09%,1.33,42.31亿,1.32亿,26.63%,16.79亿
2013,,,,,6.44,1.35%,7705.99万,53.84%,1.45,31.48亿,1.39亿,11.97%,11.68亿
2012,,,,,6.35,14.65%,5009.15万,153.77%,False,35.76亿,9215.12万,7.89%,11.01亿
2011,,,,,5.54,-19.95%,1973.93万,-81.13%,False,33.60亿,5708.71万,3.56%,10.51亿
2010,,,,,6.92,-20.47%,1.05亿,-55.83%,False,48.27亿,2.93亿,15.12%,12.80亿
