报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,1319.605,250.3994,5.27,5.0757,194.99,55.22%,80.16亿,108.22%,4.44,4161.58亿,403.86亿,45.09%,1395.42亿
2024,1319.605,250.3994,5.27,7.0882,186.17,15.04%,52.11亿,13.12%,4.18,4036.61亿,337.41亿,25.27%,1333.49亿
2023,1079.221,250.3994,4.31,5.0194,215.01,4.32%,46.06亿,65.16%,4.00,3474.28亿,322.05亿,25.47%,1287.94亿
2022,961.534,250.3994,3.84,4.6654,206.1,-39.93%,27.89亿,-70.32%,3.80,3922.38亿,301.49亿,15.23%,1166.80亿
2021,1204.421,250.3994,4.81,3.5107,343.07,16.66%,93.98亿,21.02%,3.80,3811.57亿,313.58亿,27.79%,1070.55亿
2020,1214.437,250.3994,4.85,4.1295,294.09,19.58%,77.66亿,35.41%,3.53,2633.62亿,271.84亿,26.78%,900.91亿
2019,1161.853,250.3994,4.64,4.7243,245.93,60.98%,57.35亿,37.86%,3.32,2027.72亿,234.64亿,23.60%,848.31亿
2018,822.562,225.3594,3.65,5.3843,152.77,14.29%,41.60亿,-9.55%,3.08,1677.66亿,201.42亿,27.80%,711.96亿
2017,,,4.76,,133.68,-9.15%,46.00亿,-14.96%,2.75,1237.01亿,181.73亿,35.35%,570.06亿
2016,,,5.45,,147.14,-51.68%,54.09亿,-55.50%,2.61,1330.67亿,166.53亿,37.56%,540.73亿
2015,,,6.8,,304.63,115.24%,121.54亿,159.60%,3.38,1981.89亿,202.44亿,40.80%,518.66亿
2014,,,,,141.53,44.37%,46.82亿,148.56%,3.21,968.68亿,106.43亿,40.48%,395.96亿
2013,,,,,59.96,23.79%,18.84亿,33.80%,2.24,356.41亿,68.51亿,32.07%,193.80亿
2012,,,,,48.25,-2.13%,14.08亿,-15.77%,False,419.95亿,62.02亿,29.64%,181.35亿
2011,,,,,49.3,-29.97%,16.71亿,-42.89%,False,429.25亿,51.98亿,35.05%,167.72亿
2010,,,,,70.4,-12.93%,29.27亿,-26.26%,False,555.21亿,46.85亿,43.47%,160.69亿
