报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,288.705,42.024,6.87,7.2539,29.85,24.32%,7.71亿,20.21%,4.06,290.58亿,33.01亿,27.80%,176.30亿
2024,347.118,42.024,8.26,9.8278,35.32,41.91%,9.04亿,173.28%,3.88,305.95亿,29.12亿,27.28%,168.12亿
2023,239.537,42.024,5.7,9.6238,24.89,-4.70%,3.31亿,-17.50%,3.53,264.74亿,24.96亿,15.57%,152.93亿
2022,230.712,42.024,5.49,8.8362,26.11,-19.77%,4.01亿,-46.22%,3.48,308.84亿,24.91亿,17.81%,152.61亿
2021,297.95,42.024,7.09,9.1536,32.55,4.32%,7.45亿,-8.29%,3.43,258.23亿,24.44亿,25.31%,149.89亿
2020,402.59,42.024,9.58,12.9035,31.2,20.77%,8.13亿,58.40%,3.31,238.36亿,21.01亿,28.18%,144.35亿
2019,278.091,35.024,7.94,10.7662,25.83,45.96%,5.13亿,312.58%,2.58,231.80亿,16.15亿,22.57%,95.14亿
2018,181.775,35.024,5.19,10.2698,17.7,-9.40%,1.24亿,-70.59%,2.51,173.82亿,16.44亿,7.44%,91.64亿
2017,,,9.35,,19.54,-3.75%,4.23亿,-24.73%,2.53,147.55亿,16.74亿,22.11%,91.90亿
2016,,,20.69,,20.28,-32.64%,5.62亿,-44.99%,3.93,137.63亿,14.62亿,29.08%,91.21亿
2015,,,,,30.1,61.93%,10.21亿,100.97%,3.12,167.61亿,12.33亿,34.47%,65.75亿
2014,,,,,18.59,80.18%,5.08亿,212.19%,2.61,114.18亿,5.97亿,27.84%,54.69亿
2013,,,,,10.32,-0.65%,1.63亿,-22.50%,2.31,64.41亿,2.64亿,16.31%,48.19亿
2012,,,,,10.38,16.18%,2.10亿,15.67%,2.26,72.05亿,1.89亿,20.24%,47.03亿
2011,,,,,8.94,-10.32%,1.82亿,-47.91%,2.15,71.27亿,4101.87万,18.91%,44.81亿
2010,,,,,9.97,-0.07%,3.49亿,-17.28%,False,59.76亿,5.66亿,34.97%,31.03亿
