报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,317.197,46.7842,6.78,5.3787,44.23,67.32%,18.83亿,64.71%,4.99,516.63亿,66.33亿,42.72%,237.54亿
2024,278.105,46.9772,5.92,7.1936,38.66,24.40%,14.86亿,16.56%,4.71,577.25亿,49.58亿,32.77%,225.22亿
2023,218.911,46.9766,4.66,5.9943,36.52,15.60%,12.74亿,7.78%,4.40,406.98亿,44.73亿,35.37%,211.49亿
2022,201.53,46.9766,4.29,6.3796,31.59,-9.31%,11.82亿,-16.97%,4.20,406.92亿,40.82亿,36.43%,202.11亿
2021,232.534,46.9766,4.95,6.6763,34.83,3.78%,14.24亿,12.32%,4.15,395.15亿,37.29亿,39.84%,196.44亿
2020,235.368,36.2104,6.5,7.0113,33.57,3.87%,12.68亿,14.39%,3.90,323.56亿,31.39亿,37.70%,148.83亿
2019,212.191,36.21,5.86,6.5653,32.32,83.48%,11.08亿,100.16%,3.66,263.05亿,26.09亿,37.57%,136.38亿
2018,135.788,36.21,3.75,7.7108,17.61,-8.15%,5.54亿,-14.77%,3.46,243.29亿,21.71亿,32.81%,128.30亿
2017,,,5.72,,19.18,10.65%,6.50亿,7.93%,3.39,179.61亿,19.76亿,34.01%,125.74亿
2016,,,9.81,,17.33,-54.55%,6.02亿,-67.72%,3.27,186.18亿,17.50亿,34.85%,120.69亿
2015,,,,,38.16,125.86%,18.65亿,171.83%,2.38,221.54亿,17.70亿,48.87%,67.82亿
2014,,,,,16.9,79.49%,6.86亿,266.53%,1.76,129.20亿,6.55亿,40.71%,49.99亿
2013,,,,,9.41,13.14%,1.87亿,11.60%,1.53,63.03亿,1.96亿,20.12%,43.50亿
2012,,,,,8.32,31.89%,1.68亿,103.69%,1.46,68.47亿,5851.77万,20.75%,41.42亿
2011,,,,,6.31,-49.56%,8234.54万,-85.05%,1.41,84.24亿,2.66亿,13.91%,34.42亿
2010,,,,,12.51,-19.97%,5.51亿,-31.77%,False,86.41亿,4.44亿,44.42%,36.06亿
