报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,450.164,49.687,9.06,4.6415,72.74,35.45%,29.35亿,60.23%,8.51,996.58亿,75.53亿,40.55%,428.35亿
2024,371.162,49.687,7.47,5.2491,70.71,2.24%,23.66亿,18.19%,8.40,784.70亿,58.90亿,20.71%,422.59亿
2023,337.005,50.075,6.73,2.9874,112.81,7.58%,20.02亿,15.38%,7.93,806.44亿,57.09亿,17.84%,402.92亿
2022,294.441,50.075,5.88,2.8079,104.86,13.41%,17.35亿,-27.45%,7.59,602.90亿,51.24亿,16.59%,385.78亿
2021,390.084,50.075,7.79,4.2194,92.45,25.68%,23.92亿,40.10%,7.41,775.65亿,48.43亿,26.09%,374.68亿
2020,315.874,38.8052,8.14,4.2941,73.56,43.39%,17.07亿,64.61%,7.18,576.66亿,37.91亿,23.29%,282.10亿
2019,228.6,30.0,7.62,4.4561,51.3,23.27%,10.37亿,189.38%,6.99,553.41亿,30.82亿,19.09%,212.56亿
2018,152.1,30.0,5.07,3.6545,41.62,0.43%,3.58亿,-54.52%,6.72,395.79亿,29.95亿,8.35%,204.26亿
2017,,,7.22,,41.44,-10.79%,7.88亿,-47.40%,6.94,438.30亿,32.56亿,19.56%,210.56亿
2016,,,9.72,,46.45,-31.99%,14.98亿,-44.68%,6.74,416.10亿,31.89亿,32.68%,204.89亿
2015,,,11.5,,68.3,110.74%,27.08亿,142.82%,6.13,376.77亿,30.46亿,40.02%,167.52亿
2014,,,15.95,,32.41,101.34%,11.15亿,184.43%,5.21,275.66亿,14.85亿,34.70%,142.33亿
2013,,,6.07,,16.1,14.33%,3.92亿,39.19%,3.91,102.50亿,8.17亿,24.15%,78.97亿
2012,,,5.65,,13.98,7.74%,2.82亿,21.70%,3.79,93.63亿,6.35亿,20.61%,76.39亿
2011,,,4.57,,12.98,-28.19%,2.32亿,-59.79%,3.69,115.80亿,5.93亿,18.16%,74.48亿
2010,,,,,18.07,-3.49%,5.76亿,-21.66%,2.79,171.15亿,5.82亿,32.12%,42.46亿
