报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,1447.103,86.9653,16.64,5.949,182.44,27.76%,88.71亿,24.08%,13.53,4107.15亿,419.47亿,48.64%,1347.13亿
2024,1620.164,86.9653,18.63,7.7553,208.91,5.40%,103.86亿,18.51%,13.24,4097.86亿,383.45亿,49.73%,1302.52亿
2023,1125.331,86.9653,12.94,5.6775,198.21,3.13%,87.64亿,8.60%,12.30,3887.60亿,334.94亿,44.24%,1220.37亿
2022,1082.718,86.9653,12.45,5.6336,192.19,-34.69%,80.70亿,-30.70%,11.52,3551.53亿,287.79亿,42.04%,1152.42亿
2021,1381.879,86.9653,15.89,4.6956,294.29,21.22%,116.45亿,22.69%,11.21,3532.83亿,277.33亿,39.61%,1125.90亿
2020,1781.049,86.9653,20.48,7.3361,242.78,29.77%,94.92亿,30.34%,10.43,2564.34亿,229.19亿,39.15%,1058.25亿
2019,878.963,66.9941,13.12,4.6983,187.08,65.24%,72.82亿,64.57%,10.46,2000.74亿,192.56亿,39.09%,851.28亿
2018,633.094,66.9941,9.45,5.5917,113.22,-15.21%,44.25亿,-23.52%,9.81,1475.59亿,171.53亿,39.27%,807.92亿
2017,,,11.79,,133.53,14.17%,57.86亿,7.08%,9.59,1257.27亿,169.94亿,43.47%,793.34亿
2016,,,11.11,,116.95,-53.76%,54.03亿,-50.47%,8.93,1095.17亿,143.58亿,46.32%,599.15亿
2015,,,14.39,,252.92,129.87%,109.09亿,183.29%,8.32,1444.45亿,126.64亿,43.21%,484.32亿
2014,,,18.07,,110.02,80.69%,38.51亿,72.51%,7.15,909.89亿,92.68亿,35.31%,415.96亿
2013,,,8.0,,60.89,30.45%,22.32亿,35.61%,5.83,407.63亿,74.29亿,36.72%,271.84亿
2012,,,6.57,,46.66,-10.71%,16.46亿,-18.04%,5.53,527.53亿,64.73亿,35.28%,257.68亿
2011,,,6.25,,52.25,-19.45%,20.08亿,-37.80%,5.29,462.11亿,60.27亿,38.44%,246.69亿
2010,,,8.81,,64.86,-25.27%,32.29亿,-13.38%,6.69,591.08亿,56.47亿,49.78%,239.76亿
