报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,404.936,46.4376,8.72,5.9985,50.63,13.99%,20.38亿,38.42%,7.95,739.46亿,111.31亿,40.24%,374.19亿
2024,371.965,46.4376,8.01,5.9174,62.86,-3.55%,23.40亿,3.90%,7.73,759.37亿,96.41亿,37.21%,364.27亿
2023,345.959,46.4374,7.45,5.3086,65.17,35.03%,22.52亿,48.43%,7.35,690.55亿,86.44亿,34.54%,346.27亿
2022,311.13,46.4373,6.7,6.4456,48.27,-24.67%,15.17亿,-40.88%,6.99,654.01亿,76.83亿,31.42%,329.75亿
2021,349.57,35.8901,9.74,5.4552,64.08,-1.84%,25.66亿,11.98%,6.89,549.63亿,73.85亿,40.00%,252.17亿
2020,390.483,35.89,10.88,5.9817,65.28,31.82%,22.92亿,22.34%,6.26,454.60亿,63.40亿,35.11%,234.57亿
2019,345.98,35.89,9.64,6.9867,49.52,56.32%,18.73亿,128.75%,5.81,328.11亿,52.85亿,37.88%,213.48亿
2018,218.929,35.89,6.1,6.9106,31.68,-21.13%,8.19亿,-45.55%,5.34,194.17亿,49.04亿,25.66%,196.76亿
2017,,,15.28,,40.17,-5.73%,15.04亿,-15.79%,5.65,208.34亿,51.01亿,36.81%,208.11亿
2016,,,,,42.56,-58.45%,17.86亿,-41.93%,4.72,254.08亿,40.97亿,41.76%,153.38亿
2015,,,,,102.41,127.47%,30.75亿,259.41%,3.92,266.74亿,27.89亿,32.43%,128.02亿
2014,,,,,45.02,99.29%,8.56亿,162.13%,3.02,206.82亿,9.99亿,22.52%,102.61亿
2013,,,,,22.59,60.05%,3.26亿,232.24%,2.52,119.28亿,4.16亿,19.15%,53.09亿
2012,,,,,14.12,15.26%,9825.37万,120.02%,3.01,107.73亿,11.65亿,11.20%,48.94亿
2011,,,,,12.25,-29.66%,4465.67万,-90.83%,False,113.23亿,10.83亿,7.56%,46.97亿
2010,,,,,17.41,3.74%,4.87亿,-18.50%,False,118.50亿,12.01亿,32.68%,39.39亿
