报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,215.027,35.8977,5.99,6.5584,24.59,13.53%,7.32亿,37.34%,5.10,617.96亿,23.07亿,28.72%,186.06亿
2024,221.848,35.8977,6.18,7.4023,29.97,-9.18%,7.12亿,14.86%,5.01,614.09亿,19.36亿,21.91%,182.93亿
2023,185.232,35.8977,5.16,5.3366,34.71,-16.58%,6.20亿,7.88%,4.94,591.42亿,19.18亿,17.06%,181.53亿
2022,179.847,35.8977,5.01,4.3222,41.61,4.17%,5.74亿,-28.51%,4.85,584.29亿,17.53亿,13.63%,178.43亿
2021,218.976,35.8977,6.1,5.4826,39.94,19.51%,8.04亿,7.02%,4.80,529.70亿,17.93亿,20.33%,177.06亿
2020,292.207,35.8977,8.14,8.7435,33.42,-34.50%,7.51亿,47.19%,5.27,397.43亿,15.57亿,22.81%,174.51亿
2019,199.708,28.2873,7.06,3.9143,51.02,-25.53%,5.10亿,130.06%,4.47,379.82亿,13.83亿,10.19%,132.16亿
2018,141.719,28.2873,5.01,2.0686,68.51,55.96%,2.22亿,-45.77%,4.40,349.22亿,12.89亿,3.20%,129.97亿
2017,,,7.71,,43.93,87.28%,4.09亿,-12.57%,4.42,294.71亿,14.16亿,10.07%,132.64亿
2016,,,9.95,,23.46,-38.89%,4.68亿,-67.50%,4.34,246.60亿,14.10亿,22.49%,130.30亿
2015,,,12.47,,38.39,95.92%,14.39亿,145.41%,5.00,214.56亿,16.47亿,38.59%,132.21亿
2014,,,13.04,,19.59,48.29%,5.86亿,123.99%,2.91,101.93亿,7.55亿,29.93%,78.79亿
2013,,,5.56,,13.21,25.57%,2.62亿,84.60%,2.74,80.78亿,5.32亿,18.68%,73.26亿
2012,,,5.86,,10.48,-4.56%,1.42亿,-26.55%,2.52,93.95亿,4.83亿,13.68%,63.81亿
2011,,,5.14,,10.98,-26.59%,1.93亿,-55.98%,2.48,102.34亿,5.02亿,17.64%,62.97亿
2010,,,9.5,,14.96,-1.06%,4.39亿,-29.12%,2.58,141.99亿,7.28亿,29.35%,65.33亿
