报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,514.692,79.1834,6.5,4.2867,90.05,21.30%,13.00亿,158.63%,5.53,1182.42亿,92.26亿,16.59%,460.10亿
2024,455.748,69.6863,6.54,4.7033,96.9,-14.66%,9.37亿,-47.92%,5.41,1056.53亿,84.83亿,9.93%,452.59亿
2023,473.17,69.6863,6.79,3.7076,127.62,36.86%,18.00亿,204.94%,5.30,927.57亿,85.13亿,16.15%,423.28亿
2022,440.417,69.6863,6.32,4.723,93.25,-29.09%,5.90亿,-81.56%,5.05,935.56亿,75.34亿,7.54%,396.70亿
2021,679.441,69.6863,9.75,5.1669,131.5,27.02%,32.00亿,26.72%,5.14,994.76亿,76.18亿,25.09%,371.60亿
2020,1246.688,69.6863,17.89,12.043,103.52,6.63%,25.25亿,12.26%,4.78,831.78亿,61.48亿,24.93%,344.30亿
2019,,,,,97.09,38.20%,22.49亿,122.91%,4.45,642.59亿,45.47亿,23.63%,350.07亿
2018,,,,,70.25,-14.00%,10.09亿,-43.79%,4.08,536.37亿,39.72亿,15.23%,328.51亿
2017,,,,,81.69,-2.14%,17.95亿,-26.79%,4.27,430.14亿,37.41亿,23.21%,341.38亿
2016,,,,,83.47,-44.52%,24.52亿,-59.55%,4.08,573.12亿,39.14亿,30.35%,328.00亿
2015,,,,,150.45,156.12%,60.62亿,223.58%,False,628.81亿,39.51亿,40.48%,321.87亿
2014,,,,,58.74,43.94%,18.74亿,115.44%,2.75,359.47亿,31.30亿,32.04%,145.31亿
2013,,,,,40.81,35.53%,8.70亿,83.33%,2.28,176.51亿,18.33亿,21.53%,120.03亿
2012,,,,,30.11,-1.17%,4.74亿,8.13%,2.19,213.63亿,14.95亿,15.80%,115.61亿
2011,,,,,30.47,-33.01%,4.39亿,-69.84%,False,220.38亿,14.85亿,14.44%,111.18亿
2010,,,,,45.49,-18.09%,14.55亿,-37.41%,False,338.14亿,11.67亿,32.41%,107.60亿
