报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,450.701,55.3007,8.15,3.9833,84.86,76.66%,33.73亿,135.20%,6.44,939.63亿,93.28亿,39.80%,416.95亿
2024,368.856,55.3007,6.67,5.5904,65.98,-1.46%,18.35亿,18.52%,6.27,758.53亿,69.52亿,27.03%,393.08亿
2023,283.687,55.2996,5.13,4.1138,68.96,8.23%,15.48亿,2.58%,5.65,752.95亿,64.11亿,22.34%,347.71亿
2022,275.392,55.2996,4.98,4.3219,63.72,-26.11%,15.09亿,-37.36%,5.39,640.57亿,59.90亿,24.02%,308.56亿
2021,369.954,55.2995,6.69,4.2903,86.23,10.78%,24.10亿,15.54%,5.41,702.79亿,66.27亿,28.00%,309.75亿
2020,403.662,55.2962,7.3,5.1858,77.84,10.68%,20.85亿,25.19%,5.09,680.11亿,56.46亿,26.80%,292.53亿
2019,335.091,55.2956,6.06,4.7646,70.33,60.96%,16.66亿,547.66%,4.89,653.54亿,50.56亿,22.50%,281.52亿
2018,241.085,55.2948,4.36,5.5181,43.69,-22.86%,2.57亿,-83.35%,4.63,546.45亿,44.05亿,5.19%,267.99亿
2017,,,6.47,,56.64,-3.71%,15.45亿,-29.98%,4.79,409.94亿,51.04亿,27.36%,267.68亿
2016,,,8.28,,58.57,-31.09%,22.07亿,-36.84%,4.61,410.26亿,48.13亿,37.85%,257.42亿
2015,,,9.69,,85.0,86.88%,34.93亿,104.84%,3.55,449.85亿,48.94亿,41.13%,170.24亿
2014,,,13.01,,45.48,49.24%,17.05亿,69.43%,2.94,312.65亿,31.30亿,37.51%,139.57亿
2013,,,3.92,,30.48,33.33%,10.07亿,47.37%,5.35,157.45亿,25.09亿,33.01%,126.93亿
2012,,,3.45,,22.86,22.68%,6.83亿,57.02%,5.11,201.88亿,23.30亿,29.88%,121.16亿
2011,,,2.6,,18.64,-41.75%,4.35亿,-66.10%,4.85,176.98亿,21.05亿,23.34%,115.03亿
2010,,,3.99,,31.99,0.15%,12.83亿,-6.49%,4.39,274.64亿,25.08亿,40.10%,95.29亿
